"S1413-81232016000300709-scl","Gestão das ações do setor saúde em situações de seca e estiagem","Grigoletto, Jamyle Calencio, Cabral, Adriana Rodrigues, Bonfim, Camila Vicente, Rohlfs, Daniela Buosi, Silva, Eliane Lima e, Queiroz, Fernanda Barbosa de, Francischetti, Jaqueline, Daniel, Mariely Helena Barbosa, Resende, Rodrigo Matias de Sousa, Andrade, Rosane Cristina de, Magalhães, Tiago de Brito","Ciência &amp; Saúde Coletiva; 21(3); 709-718","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000300709&lang=pt" 
"S1413-81232016000300977-scl","Situação da alimentação complementar de crianças entre 6 e 24 meses assistidas na Rede de Atenção Básica de Saúde de Macaé, RJ, Brasil","Marinho, Leticia Maia Forte, Capelli, Jane de Carlos Santana, Rocha, Camilla Medeiros Macedo da, Bouskela, Alice, Carmo, Cleber Nascimento do, Freitas, Silvia Eliza Almeida Pereira de, Anastácio, Alexandra da Silva, Almeida, Maria Fernanda Larcher de, Pontes, Juliana da Silva","Ciência &amp; Saúde Coletiva; 21(3); 977-986","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000300977&lang=pt" 
"S1413-81232016000300767-spa","Avaliação de cloradores simplificados por difusão para descontaminação de água de poços em assentamento rural na Amazônia, Brasil","Ferreira, Danielle Costa, Luz, Sergio Luiz Bessa, Buss, Daniel Forsin","Ciência &amp; Saúde Coletiva; 21(3); 767-776","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000300767&lang=pt" 
"S1413-81232016000300923-scl","Homicídios e vulnerabilidade social","Tavares, Ricardo, Catalan, Valeria Dutra Batista, Romano, Pedro Machado de Melo, Melo, Elza Machado","Ciência &amp; Saúde Coletiva; 21(3); 923-934","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000300923&lang=pt" 
"S1413-81232016000300913-scl","Educação Permanente em Saúde no Brasil: educação ou gerenciamento permanente?","Lemos, Cristiane Lopes Simão","Ciência &amp; Saúde Coletiva; 21(3); 913-922","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000300913&lang=pt" 
"S1413-81232016000300671-scl","Medindo o invisível: análise dos Objetivos de Desenvolvimento Sustentável em populações expostas à seca","Sena, Aderita, Freitas, Carlos Machado de, Barcellos, Christovam, Ramalho, Walter, Corvalan, Carlos","Ciência &amp; Saúde Coletiva; 21(3); 671-684","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000300671&lang=pt" 
"S1413-81232016000300743-spa","Gestão e uso dos recursos hídricos e a expansão do agronegócio: água para quê e para quem?","Ferreira, Marcelo José Monteiro, Viana Júnior, Mário Martins, Pontes, Andrezza Graziella Veríssimo, Rigotto, Raquel Maria, Gadelha, Diego","Ciência &amp; Saúde Coletiva; 21(3); 743-752","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000300743&lang=pt" 
"S1413-81232016000300777-spa","Surtos de diarreia na região Nordeste do Brasil em 2013, segundo a mídia e sistemas de informação de saúde – Vigilância de situações climáticas de risco e emergências em saúde","Rufino, Renata, Gracie, Renata, Sena, Aderita, Freitas, Carlos Machado de, Barcellos, Christovam","Ciência &amp; Saúde Coletiva; 21(3); 777-788","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000300777&lang=pt" 
"S1413-81232016000300777-scl","Surtos de diarreia na região Nordeste do Brasil em 2013, segundo a mídia e sistemas de informação de saúde – Vigilância de situações climáticas de risco e emergências em saúde","Rufino, Renata, Gracie, Renata, Sena, Aderita, Freitas, Carlos Machado de, Barcellos, Christovam","Ciência &amp; Saúde Coletiva; 21(3); 777-788","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000300777&lang=pt" 
"S1413-81232016000300797-scl","A Educação Ambiental como estratégia de mobilização social para o enfrentamento da escassez de água","Piccoli, Andrezza de Souza, Kligerman, Débora Cynamon, Cohen, Simone Cynamon, Assumpção, Rafaela Facchetti","Ciência &amp; Saúde Coletiva; 21(3); 797-808","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000300797&lang=pt" 
