"S0004-282X2015000900741-scl","Clinical and epidemiological profile of patients diagnosed with multiple sclerosis in João Pessoa, Paraíba, Brazil","Negreiros, André Augusto Lemos Vidal de, Sousa-Munõz, Rilva Lopes de, Oliveira, Bianca Etelvina Santos de, Nóbrega, Paulo Virgolino da, Monteiro, Laíse Leilane Dias","Arquivos de Neuro-Psiquiatria; 73(9); 741-745","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015000900741&lang=pt" 
"S0004-282X2015000900803-scl","Neonatal brachial plexus palsy: a permanent challenge","Heise, Carlos Otto, Martins, Roberto, Siqueira, Mário","Arquivos de Neuro-Psiquiatria; 73(9); 803-808","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015000900803&lang=pt" 
"S0004-282X2015000900746-scl","Prevalence of stroke and associated disability in Brazil: National Health Survey - 2013","Bensenor, Isabela M., Goulart, Alessandra C., Szwarcwald, Célia Landmann, Vieira, Maria Lucia França Pontes, Malta, Deborah Carvalho, Lotufo, Paulo A.","Arquivos de Neuro-Psiquiatria; 73(9); 746-750","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015000900746&lang=pt" 
"S0004-282X2015000900759-scl","Clinical and ultrasonographic criteria for using ventriculoperitoneal shunts in newborns with myelomeningocele","Melo, Jose Roberto Tude, Pacheco, Pollyana, Melo, Emília Nunes de, Vasconcellos, Ângela, Passos, Rosane Klein","Arquivos de Neuro-Psiquiatria; 73(9); 759-763","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015000900759&lang=pt" 
"S0004-282X2015000900764-scl","Surgical treatment of non-functioning pituitary macroadenomas by the endoscopic endonasal approach in the elderly","Marenco, Horacio Armando, Zymberg, Samuel Tau, Santos, Rodrigo de Paula, Ramalho, Cláuder Oliveira","Arquivos de Neuro-Psiquiatria; 73(9); 764-769","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015000900764&lang=pt" 
"S0004-282X2015000900770-scl","Atypical and anaplastic meningiomas in a public hospital in São Paulo State, Brazil","Colli, Benedicto Oscar, Carlotti Junior, Carlos Gilberto, Assirati Junior, João Alberto, Coelho Junior, Vicente de Paulo Martins, Neder, Luciano","Arquivos de Neuro-Psiquiatria; 73(9); 770-778","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015000900770&lang=pt" 
"S0004-282X2015000900784-scl","Lipopolysaccharide-induced memory impairment in rats is preventable using 7-nitroindazole","Anaeigoudari, Akbar, Shafei, Mohammad Naser, Soukhtanloo, Mohammad, Sadeghnia, Hamid Reza, Reisi, Parham, Beheshti, Farimah, Mohebbati, Reza, Mousavi, Seyed Mojtaba, Hosseini, Mahmoud","Arquivos de Neuro-Psiquiatria; 73(9); 784-790","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015000900784&lang=pt" 
"S0004-282X2015000900791-scl","Shared decision-making in the context of unruptured intracranial aneurysms management","Castro-Afonso, Luís Henrique de, Abud, Daniel Giansante","Arquivos de Neuro-Psiquiatria; 73(9); 791-794","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015000900791&lang=pt" 
"S0004-282X2015000900795-scl","An update in the management of spinal metastases","Joaquim, Andrei F., Powers, Ann, Laufer, Ilya, Bilsky, Mark H.","Arquivos de Neuro-Psiquiatria; 73(9); 795-802","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015000900795&lang=pt" 
"S0006-87052015000300241-scl","Uptake of seed-applied copper by maize and the effects on seed vigor","Dias, Marcos Altomani Neves, Cicero, Silvio Moure, Novembre, Ana Dionísia Luz Coelho","Bragantia; 74(3); 241-246","Bragantia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052015000300241&lang=pt" 
"S0006-87052015000300247-scl","Determination of optimum levels of nitrogen, phosphorus and potassium of oil palm seedlings in solution culture","Mohidin, Hasmah, Hanafi, Mohamed Musa, Rafii, Yusop Mohd, Abdullah, Siti Nor Akmar, Idris, Abu Seman, Man, Sulaiman, Idris, Juferi, Sahebi, Mahbod","Bragantia; 74(3); 247-254","Bragantia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052015000300247&lang=pt" 
"S0006-87052015000300255-scl","Interação genótipo x ambiente em genótipos de feijão-caupi semiprostrado via modelos mistos","Torres, Francisco Eduardo, Teodoro, Paulo Eduardo, Sagrilo, Edvaldo, Ceccon, Gessi, Correa, Agenor Martinho","Bragantia; 74(3); 255-260","Bragantia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052015000300255&lang=pt" 
