ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
"S0102-85292017000100157-scl","Foreign Policy’s Role in Promoting Development: the Brazilian and Turkish Cases","Spohr, Alexandre Piffero, Silva, André Luiz Reis da","Contexto Internacional; 39(1); 157-178","Contexto Internacional","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292017000100157&lang=pt" 
"S0102-85292017000100135-scl","Arms Transfer Policies and International Security: the Case of Brazilian-Swedish Co-operation","Avila, Carlos Federico Domínguez, Souza, Deywisson Ronaldo de, Guedes, Marcos Aurélio","Contexto Internacional; 39(1); 135-156","Contexto Internacional","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292017000100135&lang=pt" 
"S0102-85292017000100201-scl","When and How do Bureaucratic Conflicts Matter in Trade Policy? Evidence from the US Trade Policymaking Process during the Clinton Administration (1993–2001)","Cézar, Rodrigo Fagundes","Contexto Internacional; 39(1); 201-222","Contexto Internacional","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292017000100201&lang=pt" 
"S2175-80262017000100123-scl","The Luminaries: A D―ned Fine Tale, but of What?","Scheckter, John","Ilha do Desterro; 70(1); 123-134","Ilha do Desterro","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-80262017000100123&lang=pt" 
"S0101-66282017000100085-scl","O golpe nas ilusões democráticas e a ascensão do conservadorismo reacionário","Braz, Marcelo","Serviço Social &amp; Sociedade; (128); 85-103","Serviço Social &amp; Sociedade","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-66282017000100085&lang=pt" 
"S0101-66282017000100181-scl","Memória: 80 anos do Serviço Social no Brasil: O III CBAS &quot;O Congresso da Virada&quot; 1979","Abramides, Maria Beatriz Costa","Serviço Social &amp; Sociedade; (128); 181-186","Serviço Social &amp; Sociedade","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-66282017000100181&lang=pt" 
"S0101-66282017000100143-scl","80 anos do Serviço Social no Brasil: marcos históricos balizados nos códigos de ética da profissão","Oliveira, Edistia Maria Abath Pereira de, Chaves, Helena Lúcia Augusto","Serviço Social &amp; Sociedade; (128); 143-163","Serviço Social &amp; Sociedade","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-66282017000100143&lang=pt" 
"S0101-66282017000100123-scl","As lutas autônomas frente ao modelo democrático-popular de contrarrevolução permanente","Polese, Pablo","Serviço Social &amp; Sociedade; (128); 123-142","Serviço Social &amp; Sociedade","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-66282017000100123&lang=pt" 
"S0101-66282017000100039-scl","80 anos do Serviço Social brasileiro: conquistas históricas e desafios na atual conjuntura","Mota, Ana Elizabete","Serviço Social &amp; Sociedade; (128); 39-53","Serviço Social &amp; Sociedade","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-66282017000100039&lang=pt" 
"S2175-80262017000100187-scl","Orlandos: Intercâmbio Entre Virginia Woolf e Sally Potter","Assis, Fabiana Gomes de","Ilha do Desterro; 70(1); 187-198","Ilha do Desterro","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-80262017000100187&lang=pt" 
"S2175-80262017000100275-scl","Os limites do Realismo em The Mutilated, de Tennessee Williams: expressionismo e verfremdungseffekt","Oliveira, Gustavo Ponciano Cunha de","Ilha do Desterro; 70(1); 275-285","Ilha do Desterro","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-80262017000100275&lang=pt" 
"S2175-80262017000100161-scl","A adaptação cinematográfica de Uma Tragédia Americana e Otelo em Match Point","Anjos, Ana Paula Bianconcini","Ilha do Desterro; 70(1); 161-176","Ilha do Desterro","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-80262017000100161&lang=pt" 
