"S2077-18862012000200006-per","Rendimiento ex-dividendo como indicador de eficiencia en un mercado emergente: caso colombiano 1999-2007","Arroyave C., Elizabeth T., Agudelo R., Diego A.","Journal of Economics, Finance and Administrative Science; 17(33); 38-47","Journal of Economics, Finance and Administrative Science","Espanhol","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S2077-18862012000200006&lang=pt" 
"S2077-18862012000200007-per","Modeling, simulation and analysis of a securities settlement system: the case of Central Securities Depository of Mexico","Muñoz, David F., Palacios, Arturo, de Lascurain, Miguel","Journal of Economics, Finance and Administrative Science; 17(33); 48-59","Journal of Economics, Finance and Administrative Science","Inglês","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S2077-18862012000200007&lang=pt" 
"S2077-18862012000200004-per","Evaluación del impacto de la política de incentivos sectoriales en el desarrollo de los municipios mineros de Castilla y León","Berumen, Sergio A.","Journal of Economics, Finance and Administrative Science; 17(33); 15-30","Journal of Economics, Finance and Administrative Science","Espanhol","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S2077-18862012000200004&lang=pt" 
"S2077-18862012000200003-per","Who responds more to monetary policy, conventional banks or participation banks?","Macit, Fatih","Journal of Economics, Finance and Administrative Science; 17(33); 10-14","Journal of Economics, Finance and Administrative Science","Inglês","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S2077-18862012000200003&lang=pt" 
"S1726-46342012000400023-spa","Reflexiones para una bioética implicada en la cultura de los derechos humanos","Brussino, Silvia","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 561-565","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400023&lang=pt" 
"S1726-46342012000400022-spa","Fenomenología del multiculturalismo y pluralismo intercultural","Hoyos, Guillermo","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 555-560","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400022&lang=pt" 
"S1726-46342012000400021-spa","Estrategia para fortalecer las capacidades de investigación en salud en universidades públicas regionales: rol del canon y del Instituto Nacional de Salud","Romaní, Franco, Cabezas, César, Espinoza, Manuel, Minaya, Gabriela, Huaripata, José, Ureta, Juan Manuel, Yazuda, Myriam, Gastañaga, María del Carmen, Miraval, María Luz, Aparco, Juan Pablo, Anaya, Elizabeth, Castro, José, Esquivel, Silvia","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 549-554","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400021&lang=pt" 
"S1726-46342012000400024-spa","Razones para una perspectiva intercultural en bioética","Chávez Aguilar, Pamela","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 566-569","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400024&lang=pt" 
"S1726-46342012000400004-spa","Evaluación de la seroprotección contra sarampión, rubéola y hepatitis B en niños menores de cinco años del Perú, 2011","Fiestas Solórzano, Víctor, Gonzáles Noriega, Marco, Fiestas, Fabián, Cabezudo, Edwin, Suárez, Magna, Suárez, Víctor","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 437-443","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400004&lang=pt" 
"S1726-46342012000400019-spa","Cáncer de próstata metastásico asociado a valores bajos de antígeno prostático específico","Diaz, Silvia, Salirrosas, Michael","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 541-544","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400019&lang=pt" 
"S1726-46342012000400003-spa","Características de los ensayos clínicos autorizados en el Perú, 1995-2012","Minaya, Gabriela, Fuentes, Duilio, Obregón, Cristian, Ayala-Quintanilla, Beatriz, Yagui, Martín","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 431-436","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400003&lang=pt" 
"S1726-46342012000400018-spa","Desafíos éticos de la manipulación genética y la investigación con animales","Rodríguez Yunta, Eduardo","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 535-540","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400018&lang=pt" 
"S1726-46342012000400020-spa","Eficacia y seguridad en la nueva regulación de productos farmacéuticos en el Perú","Vásquez, Hans, Salas, Sofía, Figueroa, Linder, Gutiérrez, Sonia","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 545-548","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400020&lang=pt" 
"S0102-46982012000400002-scl","Relações entre teoria e prática na formação de professores: investigando práticas sociais em disciplina acadêmica de um curso nas ciências biológicas","Viana, Gabriel Menezes, Munford, Danusa, Ferreira, Márcia Serra, Moro, Luciana","Educação em Revista; 28(4); 17-49","Educação em Revista","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-46982012000400002&lang=pt" 
"S0102-46982012000400004-scl","Infância, ciência e desenvolvimento: representações sociais na Revista Pais &amp; Filhos","Assunção, Cristiane Queiroz de Souza, Assis, Raquel Martins de, Campos, Regina Helena de Freitas","Educação em Revista; 28(4); 77-104","Educação em Revista","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-46982012000400004&lang=pt" 
"S0102-46982012000400006-scl","Catálogos de editoras e a circulação da literatura no contexto escolar","Santos, Maria Aparecida Paiva Soares dos, Teixeira, Marina Gontijo","Educação em Revista; 28(4); 133-168","Educação em Revista","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-46982012000400006&lang=pt" 
"S0102-46982012000400009-scl","Integração ensino-serviço-comunidade: o estágio na atenção básica da graduação em Odontologia","Toassi, Ramona Fernanda Ceriotti, Davoglio, Rosane Silvia, Lemos, Vânia Maria Aita de","Educação em Revista; 28(4); 223-242","Educação em Revista","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-46982012000400009&lang=pt" 
"S0102-46982012000400010-scl","Sistemas municipais de ensino em Minas Gerais: o papel dos conselhos municipais de educação","Duarte, Marisa Ribeiro Teixeira, Oliveira, Rosimar de Fátima","Educação em Revista; 28(4); 243-262","Educação em Revista","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-46982012000400010&lang=pt" 
"S0102-46982012000400011-scl","A pós-graduação em educação no Brasil: alguns aspectos à luz de estudos realizados na área","Castro, Rosane Michelli de","Educação em Revista; 28(4); 263-287","Educação em Revista","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-46982012000400011&lang=pt" 
"S0102-46982012000400012-scl","As metas educacionais como eixos articuladores dos relatórios do desenvolvimento humano da ONU","Rezende, Maria José de","Educação em Revista; 28(4); 289-316","Educação em Revista","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-46982012000400012&lang=pt" 
"S0102-46982012000400015-scl","Que cidadãos, para qual cidadania?: as interpelações dos movimentos sociais","Campos, Rogério Cunha","Educação em Revista; 28(4); 357-376","Educação em Revista","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-46982012000400015&lang=pt" 
"S0103-65642012000400004-scl","A atuação do psicólogo escolar no Ensino Superior e a formação de professores","Zavadski, Kelly Cristina, Facci, Marilda Gonçalves Dias","Psicologia USP; 23(4); 683-705","Psicologia USP","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642012000400004&lang=pt" 
"S0103-65642012000400006-scl","Diálogos sobre a adolescência e a ameaça de exclusão dos privilegiados","Matheus, Tiago Corbisier","Psicologia USP; 23(4); 721-735","Psicologia USP","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642012000400006&lang=pt" 
"S0103-65642012000400007-scl","Intimidade e saúde","Almeida, Lígia Maria Moreira Ferreira de, Caldas, José Manuel Peixoto","Psicologia USP; 23(4); 737-755","Psicologia USP","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642012000400007&lang=pt" 
"S0103-65642012000400008-scl","Corpos precários, desrespeito e autoestima: o caso de moradores de rua de Paris-FR","Graeff, Lucas","Psicologia USP; 23(4); 757-775","Psicologia USP","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642012000400008&lang=pt" 
"S1726-46342012000400005-spa","Asociación entre el estado de infección por VIH y complicaciones infecciosas poscesárea electiva","Tejada, Romina, Huayanay, Leandro, Gutiérrez, César, Velásquez, Carlos, Loarte, César","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 444-451","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400005&lang=pt" 
"S1726-46342012000400006-spa","Estimación y análisis de la incidencia de VIH en población adulta del Perú: resultados de la aplicación del modelo matemático MoT","Alarcón, Jorge O, Pun, Mónica, Gutiérrez, César, Whittembury, Álvaro, Tejada, Romina, Suárez, Luis, Rosell, Gustavo, Bórquez, Annick, Cuchi, Paloma","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 452-460","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400006&lang=pt" 
"S1726-46342012000400007-spa","Publicación de los trabajos presentados a los congresos científicos de estudiantes de medicina, Perú 2002-2009: características y factores asociados.","Toro-Polo, Miguel, Pereyra-Elías, Reneé, Nizama-Vía, Ayar, Ng-Sueng, Luis Fernando, Vélez-Segovia, Eduardo, Galán-Rodas, Edén, Mayta-Tristán, Percy","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 461-468","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400007&lang=pt" 
"S1726-46342012000400008-spa","Diversidad genética de aislamientos peruanos de Leptospira spp. mediante electroforesis en gel de campo pulsado","Rivera, Paola, Ticlla, Mónica, Balda, Lourdes, Gonzalez, Dana, Céspedes, Manuel","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 469-476","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400008&lang=pt" 
"S1726-46342012000400009-spa","Valoración de la adiposidad corporal de escolares en Arequipa, Perú","Cossio-Bolaños, Marco Antonio, Pablos Abella, Carlos, Arruda, Miguel","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 477-482","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400009&lang=pt" 
"S1726-46342012000400010-spa","Niveles de insatisfacción del usuario externo en el Instituto Nacional de Salud del Niño de Lima, Perú","Shimabuku, Roberto, Huicho, Luis, Fernández, Danitza, Nakachi, Graciela, Maldonado, Ruth, Barrientos, Armando","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 483-489","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400010&lang=pt" 
"S1726-46342012000400011-spa","Efecto de la administración de espironolactona sobre la pérdida de podocitos y la progresión de la nefropatía diabética experimental","Aguilar, Cristian, Rodríguez-Delfín, Luis","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 490-497","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400011&lang=pt" 
"S1726-46342012000400014-spa","Rol del estado en los ensayos clínicos","Mazzetti, Pilar, Silva-Paredes, Gustavo, Cornejo-Olivas, Mario","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 509-515","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400014&lang=pt" 
"S1726-46342012000400016-spa","Desarrollo de nuevos medicamentos: oportunidades y beneficios para el Perú","Bayona, Andrés, Fajardo, Natalia","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 521-528","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400016&lang=pt" 
"S1726-46342012000400025-spa","Hemoglobina materna en la salud perinatal y materna en la altura: implicancias en la región andina","Gonzales, Gustavo F.","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 570-574","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400025&lang=pt" 
"S0102-46982012000400003-scl","Teoria e prática nas pesquisas com formação de professores: uma compreensão aberta à interação comunicativa","Devechi, Catia Piccolo Viero, Tauchen, Gionara, Trevisan, Amarildo Luiz","Educação em Revista; 28(4); 51-76","Educação em Revista","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-46982012000400003&lang=pt" 
"S0102-46982012000400008-scl","Escola e sociedade de consumidores: um estudo com crianças &quot;catadoras&quot;","Bocasanta, Daiane Martins, Knijnik, Gelsa","Educação em Revista; 28(4); 195-222","Educação em Revista","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-46982012000400008&lang=pt" 
"S1678-86212012000400001-scl","EDITORIAL","Formoso, Carlos Torres, Savastano Junior, Holmer, Lamberts, Roberto","Ambiente Construído; 12(4); 5-6","Ambiente Construído","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212012000400001&lang=pt" 
"S1678-86212012000400002-scl","Análise das condições favoráveis à formação de bolor em edificação histórica de Pelotas, RS, Brasil","Guerra, Fernanda Lamego, Cunha, Eduardo Grala da, Silva, Antônio César Silveira Baptista da, Knop, Stífany","Ambiente Construído; 12(4); 7-23","Ambiente Construído","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212012000400002&lang=pt" 
"S1678-86212012000400003-scl","Viabilidade do uso de placas de granito como lajes em edificações","Moreiras, Sérgio Trajano Franco, Paraguassú, Antenor Braga","Ambiente Construído; 12(4); 25-36","Ambiente Construído","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212012000400003&lang=pt" 
