"S1851-17402010000200008-arg","Aportes preliminares para el estudio de la Bibliotecología y Ciencia de la Información","Contardi, Silvia","Información, cultura y sociedad; (23); 141-144","Información, cultura y sociedad","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-17402010000200008&lang=pt" 
"S1851-17402010000200004-arg","Construcción social de repositorios institucionales: el caso de un repositorio de América Latina y el Caribe","Babini, Dominique, González, Jessica, López, Fernando, Medici, Flavia","Información, cultura y sociedad; (23); 63-90","Información, cultura y sociedad","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-17402010000200004&lang=pt" 
"S1850-468X2010000200001-arg","Calibración de los pronósticos probabilísticos de precipitación derivados de un ensamble multi-modelo utilizando diferentes metodologias","Cardazzo, Soledad, Ruiz, Juan, Saulo, Celeste","Meteorologica; 35(2); 41-51","Meteorologica","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-468X2010000200001&lang=pt" 
"S1850-468X2010000200002-arg","Análisis de la precipitación en la llanura chaqueña argentina y su relación con el comportamiento de la circulación atmosférica y las temperaturas de la superficie del mar","González, Marcela Hebe, Flores, Olga Karina","Meteorologica; 35(2); 53-66","Meteorologica","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-468X2010000200002&lang=pt" 
"S1850-468X2010000200003-arg","Regionalización de los días secos en Argentina: Un enfoque metodológico","Bettolli, María L, Rivera, Juan A, Penalba, Olga C","Meteorologica; 35(2); 67-80","Meteorologica","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-468X2010000200003&lang=pt" 
"S0121-45002010000200011-col","El vínculo especial de cuidado: construcción de una teoría fundamentada","CHAPARRO DÍAZ, LORENA","Avances en Enfermería; 28(2); 123-133","Avances en Enfermería","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-45002010000200011&lang=pt" 
"S0121-45002010000200012-col","Panorama de la formación doctoral en enfermería","BUENO ROBLES, LUZ STELLA, DÍAZ HEREDIA, LUZ PATRICIA, MEJÍA ROJAS, MARÍA ELENA, LÓPEZ, LUCERO","Avances en Enfermería; 28(2); 134-144","Avances en Enfermería","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-45002010000200012&lang=pt" 
"S0121-45002010000200013-col","Profesionalismo en enfermería, el hábito de la excelencia del cuidado","LETELIER VALDIVIA, MITZI, VELANDIA MORA, ANA LUISA","Avances en Enfermería; 28(2); 145-158","Avances en Enfermería","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-45002010000200013&lang=pt" 
"S1851-17242010000200005-arg","Sobre el mundo de Pseudo Aristóteles","Martín, José Pablo, Alesso, Marta","Circe de clásicos y modernos; 14(2); 182-201","Circe de clásicos y modernos","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-17242010000200005&lang=pt" 
"S1414-98932010000400002-scl","Construção e validação de uma escala de transferência de treinamento","Zerbini, Thaís, Abbad, Gardênia","Psicologia: Ciência e Profissão; 30(4); 684-697","Psicologia: Ciência e Profissão","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932010000400002&lang=pt" 
"S1414-98932010000400003-scl","Coletivos de trabalho, inserção e formação: o caso dos juízes do trabalho","Machado, Genilza Evaristo, Araújo, Anísio José da Silva, Zambroni-de-Souza, Paulo César, Athayde, Milton Raimundo Cidreira de","Psicologia: Ciência e Profissão; 30(4); 698-711","Psicologia: Ciência e Profissão","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932010000400003&lang=pt" 
"S1414-98932010000400005-scl","Centro de atenção psicossocial: panorama das publicações de 1997 a 2008","Ballarin, Maria Luisa Gazabim Simões, Miranda, Iara Monteiro Smeke de, Fuentes, Ana Carolina de Ramos Castelhano","Psicologia: Ciência e Profissão; 30(4); 726-737","Psicologia: Ciência e Profissão","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932010000400005&lang=pt" 
"S1414-98932010000400006-scl","A nova ordem repressiva","Ceccarelli, Paulo Roberto","Psicologia: Ciência e Profissão; 30(4); 738-751","Psicologia: Ciência e Profissão","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932010000400006&lang=pt" 
