"S1413-24782015000200543-scl","SIBILIA, Paula. Redes ou paredes: a escola em tempos de dispersão. Tradução de Vera Ribeiro. Rio de Janeiro: Contraponto, 2012. 224p.","Oliveira Júnior, Osvaldo Barreto","Revista Brasileira de Educação; 20(61); 543-546","Revista Brasileira de Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782015000200543&lang=pt" 
"S1413-24782015000200383-scl","Memórias de uma professora ao recompor cenários do ensino público em Lomba Grande, Novo Hamburgo, RS (1931-1942)","SOUZA, JOSÉ EDIMAR DE, GRAZZIOTIN, LUCIANE SGARBI SANTOS","Revista Brasileira de Educação; 20(61); 383-407","Revista Brasileira de Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782015000200383&lang=pt" 
"S2175-62362015000200349-scl","Unterricht muss offener geplant, die Offenheit aber auch klar strukturiert werden","Brügelmann, Hans","Educação &amp; Realidade; 40(2); 349-374","Educação &amp; Realidade","Alemão, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000200349&lang=pt" 
"S2175-62362015000200525-scl","Movimentos e Matérias da Iniciação à Docência","Zordan, Paola","Educação &amp; Realidade; 40(2); 525-547","Educação &amp; Realidade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000200525&lang=pt" 
"S2175-62362015000200465-scl","Teaching for Democratic Action","Westheimer, Joel","Educação &amp; Realidade; 40(2); 465-483","Educação &amp; Realidade","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000200465&lang=pt" 
"S2175-62362015000200591-scl","O Papel da Mediação na Construção de Conceitos Históricos","Siman, Lana Mara de Castro, Coelho, Araci Rodrigues","Educação &amp; Realidade; 40(2); 591-612","Educação &amp; Realidade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000200591&lang=pt" 
"S1413-24782015000200457-scl","La enseñanza de la historia una compleja relación entre norma y práctica","GREGORINI, VANESA MARIÁNGELES","Revista Brasileira de Educação; 20(61); 457-478","Revista Brasileira de Educação","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782015000200457&lang=pt" 
"S1413-24782015000200297-scl","Educación y tecnologías de la información y la comunicación ¿es posible valorar la diversidad en el marco de la tendencia homogeneizadora?","VIVANCO, GEORGINA","Revista Brasileira de Educação; 20(61); 297-315","Revista Brasileira de Educação","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782015000200297&lang=pt" 
"S1413-24782015000200501-scl","Entre a pedagogia legisladora e as pedagogias intérpretes","CAMOZZATO, VIVIANE CASTRO","Revista Brasileira de Educação; 20(61); 501-520","Revista Brasileira de Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782015000200501&lang=pt" 
"S2175-62362015000200549-scl","A Simetria nas Aulas de Matemática: uma proposta investigativa","Lopes, Lidiane Schimitz, Alves, Gilson Leandro Pacheco, Ferreira, André Luís Andrejew","Educação &amp; Realidade; 40(2); 549-572","Educação &amp; Realidade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000200549&lang=pt" 
"S2175-62362015000200443-scl","Novos Paradigmas da Didática e a Proposta Metodológica dos Episódios de Aprendizagem Situada, EAS","Fantin, Monica","Educação &amp; Realidade; 40(2); 443-464","Educação &amp; Realidade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000200443&lang=pt" 
"S1413-24782015000200359-scl","Mediações on-line em cursos de educação a distância os professores de língua portuguesa em questão","RANGEL, FLAMINIO DE OLIVEIRA, COSTA, HELOISA ALBUQUERQUE, DE-ANGELIS, CRISTIANE CAGNOTO MORI, MARTINS, ROBERTA LOMBARDI","Revista Brasileira de Educação; 20(61); 359-382","Revista Brasileira de Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782015000200359&lang=pt" 
"S1413-24782015000200333-scl","Robots como ferramenta pedagógica nos primeiros anos a aprendizagem como participação","MARTINS, SÓNIA MATILDE PINTO CORREIA, FERNANDES, ELSA MARIA DOS SANTOS","Revista Brasileira de Educação; 20(61); 333-358","Revista Brasileira de Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782015000200333&lang=pt" 
"S2175-62362015000200375-scl","Interação entre Didática e Teoria Histórico-Cultural","Sforni, Marta Sueli de Faria","Educação &amp; Realidade; 40(2); 375-397","Educação &amp; Realidade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000200375&lang=pt" 
"S1413-24782015000200409-scl","Emancipación e indagación aportes del pensamiento pedagógico de Valentín Letelier para una discusión de la categoría de acto didáctico","ARAYA, ADRIÁN RODRIGO BAEZA","Revista Brasileira de Educação; 20(61); 409-431","Revista Brasileira de Educação","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782015000200409&lang=pt" 
"S2175-62362015000200573-scl","O Ensino da Leitura no Discurso Pedagógico Contemporâneo","Barreto, Raquel Goulart, Guimarães, Glaucia Campos","Educação &amp; Realidade; 40(2); 573-590","Educação &amp; Realidade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000200573&lang=pt" 
"S2175-62362015000200629-scl","Formação de Professores e Didática para Desenvolvimento Humano","Libâneo, José Carlos","Educação &amp; Realidade; 40(2); 629-650","Educação &amp; Realidade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000200629&lang=pt" 
"S1413-24782015000200521-scl","A atitude do educador de infância e a participação da criança como referenciais de qualidade em educação","LUÍS, JOANA DE FREITAS, ANDRADE, SOFIA, SANTOS, PAULA COELHO","Revista Brasileira de Educação; 20(61); 521-541","Revista Brasileira de Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782015000200521&lang=pt" 
