"S1414-32832008000100020-spa","VII Simpósio de Educação Médica de Botucatu: a interdisciplinaridade e a avaliação no curso de Medicina","Hamamoto Filho, Pedro Tadao, Miguel, Licério, Silva, Ludmila Almeida, Caldas, Ana Cristina Paschoal e, Comes, Giovana Tuccille, Venditti, Vinicius Cunha, Fracalossi, Thalita Azevedo, Silva, Vanessa dos Santos","Interface - Comunicação, Saúde, Educação; 12(24); 217-217","Interface - Comunicação, Saúde, Educação","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832008000100020&lang=pt" 
"S1414-32832008000100019-spa","A formação em obstetrícia: competência e cuidado na atenção ao parto","Hotimsky, Sonia Nussenzweig","Interface - Comunicação, Saúde, Educação; 12(24); 215-215","Interface - Comunicação, Saúde, Educação","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832008000100019&lang=pt" 
"S0187-57792008000100009-mex","Impacto en algunas propiedades físicas del suelo por aplicación de aguas residuales","Rascón Alvarado, Emilio, Peña Cervantes, Edmundo, López Cervantes, Rubén, Cantú Sifuentes, Mario, Narro Farías, Eduardo Alberto","Terra Latinoamericana; 26(1); 69-74","Terra Latinoamericana","Espanhol","2008","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-57792008000100009&lang=pt" 
"S0187-57792008000100001-mex","Identificación de áreas erosionadas por medio de imágenes Landsat ETM+, en Tlaxco y Terrenate, Tlaxcala, México","Buendía-Rodríguez, Enrique, Islas-Gutiérrez, Fabián, Guerra-De la Cruz, Vidal","Terra Latinoamericana; 26(1); 1-9","Terra Latinoamericana","Espanhol","2008","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-57792008000100001&lang=pt" 
"S0187-57792008000100011-mex","Opciones agroforestales para productores de aguacate","Montiel-Aguirre, G., Krishnamurthy, L., Vázquez-Alarcón, A., Uribe-Gómez, M.","Terra Latinoamericana; 26(1); 85-90","Terra Latinoamericana","Espanhol","2008","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-57792008000100011&lang=pt" 
"S0187-57792008000100005-mex","Amonio y fosfato en el crecimiento de plántulas de chile jalapeño","Preciado Rangel, Pablo, Lara-Herrera, Alfredo, Segura Castruita, Miguel Ángel, Rueda Puente, Edgar Omar, Orozco Vidal, Jorge A., Yescas Coronado, Pablo, Montemayor Trejo, José A.","Terra Latinoamericana; 26(1); 37-42","Terra Latinoamericana","Espanhol","2008","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-57792008000100005&lang=pt" 
"S0187-57792008000100002-mex","Las clases de tierras citrícolas del ejido pueblillo, Papantla, Veracruz","Cruz Cárdenas, Gustavo, Ortiz S., Carlos A., Gutiérrez C., Ma. del Carmen, Villegas Monter, Ángel","Terra Latinoamericana; 26(1); 11-19","Terra Latinoamericana","Espanhol","2008","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-57792008000100002&lang=pt" 
"S0187-57792008000100003-mex","Variación de la velocidad de infiltración media en seis ecosistemas inalterados","García-Hernández, Martha Alejandra, García-Hernández, Mónica Alejandra, Castellanos-Vargas, Iván, Cano-Santana, Zenón, Peláez-Rocha, Cinthya M.","Terra Latinoamericana; 26(1); 21-27","Terra Latinoamericana","Espanhol","2008","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-57792008000100003&lang=pt" 
"S0187-57792008000100006-mex","Patrones de descomposición de estiércoles en el suelo","Pino, Amabelia del, Repetto, Carlos, Mori, Cristina, Perdomo, Carlos","Terra Latinoamericana; 26(1); 43-52","Terra Latinoamericana","Espanhol","2008","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-57792008000100006&lang=pt" 
"S0187-57792008000100008-mex","Intercepción de la lluvia en especies de leguminosas del nordeste de México","Návar Cháidez, José de Jesús, Méndez González, Jorge, González Rodríguez, Humberto","Terra Latinoamericana; 26(1); 61-68","Terra Latinoamericana","Espanhol","2008","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-57792008000100008&lang=pt" 
