"S0102-71822016000300516-scl","DA (IM)POSSIBILIDADE DO DIÁLOGO: CONVERSAÇÕES PÚBLICAS E OS DIREITOS LGBTS","Moscheta, Murilo, Souza, Laura Vilela, Casarini, Karin Aparecida, Scorsolini-Comin, Fabio","Psicologia &amp; Sociedade; 28(3); 516-525","Psicologia &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822016000300516&lang=pt" 
"S0102-71822016000300453-scl","CONSTRUÇÃO DE IDENTIDADE(S) NA VELHICE: OS TERRITÓRIOS ENQUANTO MARCOS IDENTITÁRIOS","Veiga, Marcia Regina Medeiros, Ferreira, Sónia Cristina Mairos, Cordeiro, António Manuel Rochette","Psicologia &amp; Sociedade; 28(3); 453-462","Psicologia &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822016000300453&lang=pt" 
"S2175-80262016000300257-scl","Students&#039; and Teachers&#039; Academic Writing and Reading: Colombia in Three voices","Pérez, Olga López, Pereira, Claudia Maria","Ilha do Desterro; 69(3); 257-263","Ilha do Desterro","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-80262016000300257&lang=pt" 
"S0102-71822016000300433-scl","PESQUISA COM GRUPO FOCAL: CONTRIBUIÇÕES AO ESTUDO DAS REPRESENTAÇÕES SOCIAIS","Nóbrega, Danielle Oliveira, Andrade, Erika dos Reis Gusmão, Melo, Elda Silva do Nascimento","Psicologia &amp; Sociedade; 28(3); 433-441","Psicologia &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822016000300433&lang=pt" 
"S0102-71822016000300631-scl","BRANQUITUDES: UM ESTUDO SOBRE RELAÇÕES RACIAIS EM SÃO PAULO","Oltramari, Leandro Castro","Psicologia &amp; Sociedade; 28(3); 631-634","Psicologia &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822016000300631&lang=pt" 
"S0102-71822016000300582-scl","AS PESQUISAS EM REPRESENTAÇÕES SOCIAIS NA REVISTA PSICOLOGIA &amp; SOCIEDADE","Collares-da-Rocha, Julio Cesar Cruz, Wolter, Rafael Pecly, Wachelke, João","Psicologia &amp; Sociedade; 28(3); 582-588","Psicologia &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822016000300582&lang=pt" 
"S0102-71822016000300622-scl","SOBRE CRÍTICAS E PSICOLOGIAS: QUE PSICOLOGIA (SOCIAL) ACEITAMOS E FAZEMOS REVERBERAR?","Kind, Luciana","Psicologia &amp; Sociedade; 28(3); 622-626","Psicologia &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822016000300622&lang=pt" 
"S2175-80262016000300077-scl","A Escrita de Artigo Acadêmico na Universidade: Autoria x Plágio","Alves, Maria Fátima, Moura, Lucielma de Oliveira Batista Magalhães de","Ilha do Desterro; 69(3); 77-93","Ilha do Desterro","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-80262016000300077&lang=pt" 
"S2175-80262016000300063-scl","Desafios à Educação Para a Autoria na Esfera Acadêmica","Cerutti-Rizzatti, Mary Elizabeth, Dellagnelo, Adriana de Carvalho Kuerten","Ilha do Desterro; 69(3); 63-76","Ilha do Desterro","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-80262016000300063&lang=pt" 
"S0102-71822016000300412-scl","REDES DIGITAIS: UM LOCAL DE PRODUÇÃO DE VERDADES NO CONTEMPORÂNEO?","Mozzini, Camila, Hennigen, Inês","Psicologia &amp; Sociedade; 28(3); 412-422","Psicologia &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822016000300412&lang=pt" 
"S0102-71822016000300589-scl","GÊNERO, FEMINISMO E PSICOLOGIA SOCIAL NO BRASIL: ANÁLISE DA REVISTA PSICOLOGIA &amp; SOCIEDADE (1996-2010)","Santos, Luana Carola dos, Carvalho, Ana Berlado, Amaral, Julião Gonçalves, Borges, Larissa Amorim, Mayorga, Claudia","Psicologia &amp; Sociedade; 28(3); 589-603","Psicologia &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822016000300589&lang=pt" 
"S2175-80262016000300173-scl","Engineering the Future: Teaching Reading and Writing at the Universidad Nacional de Entre Rios","Waigandt, Diana Monica, Noceti, Alicia Maria, Zapata, Luz Marina","Ilha do Desterro; 69(3); 173-187","Ilha do Desterro","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-80262016000300173&lang=pt" 
"S0102-71822016000300410-scl","PSICOLOGIA &amp; SOCIEDADE: TRÊS DÉCADAS DE PRODUÇÃO CRÍTICA","Hüning, Simone Maria, Medrado, Benedito, Bernardes, Anita Guazelli, Souza, Laura Vilela e, Kind, Luciana","Psicologia &amp; Sociedade; 28(3); 410-411","Psicologia &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822016000300410&lang=pt" 
"S0102-71822016000300572-scl","BIBLIOMETRIA E METASSÍNTESE DE ESTUDOS SOBRE TRABALHO PUBLICADOS NA REVISTA PSICOLOGIA &amp; SOCIEDADE","Oliveira, Adélia Augusta Souto de, Lima, Cristina Generino dos Santos, Morais, Kalina Karla Clemente de","Psicologia &amp; Sociedade; 28(3); 572-581","Psicologia &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822016000300572&lang=pt" 
"S0102-71822016000300442-scl","A MEDICINA COM O VOTO DE MINERVA: O LOUCO INFRATOR","Cunha, Carolini Cássia, Boarini, Maria Lucia","Psicologia &amp; Sociedade; 28(3); 442-452","Psicologia &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822016000300442&lang=pt" 
"S2175-80262016000300013-scl","Práticas de Letramento Acadêmico no Facebook","Franco, Raquel Aparecida Soares Reis, Castanheira, Maria Lúcia","Ilha do Desterro; 69(3); 13-28","Ilha do Desterro","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-80262016000300013&lang=pt" 
"S0102-71822016000300463-scl","MODOS DE SUBJETIVAÇÃO DE JOVENS EM UM TERRITÓRIO DE CONFLITO SOCIOAMBIENTAL","Bacelar, Rafael Prosdocimi, Castro, Lucia Rabello de","Psicologia &amp; Sociedade; 28(3); 463-472","Psicologia &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822016000300463&lang=pt" 
"S1414-32832016000401027-spa","Ambiente, saúde e trabalho: temas geradores para ensino em saúde e segurança do trabalho no Acre, Brasil","Ribeiro, Josina Maria Pontes, Araújo-Jorge, Tania Cremonini de, Bessa Neto, Vicente","Interface - Comunicação, Saúde, Educação; 20(59); 1027-1039","Interface - Comunicação, Saúde, Educação","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832016000401027&lang=pt" 
"S1414-32832016000400917-scl","Cuidado em saúde mental, risco e território: transversalidades no contexto da sociedade de segurança","Barbosa, Valquiria Farias Bezerra, Caponi, Sandra Noemi Cucurullo de, Verdi, Marta Inez Machado","Interface - Comunicação, Saúde, Educação; 20(59); 917-928","Interface - Comunicação, Saúde, Educação","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832016000400917&lang=pt" 
"S1414-32832016000401099-spa","Formas, fôrmas e fragmentos: uma exploração performática e autoetnográfica das lacunas, quebras e rachaduras na produção de conhecimento acadêmico","Brilhante, Aline Veras Morais, Moreira, Cláudio","Interface - Comunicação, Saúde, Educação; 20(59); 1099-1113","Interface - Comunicação, Saúde, Educação","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832016000401099&lang=pt" 
"S1414-32832016000401041-scl","Formação em cuidados paliativos: experiência de alunos de medicina e enfermagem","Costa, Álvaro Percínio, Poles, Kátia, Silva, Alexandre Ernesto","Interface - Comunicação, Saúde, Educação; 20(59); 1041-1052","Interface - Comunicação, Saúde, Educação","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832016000401041&lang=pt" 
"S1414-32832016000401087-spa","Resistir para experimentar parir: corporalidade, subjetividade e feminismo entre mulheres que buscam o parto humanizado no Brasil","Ferraz, Dulce Aurélia de Souza","Interface - Comunicação, Saúde, Educação; 20(59); 1087-1091","Interface - Comunicação, Saúde, Educação","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832016000401087&lang=pt" 
"S1414-32832016000401053-scl","Oficinas e jogos eletrônicos: produção de saúde mental?","Baum, Carlos, Maraschin, Cleci","Interface - Comunicação, Saúde, Educação; 20(59); 1053-1062","Interface - Comunicação, Saúde, Educação","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832016000401053&lang=pt" 
"S2175-80262016000300115-scl","How Do Faculty Conceptions on Reading, Writing and Their Role in the Teaching of Academic Literacies Influence Their Inclusive Attitude","Colombo, Laura, Prior, Mónica","Ilha do Desterro; 69(3); 115-124","Ilha do Desterro","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-80262016000300115&lang=pt" 
"S0102-71822016000300526-scl","A FORMAÇÃO DA PSICOLOGIA SOCIAL COMO CAMPO CIENTÍFICO NO BRASIL","Jacó-Vilela, Ana Maria, Degani-Carneiro, Filipe, Oliveira, Dayse de Marie","Psicologia &amp; Sociedade; 28(3); 526-536","Psicologia &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822016000300526&lang=pt" 
