"S1981-57942015000300501-scl","Análise argumentativa de um acórdão: quadro institucional,doxa e representações sociais em um gênero judicial","PAULINELLI, Maysa de Pádua Teixeira, SILVA, Adriana dos Reis","Alfa : Revista de Linguística (São José do Rio Preto); 59(3); 501-522","Alfa : Revista de Linguística (São José do Rio Preto)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942015000300501&lang=pt" 
"S1981-57942015000300573-scl","“SÓ”, “EXCLUSIVAMENTE” E SUAS POSIÇÕES NA SENTENÇA","TESCARI NETO, Aquiles","Alfa : Revista de Linguística (São José do Rio Preto); 59(3); 573-602","Alfa : Revista de Linguística (São José do Rio Preto)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942015000300573&lang=pt" 
"S1981-57942015000300471-scl","Uma proposta para o estudo da percepção: em torno da semiótica cognitiva","SILVA, Fernando Moreno da","Alfa : Revista de Linguística (São José do Rio Preto); 59(3); 471-500","Alfa : Revista de Linguística (São José do Rio Preto)","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-57942015000300471&lang=pt" 
"S0187-73722015000200010-mex","Envejecimiento en América Latina y el Caribe: Enfoques en investigación y docencia de la Red Latinoamericana de Investigación en Envejecimiento (LARNA)","Vera López, Juana Isabel","Frontera norte; 27(54); 207-210","Frontera norte","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73722015000200010&lang=pt" 
"S0100-879X2015001201156-scl","Optical coherence tomography imaging of the basal ganglia: feasibility and brief review","Lopez, W. O. Contreras, Ângelos, J. S., Martinez, R. C. R., Takimura, C. K., Teixeira, M. J., Lemos Neto, P. A., Fonoff, E. T.","Brazilian Journal of Medical and Biological Research; 48(12); 1156-1159","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001201156&lang=pt" 
"S0100-879X2015001201151-scl","Basic life support knowledge of first-year university students from Brazil","Santos, S. V., Margarido, M. R. R. A., Caires, I. S., Santos, R. A. N., Souza, S. G., Souza, J. M. A., Martimiano, R. R., Dutra, C. S. K., Palha, P., Zanetti, A. C. G., Pazin-Filho, A.","Brazilian Journal of Medical and Biological Research; 48(12); 1151-1155","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001201151&lang=pt" 
"S0187-73722015000200009-mex","Reto y perspectiva de la dependencia económica mexicana","Peralta Solorio, Ernesto Felipe","Frontera norte; 27(54); 197-205","Frontera norte","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73722015000200009&lang=pt" 
"S1414-32832015000401019-scl","Interface arte, saúde e cultura: um campo transversal de saberes e práticas","Lima, Elizabeth Araújo, Castro, Eliane Dias de, Buelau, Renata Monteiro, Valent, Isabela Umbuzeiro, Inforsato, Erika Alvarez","Interface - Comunicação, Saúde, Educação; 19(55); 1019-1022","Interface - Comunicação, Saúde, Educação","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832015000401019&lang=pt" 
"S1414-32832015000401157-scl","Experimentações e reflexões sobre o apoio institucional em saúde: trabalho a partir do HumanizaSUS","Silva, Fabio Hebert da, Barros, Maria Elizabeth Barros de, Martins, Cátia Paranhos","Interface - Comunicação, Saúde, Educação; 19(55); 1157-1168","Interface - Comunicação, Saúde, Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832015000401157&lang=pt" 
"S1981-77462015000300657-scl","A ATIVIDADE DOS TRABALHADORES DE ENFERMAGEM NUMA UNIDADE HOSPITALAR: ENTRE NORMAS E RENORMALIZAÇÕES","Fischborn, Aline Fernanda, Viegas, Moacir Fernando","Trabalho, Educação e Saúde; 13(3); 657-674","Trabalho, Educação e Saúde","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-77462015000300657&lang=pt" 
"S1414-32832015000401233-scl","Avaliação externa no Ensino Superior na área da saúde: inquietações e a dimensão das margens","Chaves, Simone Edi, Ceccim, Ricardo Burg","Interface - Comunicação, Saúde, Educação; 19(55); 1233-1242","Interface - Comunicação, Saúde, Educação","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832015000401233&lang=pt" 
"S1414-32832015000401027-scl","Arte e humanização das práticas de saúde em uma Unidade Básica","Sato, Mariana, Ayres, José Ricardo de Carvalho Mesquita","Interface - Comunicação, Saúde, Educação; 19(55); 1027-1038","Interface - Comunicação, Saúde, Educação","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832015000401027&lang=pt" 
"S1981-77462015000300565-scl","TRABALHO DOCENTE: A CRISTALIZAÇÃO DE UMA METÁFORA","Santos, Gideon Borges dos","Trabalho, Educação e Saúde; 13(3); 565-580","Trabalho, Educação e Saúde","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-77462015000300565&lang=pt" 
"S1414-32832015000601193-spa","A produção do currículo do final da vida por meio do dispositivo pedagógico da mídia","Cordeiro, Franciele Roberta, Kruse, Maria Henriqueta Luce","Interface - Comunicação, Saúde, Educação; 19(55); 1193-1205","Interface - Comunicação, Saúde, Educação","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832015000601193&lang=pt" 
"S1414-32832015000601207-spa","A morte no cotidiano da graduação: um olhar do aluno de medicina","Duarte, Anaísa Caparroz, Almeida, Débora Vieira de, Popim, Regina Célia","Interface - Comunicação, Saúde, Educação; 19(55); 1207-1219","Interface - Comunicação, Saúde, Educação","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832015000601207&lang=pt" 
"S1414-32832015000601169-spa","Casais de mesmo sexo e parentalidade: um olhar sobre o uso das tecnologias reprodutivas","Vitule, Camila, Couto, Marcia Thereza, Machin, Rosana","Interface - Comunicação, Saúde, Educação; 19(55); 1169-1180","Interface - Comunicação, Saúde, Educação","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832015000601169&lang=pt" 
"S1414-32832015000401039-scl","Receituário Mais que Especial: uma intervenção urbana para pensar arte e pesquisa no contexto da Reforma Psiquiátrica","Zanchet, Lívia, Palombini, Analice de Lima, Yasui, Silvio","Interface - Comunicação, Saúde, Educação; 19(55); 1039-1050","Interface - Comunicação, Saúde, Educação","Português, Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832015000401039&lang=pt" 
"S1414-32832015000601027-spa","Arte e humanização das práticas de saúde em uma Unidade Básica","Sato, Mariana, Ayres, José Ricardo de Carvalho Mesquita","Interface - Comunicação, Saúde, Educação; 19(55); 1027-1038","Interface - Comunicação, Saúde, Educação","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832015000601027&lang=pt" 
