"S0036-36342006000700008-mex","Análisis del impacto en fumadores mexicanos de los avisos gráficos en las cajetillas de cigarros","Thrasher, James Francis, Allen, Betania, Reynales-Shigematsu, Luz Myriam, Anaya, Rafael, Lazcano-Ponce, Eduardo, Hernández-Avila, Mauricio","Salud Pública de México; 48(); s65-s74","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000700008&lang=pt" 
"S0036-36342006000700012-mex","Políticas, vigilancia y acceso de los menores de edad a los cigarros en la Ciudad de México","Kuri-Morales, Pablo Antonio, Cortés-Ramírez, Mario, Cravioto-Quintana, Patricia, Jesús Hoy, María, González-Roldán, Jesús Felipe","Salud Pública de México; 48(); s99-s106","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000700012&lang=pt" 
"S0036-36342006000700013-mex","Tobacco use among Romanian youth","Lotrean, Lucia M., Ionut, Carmen, Vries, Hein de","Salud Pública de México; 48(); s107-s112","Salud Pública de México","Inglês","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000700013&lang=pt" 
"S0036-36342006000700016-mex","Efecto de la nueva regulación antitabaco en Italia","Rodríguez, Teresa, Gallus, Silvano, Chatenoud, Liliane, Zuccaro, Piergiorgio, Colombo, Paolo, Apolone, Giovanni, Pacifici, Roberta, Garattini, Silvio, La Vecchia, Carlo","Salud Pública de México; 48(); s137-s139","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000700016&lang=pt" 
"S0036-36342006000700017-mex","Tobacco control in China: the dilemma between economic development and health improvement","Wang, Hong","Salud Pública de México; 48(); s140-s147","Salud Pública de México","Inglês","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000700017&lang=pt" 
"S0036-36342006000700025-mex","Sir Richard Doll","Franceschi, Silvia","Salud Pública de México; 48(); s217-s218","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000700025&lang=pt" 
"S1806-11172006000100007-scl","Método Variacional com Monte Carlo aplicado ao oscilador harmônico quântico","Reis, Marcelo A. dos, Vitiello, S.A.","Revista Brasileira de Ensino de Física; 28(1); 45-50","Revista Brasileira de Ensino de Física","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172006000100007&lang=pt" 
"S1806-11172006000100006-scl","Supersimetria, método variacional e potencial de Lennard-Jones (12,6)","Araujo, João Cesar Boreggio de, Borges, Gláucia R.P., Drigo Filho, Elso","Revista Brasileira de Ensino de Física; 28(1); 41-44","Revista Brasileira de Ensino de Física","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172006000100006&lang=pt" 
"S1806-11172006000100002-scl","Einstein e a Filosofia","Dahmen, Sílvio R.","Revista Brasileira de Ensino de Física; 28(1); 3-7","Revista Brasileira de Ensino de Física","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172006000100002&lang=pt" 
"S1806-11172006000100001-scl","Por que, nós professores de Física do Ensino Médio, devemos inserir tópicos e idéias de física moderna e contemporânea na sala de aula?","Pena, Fábio Luís Alves","Revista Brasileira de Ensino de Física; 28(1); 1-2","Revista Brasileira de Ensino de Física","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172006000100001&lang=pt" 
"S1806-11172006000100005-scl","Análogo mecânico para condutividade elétrica dos metais: efeito da temperatura","Bagnato, Vanderlei S., Rodrigues, Vinícius","Revista Brasileira de Ensino de Física; 28(1); 35-39","Revista Brasileira de Ensino de Física","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172006000100005&lang=pt" 
"S1806-11172006000100016-scl","Considerações sobre o conceito de temperatura e de temperatura absoluta","Leal Ferreira, G.F.","Revista Brasileira de Ensino de Física; 28(1); 125-128","Revista Brasileira de Ensino de Física","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172006000100016&lang=pt" 
