"S0120-07392010000100004-col","CATÁLOGO PRELIMINAR DE LA FLORA VASCULAR DE LOS BOSQUES SUBANDINOS DE LA CUCHILLA EL FARA (SANTANDER-COLOMBIA)","Medina, Ruth, Reina-E, Miriam, Herrera, Edna, Ávila, Fabio Andres, Chaparro, Omar, Cortés-B., Rocio","Colombia Forestal; 13(1); 55-85","Colombia Forestal","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-07392010000100004&lang=pt" 
"S1870-11912010000100001-mex","Presentación","Vizcarra, Fernando","Culturales; 6(11); 5-6","Culturales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-11912010000100001&lang=pt" 
"S1870-11912010000100002-mex","No soy mexicano, soy de Tijuana: juventud e identidad en la frontera norte de México","Ongay, Luis","Culturales; 6(11); 7-42","Culturales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-11912010000100002&lang=pt" 
"S1870-11912010000100003-mex","Liberalism Revisited: The Autobiographical Writings of Alberto Jiménez Fraud (1883-1964)","Montero Díaz, Mercedes","Culturales; 6(11); 43-62","Culturales","Inglês","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-11912010000100003&lang=pt" 
"S1870-11912010000100004-mex","La construcción sociocultural de la homosexualidad. Enseñando a vivir en el anonimato","Balbuena Bello, Raúl","Culturales; 6(11); 63-82","Culturales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-11912010000100004&lang=pt" 
"S1870-11912010000100005-mex","Hombres jóvenes de la Ciudad de México: juventud e identidad masculina","García-Villanueva, Jorge, López Segura, Isaura E., Callejo García, Jonathan","Culturales; 6(11); 83-128","Culturales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-11912010000100005&lang=pt" 
"S1870-11912010000100006-mex","Ser japonés en México. Relatos de un inmigrante","Cañez de la Fuente, Gloria María, Shoko Doode, Olga, Hernández Doode, Gabriela","Culturales; 6(11); 129-158","Culturales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-11912010000100006&lang=pt" 
"S1870-11912010000100007-mex","Creating the Middle-class Suburban Dream in Mexico City","Capron, Guénola, Alba, Martha de","Culturales; 6(11); 159-183","Culturales","Inglês","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-11912010000100007&lang=pt" 
"S1870-11912010000100008-mex","Huellas compartidas. Ensayos sobre el campo académico de la comunicación en Baja California","Cruz Hernández, Sergio","Culturales; 6(11); 185-191","Culturales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-11912010000100008&lang=pt" 
"S1870-11912010000100009-mex","El &quot;ser&quot; femenino y la diferencia sexual","Martínez Lozano, Consuelo Patricia","Culturales; 6(11); 192-200","Culturales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-11912010000100009&lang=pt" 
"S1809-29502010000200001-scl","O trabalho em equipe do processo editorial","Guirro, Rinaldo","Fisioterapia e Pesquisa; 17(2); 101-101","Fisioterapia e Pesquisa","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502010000200001&lang=pt" 
"S1809-29502010000200010-scl","Pressões respiratórias máximas: equipamentos e procedimentos usados por fisioterapeutas brasileiros","Montemezzo, Dayane, Velloso, Marcelo, Britto, Raquel Rodrigues, Parreira, Verônica Franco","Fisioterapia e Pesquisa; 17(2); 147-152","Fisioterapia e Pesquisa","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502010000200010&lang=pt" 
"S1809-29502010000200011-scl","Efeito de um programa de treinamento funcional no equilíbrio postural de idosas da comunidade","Lustosa, Lygia Paccini, Oliveira, Larissa Alves de, Santos, Lidiane da Silva, Guedes, Rita de Cássia, Parentoni, Adriana Netto, Pereira, Leani Souza Máximo","Fisioterapia e Pesquisa; 17(2); 153-156","Fisioterapia e Pesquisa","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502010000200011&lang=pt" 
