"S1414-81452012000400021-scl","Ventilação mecânica: evidências para o cuidado de enfermagem","Rodrigues, Yarla Cristine Santos Jales, Studart, Rita Mônica Borges, Andrade, Ítalo Rigoberto Cavalcante, Citó, Maria do Carmo de Oliveira, Melo, Elizabeth Mesquita, Barbosa, Islene Victor","Escola Anna Nery; 16(4); 789-795","Escola Anna Nery","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452012000400021&lang=pt" 
"S1414-81452012000400022-scl","Experiências de doentes críticos com a ventilação mecânica invasiva","Dornelles, Cristian, Oliveira, Gabriele Brito de, Schwonke, Camila Rose G.B., Silva, José Richard de Sosa","Escola Anna Nery; 16(4); 796-801","Escola Anna Nery","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452012000400022&lang=pt" 
"S1414-81452012000400023-scl","Eficácia de estratégias educativas para ações preventivas da pneumonia associada à ventilação mecânica","Gonçalves, Fernanda Alves Ferreira, Brasil, Virginia Visconde, Minamisava, Ruth, Caixeta, Carlos Roberto, Oliveira, Lizete Malagoni de Almeida Cavalcante, Cordeiro, Jacqueline Andréia Bernardes Leão","Escola Anna Nery; 16(4); 802-808","Escola Anna Nery","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452012000400023&lang=pt" 
"S1414-81452012000400024-scl","Educação em saúde: planejamento e execução da alta em uma Unidade de Terapia Intensiva neonatal","Nietsche, Elisabeta Albertina, Nora, Aline Dalla, Lima, Márcia Gabriela Rodrigues de, Bottega, Janilene Camara, Neves, Eliane Tatsch, Sosmayer, Vera Lúcia","Escola Anna Nery; 16(4); 809-816","Escola Anna Nery","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452012000400024&lang=pt" 
"S1414-81452012000400025-scl","Atenção paliativa oncológica em Unidade de Terapia Intensiva: um estudo da produção científica da enfermagem","Mendonça, Ana Carolina Abeid, Moreira, Marléa Chagas, Carvalho, Vilma de","Escola Anna Nery; 16(4); 817-823","Escola Anna Nery","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452012000400025&lang=pt" 
"S0103-73072012000300003-scl","El manual como texto","Benito, Agustín Escolano","Pro-Posições; 23(3); 33-50","Pro-Posições","Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072012000300003&lang=pt" 
"S0103-73072012000300004-scl","O livro didático como mercadoria","Munakata, Kazumi","Pro-Posições; 23(3); 51-66","Pro-Posições","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072012000300004&lang=pt" 
"S0103-73072012000300005-scl","Os manuais escolares, mídia de massa e suporte de representações sociais: o exemplo da Guerra Fria nos manuais franceses de História","Morand, Brigitte","Pro-Posições; 23(3); 67-86","Pro-Posições","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072012000300005&lang=pt" 
"S0103-73072012000300006-scl","A retórica da infelicidade: laço social e leitura em livros escolares do cânone republicano","Batista, Antônio Augusto Gomes","Pro-Posições; 23(3); 87-102","Pro-Posições","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072012000300006&lang=pt" 
"S0103-73072012000300007-scl","Historia de las disciplinas, profesionalización docente y formación de profesores: el caso español","Viñao, Antonio","Pro-Posições; 23(3); 103-118","Pro-Posições","Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072012000300007&lang=pt" 
"S0103-73072012000300010-scl","Mapas, dança, desenhos: a cartografia como método de pesquisa em educação","Oliveira, Thiago Ranniery Moreira de, Paraíso, Marlucy Alves","Pro-Posições; 23(3); 159-178","Pro-Posições","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072012000300010&lang=pt" 
"S0103-73072012000300011-scl","Corporeidade: o legado de Marcel Mauss e Maurice Merleau-Ponty","Daolio, Jocimar, Rigoni, Ana Carolina Capellini, Roble, Odilon José","Pro-Posições; 23(3); 179-193","Pro-Posições","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072012000300011&lang=pt" 
"S0103-73072012000300012-scl","Repercussões satíricas dos processos de escolarização do social nas ondas do rádio (1930-1940)","Salvadori, Maria Angela Borges","Pro-Posições; 23(3); 195-212","Pro-Posições","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072012000300012&lang=pt" 
"S0100-879X2012001200009-scl","Impairment of the hematological response and interleukin-1β production in protein-energy malnourished mice after endotoxemia with lipopolysaccharide","Fock, R.A., Vinolo, M.A.R., Blatt, S.L., Borelli, P.","Brazilian Journal of Medical and Biological Research; 45(12); 1163-1171","Brazilian Journal of Medical and Biological Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2012001200009&lang=pt" 
"S0103-73072012000300009-scl","Os elos entre a filosofia e a educação no pensamento de Theodor W. Adorno","Pagni, Pedro Angelo","Pro-Posições; 23(3); 133-157","Pro-Posições","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-73072012000300009&lang=pt" 
"S1414-753X2012000300007-scl","Motivações e resultados da certificação florestal: um estudo de caso cadeia de valor da Candeia","Donadelli, Flavia Maria de Mattos","Ambiente &amp; Sociedade; 15(3); 97-121","Ambiente &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2012000300007&lang=pt" 
"S1414-753X2012000300005-scl","Conflitos socioambientais no extrativismo da aroeira (Schinus terebebinthifolius Raddi), Baixo São Francisco - Sergipe/Alagoas","Jesus, Nádia Batista de, Gomes, Laura Jane","Ambiente &amp; Sociedade; 15(3); 55-73","Ambiente &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2012000300005&lang=pt" 
"S1414-753X2012000300004-scl","Environmental impact assessment, from Rio-92 to Rio+20 and beyond","Sánchez, Luis E., Croal, Peter","Ambiente &amp; Sociedade; 15(3); 41-54","Ambiente &amp; Sociedade","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2012000300004&lang=pt" 
"S1414-753X2012000300001-scl","Editorial","","Ambiente &amp; Sociedade; 15(3); -","Ambiente &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2012000300001&lang=pt" 
"S1414-753X2012000300002-scl","Sistema internacional de hegemonia conservadora: o fracasso da Rio + 20 na governança dos limites planetários","Viola, Eduardo, Franchini, Matías","Ambiente &amp; Sociedade; 15(3); 01-18","Ambiente &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2012000300002&lang=pt" 
"S1414-753X2012000300006-scl","Indicadores de sustentabilidade em processos de avaliação ambiental estratégica","Silva, Antonio Waldimir Leopoldino da, Selig, Paulo Maurício, Morales, Aran Bey Tcholakian","Ambiente &amp; Sociedade; 15(3); 75-96","Ambiente &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2012000300006&lang=pt" 
"S0101-32622012000300008-scl","Narrativas e desenvolvimento da identidade profissional de professores","Oliveira, Maria Cláudia Santos Lopes de","Cadernos CEDES; 32(88); 369-378","Cadernos CEDES","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622012000300008&lang=pt" 
