"S2237-101X2012000200223-scl","Uma sombra sobre o discurso ocidental","Hébrard, Jean","Topoi (Rio de Janeiro); 13(25); 223-227","Topoi (Rio de Janeiro)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-101X2012000200223&lang=pt" 
"S2237-101X2012000200168-scl","A carreira transimperial de don Manuel Cipriano de Melo no rio da Prata do século XVIII","Prado, Fabrício","Topoi (Rio de Janeiro); 13(25); 168-174","Topoi (Rio de Janeiro)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-101X2012000200168&lang=pt" 
"S2237-101X2012000200025-scl","Reparação e desamparo: o exercício da justiça através das notificações (Mariana, Minas Gerais, 1711-1888)","Antunes, Álvaro de Araujo, Silveira, Marco Antonio","Topoi (Rio de Janeiro); 13(25); 25-44","Topoi (Rio de Janeiro)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-101X2012000200025&lang=pt" 
"S2237-101X2012000200045-scl","&quot;Eliminar os indesejáveis&quot;: uma lógica de ação para o policiamento dos argelinos em Paris (1944-1962)","Blanchard, Emmanuel","Topoi (Rio de Janeiro); 13(25); 45-53","Topoi (Rio de Janeiro)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-101X2012000200045&lang=pt" 
"S2237-101X2012000200006-scl","Reflexões sobre o Programa de Pós-Graduação em História Social - trinta anos","Falcon, Francisco José Calazans, Carvalho, José Murilo de, Ferreira, Marieta de Moraes","Topoi (Rio de Janeiro); 13(25); 6-24","Topoi (Rio de Janeiro)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-101X2012000200006&lang=pt" 
"S2237-101X2012000200218-scl","Trajetória individual, imaginação e narrativa - três questões provocadoras e sugestivas em Como Shakespeare se tornou Shakespeare","Gusmão, Henrique Buarque de","Topoi (Rio de Janeiro); 13(25); 218-222","Topoi (Rio de Janeiro)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-101X2012000200218&lang=pt" 
"S2237-101X2012000200211-scl","Os difíceis caminhos percorridos pela Lei de Anistia no Brasil, do estudo de caso ao contexto nacional","Bilhão, Isabel","Topoi (Rio de Janeiro); 13(25); 211-213","Topoi (Rio de Janeiro)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-101X2012000200211&lang=pt" 
"S2237-101X2012000200214-scl","Costurar o passado Carlos","Camenietzki, Ziller","Topoi (Rio de Janeiro); 13(25); 214-217","Topoi (Rio de Janeiro)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-101X2012000200214&lang=pt" 
"S2237-101X2012000200147-scl","De corpo e alma na margem: catolicismo, santidade e medicina no Norte de Portugal (c. 1900 - c. 1950)","Marques, Tiago Pires","Topoi (Rio de Janeiro); 13(25); 147-167","Topoi (Rio de Janeiro)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-101X2012000200147&lang=pt" 
"S2237-101X2012000200130-scl","A narrativa histórica entre a vida e o texto: apontamentos sobre um amplo debate","Marcelino, Douglas Attila","Topoi (Rio de Janeiro); 13(25); 130-146","Topoi (Rio de Janeiro)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-101X2012000200130&lang=pt" 
