"S2317-17822017000100300-scl","Habilidades do desenvolvimento de crianças prematuras de baixo peso e muito baixo peso","Ribeiro, Camila da Costa, Pachelli, Mariane Regina de Oliveira, Amaral, Natalie Camillo de Oliveira, Lamônica, Dionísia Aparecida Cusin","CoDAS; 29(1); -","CoDAS","Inglês, Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-17822017000100300&lang=pt" 
"S0104-11692017000100306-scl","Confirmatory factor analysis of the Appraisal of Self-Care Agency Scale - Revised","Stacciarini, Thaís Santos Guerra, Pace, Ana Emilia","Revista Latino-Americana de Enfermagem; 25(); -","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692017000100306&lang=pt" 
"S0104-11692017000100304-scl","Perceptional gaps among women, husbands and family members about intentions for birthplace: a cross-sectional study","Shimpuku, Yoko, Madeni, Frida Elikana, Horiuchi, Shigeko, Leshabari, Sebalda Charles","Revista Latino-Americana de Enfermagem; 25(); -","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692017000100304&lang=pt" 
"S0104-11692017000100200-scl","Nursing Protagonism in the UN Goals for the people’s health","Mendes, Isabel Amélia Costa, Ventura, Carla Aparecida Arena","Revista Latino-Americana de Enfermagem; 25(); -","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692017000100200&lang=pt" 
"S0104-11692017000100303-scl","Toward Advanced Nursing Practice along with People-Centered Care Partnership Model for Sustainable Universal Health Coverage and Universal Access to Health","Kamei, Tomoko, Takahashi, Keiko, Omori, Junko, Arimori, Naoko, Hishinuma, Michiko, Asahara, Kiyomi, Shimpuku, Yoko, Ohashi, Kumiko, Tashiro, Junko","Revista Latino-Americana de Enfermagem; 25(); -","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692017000100303&lang=pt" 
"S0104-11692017000100302-scl","Universal Health Coverage through Community Nursing Services: China vs. Hong Kong","Chan, Wai Yee, Fung, Ita M, Chan, Eric","Revista Latino-Americana de Enfermagem; 25(); -","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692017000100302&lang=pt" 
"S0104-11692017000100301-scl","Advanced Practice Nursing: A Strategy for Achieving Universal Health Coverage and Universal Access to Health","Bryant-Lukosius, Denise, Valaitis, Ruta, Martin-Misener, Ruth, Donald, Faith, Peña, Laura Morán, Brousseau, Linda","Revista Latino-Americana de Enfermagem; 25(); -","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692017000100301&lang=pt" 
"S0034-89102017000100501-scl","Governance and mental health: contributions for public policy approach","Díaz-Castro, Lina, Arredondo, Armando, Pelcastre-Villafuerte, Blanca Estela, Hufty, Marc","Revista de Saúde Pública; 51(); -","Revista de Saúde Pública","Inglês, Espanhol","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102017000100501&lang=pt" 
"S0719-81322017000100027-chl","Haematological and serum biochemical reference values for urban-working equines in Chile","Aros, Karina, Carrasco, Jorge, Briones, Rodrigo, Tadich, Tamara A.","Austral journal of veterinary sciences; 49(1); 27-33","Austral journal of veterinary sciences","Inglês","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-81322017000100027&lang=pt" 
"S0719-81322017000100025-chl","Ruminants are not a reservoir of enteroaggregative Escherichia coli","Orden, José A., Domínguez-Bernal, Gustavo, Horcajo, Pilar, Ruiz-Santa-Quiteria, José A., García, Ángel, Carrión, Javier","Austral journal of veterinary sciences; 49(1); 25-26","Austral journal of veterinary sciences","Inglês","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-81322017000100025&lang=pt" 
"S0719-81322017000100009-chl","Clinical presentation and biochemical profile of horses during induction and treatment of hypocalcemia","Barrêto-Júnior, Raimundo A., Minervino, Antonio H., Rodrigues, Federico A., Meira Júnior, Enoch B., Lima, Alessandra, Sousa, Rejane, Mori, Clara, Araújo, Carolina A., R.Fernandes, Wilson, Ortolani, Enrico","Austral journal of veterinary sciences; 49(1); 9-14","Austral journal of veterinary sciences","Inglês","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-81322017000100009&lang=pt" 
"S0719-81322017000100015-chl","Effects of two platelet-rich gel supernatants at two concentrations on healthy cartilage explants from horses","Carmona, Jorge U., Ríos, Diana L., López, Catalina","Austral journal of veterinary sciences; 49(1); 15-23","Austral journal of veterinary sciences","Inglês","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-81322017000100015&lang=pt" 
