"S1809-98232013000300014-scl","Medo de cair e qualidade de vida em idosos com catarata","Macedo, Barbara Gazolla de, Pereira, Leani Souza Máximo, Rocha, Fábio Lopes, Castro, Aldemar N. Brandão Vilela de","Revista Brasileira de Geriatria e Gerontologia; 16(3); 569-577","Revista Brasileira de Geriatria e Gerontologia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232013000300014&lang=pt" 
"S1809-98232013000300016-scl","Prevalência de obesidade associada à ingestão calórica, glicemia e perfil lipídico em uma amostra populacional de idosos do Sul do Brasil","Venturini, Carina Duarte, Engroff, Paula, Gomes, Irenio, De Carli, Geraldo Attilio","Revista Brasileira de Geriatria e Gerontologia; 16(3); 591-601","Revista Brasileira de Geriatria e Gerontologia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232013000300016&lang=pt" 
"S1809-98232013000300017-scl","Influência do treinamento da potência muscular sobre a capacidade de execução de tarefas motoras em mulheres idosas","Barros, Celia Cohen, Caldas, Célia Pereira, Batista, Luiz Alberto","Revista Brasileira de Geriatria e Gerontologia; 16(3); 603-613","Revista Brasileira de Geriatria e Gerontologia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232013000300017&lang=pt" 
"S1809-98232013000300018-scl","Análise de protocolos com intervenção motora domiciliar para pacientes com doença de Alzheimer: uma revisão sistemática","Santos, Julimara Gomes dos, Andrade, Larissa Pires de, Pereira, Jessica Rodrigues, Stein, Angelica Miki, Pedroso, Renata Valle, Costa, José Luiz Riani","Revista Brasileira de Geriatria e Gerontologia; 16(3); 615-631","Revista Brasileira de Geriatria e Gerontologia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232013000300018&lang=pt" 
"S1809-98232013000300019-scl","Relações entre avós e seus netos adolescentes: uma revisão integrativa","Oliveira, Alessandra Ribeiro Ventura, Pinho, Diana Lúcia Moura","Revista Brasileira de Geriatria e Gerontologia; 16(3); 633-642","Revista Brasileira de Geriatria e Gerontologia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232013000300019&lang=pt" 
"S1809-98232013000300004-scl","Cuidadores familiares de idosos com doença de Alzheimer em uma intervenção psicoeducacional","Lopes, Lais de Oliveira, Cachioni, Meire","Revista Brasileira de Geriatria e Gerontologia; 16(3); 443-460","Revista Brasileira de Geriatria e Gerontologia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232013000300004&lang=pt" 
"S1413-294X2013000300013-scl","Prazer e sofrimento no trabalho das agentes de segurança penitenciária","Tschiedel, Rubia Minuzzi, Monteiro, Janine Kieling","Estudos de Psicologia (Natal); 18(3); 527-535","Estudos de Psicologia (Natal)","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-294X2013000300013&lang=pt" 
"S1984-92302013000300001-scl","Organizações &amp; Sociedade: O&amp;S","Silva, Mônica de Aguiar Mac-Allister da, Rosa, Flávia Goulart Mota Garcia","Organizações &amp; Sociedade; 20(66); 377-378","Organizações &amp; Sociedade","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-92302013000300001&lang=pt" 
"S1984-92302013000300004-scl","A distribuição de receitas públicas nos municípios do estado da Bahia: uma análise crítica de sua equidade","Lira, Neila Karolina Mendes, Monteiro, Augusto de Oliveira, Fadul, Élvia Mirian Cavalcanti","Organizações &amp; Sociedade; 20(66); 423-438","Organizações &amp; Sociedade","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-92302013000300004&lang=pt" 
"S1984-92302013000300009-scl","Recomendações metodológicas para a adoção da perspectiva da estruturação nos estudos organizacionais","Rossoni, Luciano, Guarido Filho, Edson Ronaldo, Coraiola, Diego Maganhoto","Organizações &amp; Sociedade; 20(66); 523-542","Organizações &amp; Sociedade","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-92302013000300009&lang=pt" 
