"S1688-03902012000400001-ury","Reconocimiento de la Revista Médica del Uruguay a los Dres. Carlos Gómez Fossati y Gonzalo Aiello","Turnes, Antonio L., Rodríguez Almada, Hugo","Revista Médica del Uruguay; 28(4); 239-240","Revista Médica del Uruguay","Espanhol","2012","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-03902012000400001&lang=pt" 
"S1688-03902012000400003-ury","Glioblastoma multiforme cerebral hemisférico: análisis de sobrevida de 65 casos tratados en el Departamento de Oncología del Hospital de Clínicas, desde 1980 a 2000","Rodríguez, Robinson, Lombardo, Karina, Roldán, Gloria, Silvera, Jaime, Lagomarsino, Roberto","Revista Médica del Uruguay; 28(4); 250-261","Revista Médica del Uruguay","Espanhol","2012","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-03902012000400003&lang=pt" 
"S1688-03902012000400002-ury","Análisis de sobrevida según perfil biológico de pacientes uruguayas con cáncer de mama","Castillo, Cecilia, Camejo, Natalia, Delgado, Lucía, Fresco, Rodrigo, Santander, Guianeya, Aguiar, Sergio, González, Valeria, Heinzen, Silvina, Martínez, Andrea, Meyer, Carlos, Sena, Gustavo, Spera, Gonzalo, Ubillos, Luis, Xavier, Franco, Deneo, Hugo, Aghazarian, Marta, Rodríguez, Robinson, Sabini, Graciela","Revista Médica del Uruguay; 28(4); 241-249","Revista Médica del Uruguay","Espanhol","2012","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-03902012000400002&lang=pt" 
"S1983-21172012000300185-scl","SEGUINDO OS PASSOS DE SHERLOCK HOLMES: EXPERIÊNCIA INTERDISCIPLINAR EM ENCONTRO DE DIVULGAÇÃO CIENTÍFICA","Regiani, Anelise Maria, Gomes, Cezar Silvino, Souza, Mario Sandro, Brito, Cleyton de Holanda","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 14(3); 185-198","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172012000300185&lang=pt" 
"S1983-21172012000300199-scl","A CONSTRUÇÃO DE UM PROCESSO DIDÁTICO-PEDAGÓGICO DIALÓGICO: ASPECTOS EPISTEMOLÓGICOS","Muenchen, Cristiane, Delizoicov, Demétrio","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 14(3); 199-215","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172012000300199&lang=pt" 
"S1983-21172012000300217-scl","A REESTRUTURAÇÃO DO PROJETO PEDAGÓGICO DE UM CURSO DE LICENCIATURA EM FÍSICA DE UMA UNIVERSIDADE PÚBLICA: CONTRIBUIÇÕES DE LICENCIANDOS AO PROCESSO","Camargo, Sergio, Nardi, Roberto, Ghiotto, Renato Carlos Tonin, Caluzi, João José, Xavier, José Armando, Rubo, Elisabete Aparecida Andrello, Ruggiero., Lígia de Oliveira","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 14(3); 217-235","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172012000300217&lang=pt" 
"S1983-21172012000300085-scl","REGISTROS DE REPRESENTAÇÃO SEMIÓTICA E SUAS CONTRIBUIÇÕES PARA O ENSINO DE FÍSICA","Santos, Cintia Ap. Bento dos, Curi, Edda","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 14(3); 85-95","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172012000300085&lang=pt" 
"S1983-21172012000300131-scl","ANALOGIAS EM LIVROS DE QUÍMICA GERAL DESTINADOS AO ENSINO SUPERIOR","Francisco Junior, Wilmo Ernesto, Francisco, Welington, Oliveira, Ana Carolina Garcia de","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 14(3); 131-147","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172012000300131&lang=pt" 
"S1983-21172012000300011-scl","EDITORIAL","Coutinho, Francisco Ângelo, Coutinho, Francisco Ângelo","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 14(3); 11-13","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172012000300011&lang=pt" 
"S1983-21172012000300051-scl","CONTRIBUIÇÃO DA FILOSOFIA DA MICROBIOLOGIA PARA FUNDAMENTAR A ZONA RELACIONAL DO PERFIL CONCEITUAL DE VIDA","Coutinho, Francisco Ângelo, Martins, Rogério Parentoni, Vieira, Marcos Costa","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte); 14(3); 51-64","Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-21172012000300051&lang=pt" 
