"S0718-22282015000200002-chl","Guiding Actions and Expressing Needs: On the Psychological Functions of Values","Gouveia, Valdiney V, Milfont, Taciano L, Correa Vione, Kátia, Santos, Walberto S","Psykhe (Santiago); 24(2); 1-14","Psykhe (Santiago)","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22282015000200002&lang=pt" 
"S0718-22282015000200003-chl","Felicidad y Bienestar Psicológico: Estudio Comparativo Entre Argentina y España","Muratori, Marcela, Zubieta, Elena, Ubillos, Silvia, González, José Luis, Bobowik, Magdalena","Psykhe (Santiago); 24(2); 1-18","Psykhe (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22282015000200003&lang=pt" 
"S0718-22282015000200009-chl","Dificultades en la Comprensión de Textos Expositivos en Niños de los Primeros Grados de la Escuela Primaria","De Mier, Mariela Vanesa, Amado, Bibiana, Benítez, María Elena","Psykhe (Santiago); 24(2); 1-13","Psykhe (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22282015000200009&lang=pt" 
"S0718-22282015000200006-chl","¿Malos Para Aceptar la Diversidad?: Predictores Socio-Demográficos y Psicológicos de las Actitudes Hacia el Multiculturalismo en Chile","Sirlopú, David, Melipillán, Roberto, Sánchez, Alejandro, Valdés, Cristián","Psykhe (Santiago); 24(2); 1-13","Psykhe (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22282015000200006&lang=pt" 
"S0718-22282015000200010-chl","Evaluación de la Aplicación Piloto de una Intervención Preventiva de Salud Mental en la Escuela: Variaciones en la Desadaptación Escolar y en la Disfunción Psicosocial Adolescente","Gallardo, Iris, Leiva, Loreto, George, Myriam","Psykhe (Santiago); 24(2); 1-13","Psykhe (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22282015000200010&lang=pt" 
"S0718-22282015000200004-chl","Creencias y Normas en México: Una Actualización del Estudio de las Premisas Psico-Socio-Culturales","Díaz-Loving, Rolando, Saldívar, Alicia, Armenta-Hurtarte, Carolina, Reyes, Norma Elena, López, Fuensanta, Moreno, Mayra, Romero, Angélica, Hernández, Julita Elemí, Domínguez, Miriam, Cruz, Cinthia, Correa, Fredy Everardo","Psykhe (Santiago); 24(2); 1-25","Psykhe (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22282015000200004&lang=pt" 
"S1519-69842015000800258-scl","First report of the microlepidopteran Caloreas cydrota (Meyrick, 1915) (Lepidoptera: Choreutidae) in Brazil","Bortolotto, O. C., Silva, G. V., Bueno, A. F.","Brazilian Journal of Biology; 75(4); 258-258","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000800258&lang=pt" 
"S1688-93392015000200003-ury","Necesidad de tratamiento ortodóncico según severidad de maloclusión en pacientes adultos","Peláez, Alina Noelia, Mazza, Silvia Matilde","Odontoestomatología; 17(26); 12-23","Odontoestomatología","Inglês, Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-93392015000200003&lang=pt" 
"S1029-30192015001100007-cub","Lesiones de partes blandas y óseas en un dedo de la mano","Junco Gelpi, David Alexander","MEDISAN; 19(11); 1348-1352","MEDISAN","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192015001100007&lang=pt" 
"S1029-30192015001100004-cub","Principales factores causales del fracaso de los implantes dentale","Corona Carpio, Marcia Hortensia, Hernández Espinosa, Yanelkis, Mondelo López, Iraida, Castro Sánchez, Ysel Esther, Díaz del Mazo, Liset","MEDISAN; 19(11); 1325-1329","MEDISAN","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192015001100004&lang=pt" 
"S1519-69842015000601035-scl","Translocation of Harpy Eagle (Harpia harpyja) (Linnaeus, 1758) nest","Kuniy, A. A., Viana, M. A., Zahn, T. M. G., Lazarinos, D. E. A., Portes, C. E. B.","Brazilian Journal of Biology; 75(4); 1035-1036","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000601035&lang=pt" 
"S1029-30192015001100017-cub","Legado de una Ardilla a la urología santiaguera","Mirabal Fariñas, Amparo, Castro Maldonado, Orlando","MEDISAN; 19(11); 1430-1433","MEDISAN","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192015001100017&lang=pt" 
"S1029-30192015001100008-cub","Terapia regenerativa con plasma rico en plaquetas para el rejuvenecimiento facial","Franco Mora, María del Carmen, Olivares Louhau, Ela Maritza, í Pérez, Niurka","MEDISAN; 19(11); 1353-1358","MEDISAN","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192015001100008&lang=pt" 
"S1029-30192015001100009-cub","Carcinoma lobulillar in situ en una paciente con fibroadenoma mamario","Durruty Venero, Dayami, Rodríguez Marzo, Iris, Neyra Barros, Rafael Manuel","MEDISAN; 19(11); 1359-1362","MEDISAN","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192015001100009&lang=pt" 
"S1519-69842015000800255-scl","Geographic distribution of Gastrotheca fissipes (Boulenger, 1888) (Anura: Hemiphractidae) in the Brazilian Atlantic Forest","Santana, G. G., Torquato, S., Vieira, K. S., Vieira, W. L. S., Montenegro, P. F. G. P., Amorim, F. O., Santos, E. M., Vasconcellos, A., Alves, R. R. N.","Brazilian Journal of Biology; 75(4); 255-257","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000800255&lang=pt" 
"S1519-69842015000800192-scl","Taxonomical and biological notes on Sabethes (Peytonulus) fabricii Lane &amp; Cerqueira (Diptera: Culicidae)","Alencar, J., Gil-Santana, H. R.","Brazilian Journal of Biology; 75(4); 192-195","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000800192&lang=pt" 
"S1519-69842015000800253-scl","Record of insects in two fern species of the genus Microgramma (Polypodiaceae) in the Atlantic Rain Forest, Rio de Janeiro state, Brazil","Maia, V. C., Santos, M. G.","Brazilian Journal of Biology; 75(4); 253-254","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000800253&lang=pt" 
"S1519-69842015000600936-scl","New records of the striped cleaner shrimp Lysmata grabhami (Gordon, 1935) from Brazil, Southwestern Atlantic","Kassuga, A. D., Diele, K., Hostim-Silva, M.","Brazilian Journal of Biology; 75(4); 936-939","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000600936&lang=pt" 
"S1029-30192015001100013-cub","Enfermedades causadas por fármacos en la cavidad bucal","Calzado de Silva, Milagros de la Caridad, Laurencio Rodríguez, Jorge, Peña Sisto, Maritza","MEDISAN; 19(11); 1386-1398","MEDISAN","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192015001100013&lang=pt" 
"S1029-30192015001100005-cub","Eficacia del Oleozon® en pacientes con periodontitis del adulto","Peña Sisto, Maritza, Díaz Del Mazo, Lizel, Ferrer González, Silvia, Aguilar Vallejo, María Isabel, Santos Toledo, Lissette","MEDISAN; 19(11); 1330-1337","MEDISAN","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192015001100005&lang=pt" 
"S1029-30192015001100014-cub","Enfermedad periodontal y disfunción eréctil: ¿existe asociación directa?","Clavería Clark, Rafael Alberto, Rodríguez Guerrero, Katiuska, ña Sisto, Maritza","MEDISAN; 19(11); 1399-1407","MEDISAN","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192015001100014&lang=pt" 
"S2079-312X2015000200006-ury","UMA POSIÇÃO SOBRE A ESCUTA NA CLÍNICA DE LINGUAGEM","Lier-DeVitto, Maria Francisca, Emendabili, Mariana","Lingüística; 31(2); 73-82","Lingüística","Português","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S2079-312X2015000200006&lang=pt" 
"S1029-30192015001100001-cub","Uso irracional de las pruebas de laboratorio clínico por parte de los médicos de asistencia","León Ramentol, Cira Cecilia, Rivero Fexas, Guillermo, López Machado, Mavel, Rodríguez Socarrás, Isis Patricia","MEDISAN; 19(11); 1300-1308","MEDISAN","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192015001100001&lang=pt" 
