"S0103-50532005000300019-scl","The solid-state and solution-state reassigned structures of tagitinin A, a 3,10-epoxy-germacrolide from Tithonia diversifolia, and the interconversion of 3,10-epoxy-germacrolide conformational families via a ring-atom flip mechanism","Glaser, Robert, García, Abraham, Chávez, María Isabel, Delgado, Guillermo","Journal of the Brazilian Chemical Society; 16(3a); 440-448","Journal of the Brazilian Chemical Society","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532005000300019&lang=pt" 
"S0717-97072005000200001-chl","Synthesis and antibacterial activity of cefotaxime metal complexes","Anacona, J.R., Silva, Gladys Da","Journal of the Chilean Chemical Society; 50(2); 447-450","Journal of the Chilean Chemical Society","Inglês","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072005000200001&lang=pt" 
"S0717-97072005000200002-chl","DIFFERENTIAL SCANNING CALORIMETRY AND DINAMIC MECHANICAL ANALYSIS OF PHENOL-RESORCINOL-FORMALDEHYDE RESINS","LISPERGUER, JUSTO, DROGUETT, CYNTHIA, RUF, BEATRIZ, NUÑEZ, MARIO","Journal of the Chilean Chemical Society; 50(2); 451-453","Journal of the Chilean Chemical Society","Inglês","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072005000200002&lang=pt" 
"S0717-97072005000200003-chl","SYNTHESIS OF IRON AND IRON-MANGANESE COLLOIDS AND NANOPARTICLES USING ORGANIC SOLVENTS","CARDENAS T, GALO, DELGADO G, VIVIANA, ACUÑA E, JOSE, LIMA, CARLOS A.S.","Journal of the Chilean Chemical Society; 50(2); 455-460","Journal of the Chilean Chemical Society","Inglês","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072005000200003&lang=pt" 
"S0717-97072005000200004-chl","SIMULTANEOUS SPECTROPHOTOMETRIC DETERMINATION OF ATRAZINE AND DICAMBA IN WATER BY PARTIAL LEAST SQUARES REGRESSION","Amador-Hernández, Judith, Velázquez-Manzanares, Miguel, Gutiérrez-Ortiz, María del Rocío, Hernández-Carlos, Beatriz, Peral-Torres, Magaly, López-de- Alba, Pedro Luis","Journal of the Chilean Chemical Society; 50(2); 461-464","Journal of the Chilean Chemical Society","Inglês","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072005000200004&lang=pt" 
"S0717-97072005000200005-chl","AN INVESTIGATION ON THE PRESENCE OF NiAl2O4 IN A STABLE Ni ON ALUMINA CATALYST FOR DRY REFORMING","Becerra, Alberto M., Castro-Luna, Adolfo E.","Journal of the Chilean Chemical Society; 50(2); 465-469","Journal of the Chilean Chemical Society","Inglês","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072005000200005&lang=pt" 
"S0717-97072005000200006-chl","ESTIMATION OF HYDROXYL AND HYDROPEROXYL RADICALS CONCENTRATIONS IN THE URBAN ATMOSPHERE OF SANTIAGO","Rubio, M. Angélica, Liss, Eduardo, Villena, Guillermo, Caroca, Victoria, Gramsch, Ernesto, Ruiz, Álvaro","Journal of the Chilean Chemical Society; 50(2); 471-476","Journal of the Chilean Chemical Society","Inglês","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072005000200006&lang=pt" 
"S0717-97072005000200007-chl","Stereoselective synthesis of tris[Di-m-hydroxy-bis-(ethylenediamine)] tetracobalt(III)","Parada A, José, Larrazábal R., Guillermo, Aguirre A., Pedro","Journal of the Chilean Chemical Society; 50(2); 477-478","Journal of the Chilean Chemical Society","Inglês","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072005000200007&lang=pt" 
"S0717-97072005000200008-chl","METHOD VALIDATION FOR THE DETERMINATION OF FUROSEMIDE IN PLASMA BY LIQUID- LIQUID EXTRACTION AND HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY WITH FLUORESCENCE DETECTION","GOMEZ G, CAROLINA, PLESSING R, CARLOS von, GODOY M, C. GLORIA, REINBACH H, ROLANDO, GODOY R, RICARDO","Journal of the Chilean Chemical Society; 50(2); 479-482","Journal of the Chilean Chemical Society","Inglês","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072005000200008&lang=pt" 
"S0717-97072005000200009-chl","CORRELATION STUDY USING SATURATED HYDROCARBONS AS A MODEL, OF THE RETENTION TIME IN GLC AND DIFFERENT PHYSICO-CHEMICAL PARAMETERS","CORNWELL, E.","Journal of the Chilean Chemical Society; 50(2); 483-487","Journal of the Chilean Chemical Society","Inglês","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-97072005000200009&lang=pt" 
