"S0874-02832014000200017-prt","O Processo de Cuidados: análise da conceção dos estudantes de Enfermagem","Spínola, Ana Cristina, Amendoeira, José","Revista de Enfermagem Referência; serIV(2); 163-170","Revista de Enfermagem Referência","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832014000200017&lang=pt" 
"S0874-02832014000200018-prt","A Pessoa em Situação Crítica Helitransportada: história do passado recente e panorama atual","Encarnação, Paula Soares, Melo, Maria Manuela, Lage, Maria Isabel","Revista de Enfermagem Referência; serIV(2); 171-183","Revista de Enfermagem Referência","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832014000200018&lang=pt" 
"S0874-02832014000200007-prt","Cuidar de Imigrantes: das interações em contexto à construção de competências culturais nos enfermeiros","Reis, Alcinda Sacramento Costa dos, Costa, Maria Arminda Mendes","Revista de Enfermagem Referência; serIV(2); 61-69","Revista de Enfermagem Referência","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832014000200007&lang=pt" 
"S0874-02832014000200006-prt","Consumo de álcool, tabaco e outras drogas entre adolescentes do ensino fundamental de um município brasileiro","Silveira, Rodrigo Eurípedes da, Santos, Álvaro da Silva, Pereira, Gilberto de Araújo","Revista de Enfermagem Referência; serIV(2); 51-60","Revista de Enfermagem Referência","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832014000200006&lang=pt" 
"S0874-02832014000200005-prt","Construção e Validação da Escala de Avaliação do Debriefing associado à Simulação (EADaS)","Coutinho, Verónica Rita Dias, Martins, José Carlos Amado, Pereira, Maria de Fátima Carneiro Ribeiro","Revista de Enfermagem Referência; serIV(2); 41-50","Revista de Enfermagem Referência","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832014000200005&lang=pt" 
"S0874-02832014000200004-prt","Conceitos disciplinares em uso por estudantes de licenciatura e de mestrado em Enfermagem","Queirós, Paulo Joaquim Pina","Revista de Enfermagem Referência; serIV(2); 29-40","Revista de Enfermagem Referência","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832014000200004&lang=pt" 
"S0874-02832014000200003-prt","Análise das propriedades psicométricas da versão portuguesa de um instrumento de avaliação de e-Literacia em Saúde","Tomás, Catarina Cardoso, Queirós, Paulo Joaquim Pina, Ferreira, Teresa de Jesus Rodrigues","Revista de Enfermagem Referência; serIV(2); 19-28","Revista de Enfermagem Referência","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832014000200003&lang=pt" 
"S0874-02832014000200002-prt","Adaptação cultural e linguística e validação da Escala de Quedas de Morse","Costa-Dias, Maria José Martins da, Ferreira, Pedro Lopes, Oliveira, Alexandre Santos","Revista de Enfermagem Referência; serIV(2); 7-17","Revista de Enfermagem Referência","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832014000200002&lang=pt" 
"S0874-02832014000200001-prt","Editorial","Rodrigues, Manuel Alves","Revista de Enfermagem Referência; serIV(2); 1-2","Revista de Enfermagem Referência","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832014000200001&lang=pt" 
"S0874-02832014000200009-prt","Focos de Enfermagem em pessoas mais velhas com problemas de saúde mental","Passos, Joaquim, Sequeira, Carlos, Fernandes, Lia","Revista de Enfermagem Referência; serIV(2); 81-91","Revista de Enfermagem Referência","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832014000200009&lang=pt" 
"S0874-02832014000200008-prt","Gerenciamento da diferença: relações de poder e limites profissionais no serviço de atendimento móvel de urgência","Velloso, Isabela Silva Câncio, Araujo, Meiriele Tavares, Nogueira, Jéssica Dias, Alves, Marília","Revista de Enfermagem Referência; serIV(2); 71-79","Revista de Enfermagem Referência","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832014000200008&lang=pt" 
"S0123-42262014000100028-col","DE LA PLANEACIÓN A LA GESTIÓN AMBIENTAL COLECTIVA: POSIBILIDADES EN BOGOTÁ-COLOMBIA","Posada, Adriana","Revista U.D.C.A Actualidad &amp; Divulgación Científica; 17(1); 257-264","Revista U.D.C.A Actualidad &amp; Divulgación Científica","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-42262014000100028&lang=pt" 
