"S1678-86212012000200010-scl","Cinza de casca de arroz (CCA) altamente reativa: método de produção e atividade pozolânica","Tashima, Mauro Mitssuchi, Fioriti, Cesar Fabiano, Akasaki, Jorge Luís, Bernabeu, Jordi Payá, Sousa, Leandro Cirqueira, Melges, José Luís Pinheiro","Ambiente Construído; 12(2); 151-163","Ambiente Construído","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212012000200010&lang=pt" 
"S1678-86212012000200011-scl","Avaliação do comportamento de mistura de argamassas através de reometria rotacional","França, Marylinda Santos de, Cardoso, Fábio Alonso, Pileggi, Rafael Giuliano","Ambiente Construído; 12(2); 165-174","Ambiente Construído","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212012000200011&lang=pt" 
"S1678-86212012000200012-scl","Ensaio de cravação pneumática de pino para avaliação da resistência à compressão de juntas de assentamento de alvenaria estrutural","Oliveira, Alexandre Lima, Damiani, Pedro Lehmkuhl, Ribeiro, Igor Fernando Reitz, Souza, Rafael Andrade, Calçada, Luciana Maltez Lengler","Ambiente Construído; 12(2); 175-188","Ambiente Construído","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212012000200012&lang=pt" 
"S0102-05362012000200002-scl","Retrospectiva e tendência da alfacicultura brasileira","Sala, Fernando Cesar, Costa, Cyro Paulino da","Horticultura Brasileira; 30(2); 187-194","Horticultura Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-05362012000200002&lang=pt" 
"S0102-05362012000200003-scl","Avaliação de germoplasma de camomila e densidade de semeadura na produção e composição do óleo essencial","Amaral, Wanderlei do, Deschamps, Cícero, Machado, Marília P, Koehler, Henrique S, Scheer, Agnes de P, Cocco, Lílian, Yamamoto, Carlos","Horticultura Brasileira; 30(2); 195-200","Horticultura Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-05362012000200003&lang=pt" 
"S0102-05362012000200007-scl","Desempenho agronômico e heterose de genótipos de cebola","Faria, Marcos V, Morales, Rafael Gustavo F, Resende, Juliano Tadeu V de, Zanin, Daniel S, Menezes, Cícero B de, Kobori, Romulo F","Horticultura Brasileira; 30(2); 220-225","Horticultura Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-05362012000200007&lang=pt" 
"S0102-05362012000200008-scl","Combining ability and heterosis for agronomic traits in chili pepper","Rodrigues, Rosana, Gonçalves, Leandro SA, Bento, Cintia dos S, Sudré, Claudia P, Robaina, Renata R, Amaral Júnior, Antonio T do","Horticultura Brasileira; 30(2); 226-233","Horticultura Brasileira","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-05362012000200008&lang=pt" 
"S0103-18132012000100005-scl","Educando para transgredir: reflexões sobre o ensino crítico de línguas estrangeiras/inglês","Urzêda-Freitas, Marco Túlio de","Trabalhos em Linguística Aplicada; 51(1); 77-97","Trabalhos em Linguística Aplicada","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-18132012000100005&lang=pt" 
"S1980-65742012000200001-scl","Fatores geradores de estresse para atletas da categoria de base do futebol de campo","Santos, Priscilla Bertoldo dos, Coelho, Ricardo Weigert, Keller, Birgit, Stefanello, Joice Mara Facco","Motriz: Revista de Educação Física; 18(2); 208-217","Motriz: Revista de Educação Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742012000200001&lang=pt" 
"S1980-65742012000200002-scl","Validação das propriedades psicométricas do RESTQ-Coach na versão brasileira","Costa, Varley Teoldo da, Gomes, Cristiano Mauro Assis, Andrade, André Gustavo Pereira de, Samulski, Dietmar Martin","Motriz: Revista de Educação Física; 18(2); 218-232","Motriz: Revista de Educação Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742012000200002&lang=pt" 
