"S1980-00372013000400012-scl","Comparação da potência anaeróbia entre as posições táticas em jogadores de futebol: estudo retrospectivo","Cetolin, Tiago, Foza, Valdeci, Silva, Juliano Fernandes da, Guglielmo, Luiz Guilherme Antonacci, Siqueira, Osvaldo Donizete, Cardoso, Marcelo Francisco da Silva, Crescente, Luiz Antonio Barcellos","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 15(4); 507-516","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372013000400012&lang=pt" 
"S1980-00372013000400005-scl","Efeitos do treinamento concorrente sobre aspectos da saúde de idosas","Campos, Anderson Leandro Peres, Del Ponte, Lourenço dos Santos, Cavalli, Adriana Schüler, Afonso, Mariângela da Rosa, Schild, José Franscisco Gomes, Reichert, Felipe Fossati","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 15(4); 437-447","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372013000400005&lang=pt" 
"S0065-17372013000200001-mex","Dieta de Phyllobates aurotaenia y Oophaga histrionica (Anura: Dendrobatidae) en el municipio del Alto Baudó, Chocó, Colombia","ARCE DOMÍNGUEZ, Fabiola, RENGIFO MOSQUERA, Jhon Tailor","Acta zoológica mexicana; 29(2); 255-268","Acta zoológica mexicana","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372013000200001&lang=pt" 
"S0065-17372013000200010-mex","Densidad de Mazama gouazoubira (Artiodactyla, Cervidae) en un parque nacional del nordeste de Argentina","ROMERO, Verónica Lorena, CHATELLENAZ, Mario Luis","Acta zoológica mexicana; 29(2); 388-399","Acta zoológica mexicana","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372013000200010&lang=pt" 
"S0065-17372013000200011-mex","A strategy for measuring biodiversity","HALFFTER, Gonzalo, RÖS, Matthias","Acta zoológica mexicana; 29(2); 400-411","Acta zoológica mexicana","Inglês","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372013000200011&lang=pt" 
"S0065-17372013000200012-mex","Nuevo registro del lobo de páramo Lycalopex culpaeus (Mammalia: Canidae) en el suroccidente de Colombia con notas sobre su distribución en el país","RAMÍREZ-CHAVES, Héctor E., CHAVES-SALAZAR, Juan Manuel, MENDOZA-ESCOBAR, Richard Hernán","Acta zoológica mexicana; 29(2); 412-422","Acta zoológica mexicana","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372013000200012&lang=pt" 
"S0065-17372013000200013-mex","Registros notables de mamíferos (Mammalia) para los estados de Durango y Nayarit, México","TAPIA-RARÍREZ, Gloria, LÓPEZ-GONZÁLEZ, Celia, GARCÍA-MENDOZA, Diego F., CHARRE-MEDELLÍN, Juan F., MONTERRUBIO-RICO, Tiberio","Acta zoológica mexicana; 29(2); 423-427","Acta zoológica mexicana","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372013000200013&lang=pt" 
"S0065-17372013000200014-mex","Nuevos registros de cucarachas urbanas en Torreón, Coahuila, México (Insecta: Blattodea)","HERNÁNDEZ-RODRÍGUEZ, Sergio, ORTEGA-MORALES, Aldo I., VALDÉS-PEREZGASGA, Ma. Teresa, SÁNCHEZ-RAMOS, Francisco Javier, LÓPEZ-HERNÁNDEZ, Javier, SANTILLÁN-SANTANA, Jaime","Acta zoológica mexicana; 29(2); 428-430","Acta zoológica mexicana","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372013000200014&lang=pt" 
"S0065-17372013000200015-mex","Registros nuevos y aclaratorios de ninfálidos (Papilionoidea: Nymphalidae) para Guatemala","SALINAS-GUTIÉRREZ, José Luis","Acta zoológica mexicana; 29(2); 431-436","Acta zoológica mexicana","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372013000200015&lang=pt" 
"S0065-17372013000200016-mex","Native bees in blooming orange (Citrus sinensis) and lemon (C. limon) orchards in Yucatán, Mexico","GRAJALES-CONESA, Julieta, MELÉNDEZ-RAMÍREZ, Virginia, CRUZ-LÓPEZ, Leopoldo, SÁNCHEZ, Daniel","Acta zoológica mexicana; 29(2); 437-440","Acta zoológica mexicana","Inglês","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372013000200016&lang=pt" 
"S0065-17372013000200017-mex","Nuevos registros de aves en el Parque Nacional La Malinche, Tlaxcala, México","LORANCA-BRAVO, Salvador J., RODRÍGUEZ-ESTRELLA, Ricardo, BAUTISTA ORTEGA, Amando, CUATIANQUIZ-LIMA, Cecilia","Acta zoológica mexicana; 29(2); 441-447","Acta zoológica mexicana","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372013000200017&lang=pt" 
"S0065-17372013000200018-mex","Método para marcar escarabajos coprófagos (Coleoptera: Scarabaeinae) y su implementación en los Andes de Colombia","MARTÍNEZ-QUINTERO, Bedir G., CULTID-MEDINA, Carlos A., RUDAS-GRAJALES, Juan C.","Acta zoológica mexicana; 29(2); 448-451","Acta zoológica mexicana","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372013000200018&lang=pt" 
"S0065-17372013000200019-mex","New records of Castniidae (Lepidoptera) from Queretaro and Tamaulipas, Mexico","NIÑO MALDONADO, Santiago, DE LEÓN GONZÁLEZ, Eva Ivette, MILLER, Jacqueline Y., SÁNCHEZ REYES, Uriel Jeshua","Acta zoológica mexicana; 29(2); 452-453","Acta zoológica mexicana","Inglês","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372013000200019&lang=pt" 
"S0065-17372013000200002-mex","Registros notables de mamíferos para Campeche, México","GUZMÁN-SORIANO, Daniela, VARGAS-CONTRERAS, Jorge A., CÚ-VIZCARRA, José D., ESCALONA SEGURA, Griselda, RETANA GUIASCÓN, Óscar G., GONZÁLEZ CHRISTEN, Alvar, BENÍTEZ TORRES, Jorge A., ARROYO-CABRALES, Joaquín, PUC CABRERA, José C., VICTORIA CHÁN, Eloy","Acta zoológica mexicana; 29(2); 269-286","Acta zoológica mexicana","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372013000200002&lang=pt" 
"S0065-17372013000200020-mex","Registro histórico del tapir centroamericano Tapirus bairdii en el istmo de Tehuantepec, Oaxaca, México","MARTÍN-REGALADO, Cintia Natalia, LAVARIEGA, Mario C., GÓMEZ UGALDE, Rosa Ma.","Acta zoológica mexicana; 29(2); 458-461","Acta zoológica mexicana","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372013000200020&lang=pt" 
"S0065-17372013000200021-mex","Pambolus oblongispina Papp, 2000 (Braconidae: Pambolinae), primer registro para México","CORONADO BLANCO, Juana María, RUIZ CANCINO, Enrique","Acta zoológica mexicana; 29(2); 458-461","Acta zoológica mexicana","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372013000200021&lang=pt" 
"S0065-17372013000200003-mex","Mamíferos de un bosque ribereño en la cuenca media del río Grijalva, Chiapas, México","LLAVEN-MACÍAS, Viridiana","Acta zoológica mexicana; 29(2); 287-303","Acta zoológica mexicana","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372013000200003&lang=pt" 
"S0065-17372013000200004-mex","Nuevos registros de la ardilla de Peters Sciurus oculatus (Peters 1863) para Michoacán y primera genotipificación molecular de la especie","MONTERRUBIO-RICO, Tiberio C., GUIDO-LEMUS, Daniel, CHARRE-MEDELLÍN, Juan Felipe, ZAVALA-PARAMO, María Guadalupe, PADILLA-JACOBO, Gabriela, CANO-CAMACHO, Horacio, LEON-PANIAGUA, Livia","Acta zoológica mexicana; 29(2); 304-316","Acta zoológica mexicana","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372013000200004&lang=pt" 
"S0065-17372013000200005-mex","Abundancia estacional de Diaphorina citri (Hemiptera: Liviidae) en plantaciones de cítricos en Cazones, Veracruz, México","ORTEGA-ARENAS, Laura D., VILLEGAS-MONTER, Ángel, RAMÍREZ-REYES, Alberto J., MENDOZA-GARCÍA, Edgar E.","Acta zoológica mexicana; 29(2); 317-333","Acta zoológica mexicana","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372013000200005&lang=pt" 
"S0065-17372013000200006-mex","Dinámica espacio-temporal de Diaphorina citri Kuwayama (Hemiptera: Psyllidae) en Murraya paniculata (L.) Jack en Cuitláhuac, Veracruz","HERNÁNDEZ-LANDA, Lizbeth, LÓPEZ-COLLADO, José, GARCÍA-GARCÍA, Carlos G., OSORIO-ACOSTA, Francisco, NAVA-TABLADA, Martha E.","Acta zoológica mexicana; 29(2); 334-345","Acta zoológica mexicana","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372013000200006&lang=pt" 
"S0065-17372013000200007-mex","Brúquidos (Coleoptera: Bruchidae) asociados a la leguminosa Indigofera densiflora","RAMÍREZ-SERRANO, Alfredo, ROMERO GÓMEZ, Guillermo, ROMERO NÁPOLES, Jesús","Acta zoológica mexicana; 29(2); 346-362","Acta zoológica mexicana","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372013000200007&lang=pt" 
