"S0102-33062004000400029-scl","Vascularização foliar e anatomia do pecíolo de Melastomataceae do cerrado do Estado de São Paulo, Brasil","Reis, Cláudia dos, Proença, Suzana Lúcia, Sajo, Maria das Graças","Acta Botanica Brasilica; 18(4); 987-999","Acta Botanica Brasilica","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062004000400029&lang=pt" 
"S0100-15742004000300002-scl","O que é uma escola justa?","Dubet, François","Cadernos de Pesquisa; 34(123); 539-555","Cadernos de Pesquisa","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742004000300002&lang=pt" 
"S0100-15742004000300003-scl","Igualdad de oportunidades y política educativa","Tedesco, Juan Carlos","Cadernos de Pesquisa; 34(123); 557-572","Cadernos de Pesquisa","Espanhol","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742004000300003&lang=pt" 
"S0100-15742004000300005-scl","Mestres e doutores no país: destinos profissionais e políticas de pós-graduação","Velloso, Jacques","Cadernos de Pesquisa; 34(123); 583-611","Cadernos de Pesquisa","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742004000300005&lang=pt" 
"S0100-15742004000300006-scl","Saberes em viagem nos manuais pedagógicos (Portugal - Brasil)","Silva, Vivian Batista da, Correia, António Carlos da Luz","Cadernos de Pesquisa; 34(123); 613-632","Cadernos de Pesquisa","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742004000300006&lang=pt" 
"S0100-15742004000300007-scl","Conceitos de Vigotski no Brasil: produção divulgada nos Cadernos de Pesquisa","Silva, Flávia Gonçalves da, Davis, Claudia","Cadernos de Pesquisa; 34(123); 633-661","Cadernos de Pesquisa","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742004000300007&lang=pt" 
"S0100-15742004000300009-scl","Conselhos municipais de educação: autonomia e democratização do ensino","Teixeira, Lucia Helena G.","Cadernos de Pesquisa; 34(123); 691-708","Cadernos de Pesquisa","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742004000300009&lang=pt" 
"S0100-15742004000300010-scl","Identidade negra e espaço educacional: vozes, histórias e contribuições do multiculturalismo","Assis, Marta Diniz Paulo de, Canen, Ana","Cadernos de Pesquisa; 34(123); 709-724","Cadernos de Pesquisa","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742004000300010&lang=pt" 
"S0100-15742004000300008-scl","Avaliação da educação básica e ação normativa federal","Freitas, Dirce Nei Teixeira de","Cadernos de Pesquisa; 34(123); 663-689","Cadernos de Pesquisa","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742004000300008&lang=pt" 
"S0102-33062004000400003-scl","Potencial alelopático de espécies de Pteridaceae (Pteridophyta)","Peres, Marize Terezinha Lopes Pereira, Silva, Luciana Barbosa, Faccenda, Odival, Hess, Sônia Corina","Acta Botanica Brasilica; 18(4); 723-730","Acta Botanica Brasilica","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062004000400003&lang=pt" 
"S0004-28032004000400003-scl","Capella&#039;s gastroplasty: metabolites and early phase proteins changes in midline and bilateral arciform approaches","Moura Jr., Luiz Gonzaga de, Guimarães, Sérgio Botelho, Castro-Filho, Heládio Feitosa de, Machado, Heine Ferreira, Feijó, Francisca das Chagas, Vasconcelos, Paulo Roberto Leitão de","Arquivos de Gastroenterologia; 41(4); 215-219","Arquivos de Gastroenterologia","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032004000400003&lang=pt" 
"S0004-28032004000400002-scl","Quantos exames são necessários para adquirir aptidão em colonoscopia?","Thuler, Fernanda Prata Borges Martins, Di Sena, Veruska Oliveira, Hervoso, Cristina Marfinatti, Della Libera, Ermelindo, Ferrari, Angelo Paulo","Arquivos de Gastroenterologia; 41(4); 211-214","Arquivos de Gastroenterologia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032004000400002&lang=pt" 
"S0004-28032004000400005-scl","Detecção imunoistoquímica das oncoproteínas p21ras, c-myc E p53 no carcinoma hepatocelular e no tecido hepático não-neoplásico","Pannain, Vera Lucia Nunes, Bottino, Adriana Caroli, Santos, Raimunda Telma M., Coelho, Henrique Sérgio M., Ribeiro-Filho, Joaquim, Alves, Venâncio A. F.","Arquivos de Gastroenterologia; 41(4); 225-228","Arquivos de Gastroenterologia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032004000400005&lang=pt" 
"S0004-28032004000400001-scl","Habilitação ou proficiência?","Maluf-Filho, Fauze","Arquivos de Gastroenterologia; 41(4); 209-210","Arquivos de Gastroenterologia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032004000400001&lang=pt" 
"S0004-28032004000400004-scl","Avaliação nutricional de pacientes com cirrose pelo vírus da hepatite C: a aplicação da calorimetria indireta","Gottschall, Catarina Bertaso Andreatta, Álvares-da-Silva, Mário Reis, Camargo, Ana Cristina Riehs, Burtett, Renata Medeiros, Silveira, Themis Reverbel da","Arquivos de Gastroenterologia; 41(4); 220-224","Arquivos de Gastroenterologia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032004000400004&lang=pt" 
"S0004-28032004000400009-scl","Avaliação das aderências pós-operatórias em ratos submetidos a peritoniostomia com tela de polipropileno associada à nitrofurazona","Diogo-Filho, Augusto, Lazarini, Bárbara Cunha Mello, Vieira-Junyor, Floriano, Silva, Gisele Juliana, Gomes, Heitor Luiz","Arquivos de Gastroenterologia; 41(4); 245-249","Arquivos de Gastroenterologia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032004000400009&lang=pt" 
"S0004-28032004000400010-scl","Síndrome hepatopulmonar: patogenia, diagnóstico e tratamento","Lima, Beatriz, Martinelli, Ana, França, Alex Vianey Callado","Arquivos de Gastroenterologia; 41(4); 250-258","Arquivos de Gastroenterologia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032004000400010&lang=pt" 
"S0004-28032004000400011-scl","Tumor sólido-cístico pseudopapilar do pâncreas (tumor de Frantz): estudo de quatro casos","Costa-Neto, Gabriel Domingues, Amico, Enio Campos, Costa, Gabriel Izar Domingues","Arquivos de Gastroenterologia; 41(4); 259-262","Arquivos de Gastroenterologia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032004000400011&lang=pt" 
"S0102-37722004000300001-scl","Editorial","Araujo, Tereza Cristina Cavalcanti Ferreira de","Psicologia: Teoria e Pesquisa; 20(3); III-III","Psicologia: Teoria e Pesquisa","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722004000300001&lang=pt" 
"S1517-45222004000200012-scl","As tecnologias de informação: morte ou vida para as ciências humanas?","Dwyer, Tom","Sociologias; (12); 328-346","Sociologias","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-45222004000200012&lang=pt" 
"S0102-33062004000400016-scl","Biologia da polinização e sistema reprodutivo de Psychotria barbiflora DC. (Rubiaceae)","Teixeira, Luciana Almeida Gomes, Machado, Isabel Cristina","Acta Botanica Brasilica; 18(4); 853-862","Acta Botanica Brasilica","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062004000400016&lang=pt" 
"S0102-33062004000400024-scl","O gênero Miconia (Melastomataceae) no Estado do Paraná, Brasil","Goldenberg, Renato","Acta Botanica Brasilica; 18(4); 927-947","Acta Botanica Brasilica","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062004000400024&lang=pt" 
"S0004-28032004000400006-scl","Liver resection: 10-year experience from a single Institution","Coelho, Julio Cezar Uili, Claus, Christiano Marlo Paggi, Machuca, Tiago Noguchi, Sobottka, Wagner Herbert, Gonçalves, Carolina Gomes","Arquivos de Gastroenterologia; 41(4); 229-233","Arquivos de Gastroenterologia","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032004000400006&lang=pt" 
"S0004-28032004000400007-scl","Apresentação clínica de doença celíaca em crianças durante dois períodos, em serviço universitário especializado","Galvão, Lívia Carvalho, Brandão, José Mário Martins, Fernandes, Maria Inez Machado, Campos, Antonio Dorival","Arquivos de Gastroenterologia; 41(4); 234-238","Arquivos de Gastroenterologia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032004000400007&lang=pt" 
"S0004-28032004000400008-scl","Evidence of mother-child transmission of Helicobacter pylori infection","Escobar, Mario Luis, Kawakami, Elisabete","Arquivos de Gastroenterologia; 41(4); 239-244","Arquivos de Gastroenterologia","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032004000400008&lang=pt" 
"S0004-28032004000400012-scl","Questionário de sintomas na doença do refluxo gastroesofágico","Fornari, Fernando, Gruber, Antônio Carlos, Lopes, Antônio de Barros, Cecchetti, Dileta, Barros, Sérgio Gabriel Silva de","Arquivos de Gastroenterologia; 41(4); 263-267","Arquivos de Gastroenterologia","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-28032004000400012&lang=pt" 
"S0365-05962004000600004-scl","Expressão das citoceratinas em dermatoses infecto- parasitárias associadas à hiperplasia epidérmica","Nogueira-Castañon, Maria Christina Marques, Maya, Tullia Cuzzi, Neves, René Garrido","Anais Brasileiros de Dermatologia; 79(6); 679-687","Anais Brasileiros de Dermatologia","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962004000600004&lang=pt" 
"S0365-05962004000600003-scl","Epidemiologia dos cânceres espinocelulares - Blumenau (SC) - Brasil, de 1980 a 1999","Nasser, Nilton","Anais Brasileiros de Dermatologia; 79(6); 669-677","Anais Brasileiros de Dermatologia","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962004000600003&lang=pt" 
