"S1414-32832015000601019-spa","Interface arte, saúde e cultura: um campo transversal de saberes e práticas","Lima, Elizabeth Araújo, Castro, Eliane Dias de, Buelau, Renata Monteiro, Valent, Isabela Umbuzeiro, Inforsato, Erika Alvarez","Interface - Comunicação, Saúde, Educação; 19(55); 1019-1022","Interface - Comunicação, Saúde, Educação","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832015000601019&lang=pt" 
"S1414-32832015000401273-scl","Rose N, Abi-Rached JM. Neuro: the new brain sciences and the management of the mind. Princeton: Princeton University Press; 2013","Carvalho, Sérgio Resende","Interface - Comunicação, Saúde, Educação; 19(55); 1273-1278","Interface - Comunicação, Saúde, Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832015000401273&lang=pt" 
"S0187-73722015000200011-mex","La geografía y la economía en sus vínculos actuales: Una antología comentada del debate contemporáneo","Calderón Villarreal, Cuauhtémoc","Frontera norte; 27(54); 211-214","Frontera norte","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73722015000200011&lang=pt" 
"S1414-32832015000601273-spa","Rose N, Abi-Rached JM. Neuro: the new brain sciences and the management of the mind. Princeton: Princeton University Press; 2013","Carvalho, Sérgio Resende","Interface - Comunicação, Saúde, Educação; 19(55); 1273-1278","Interface - Comunicação, Saúde, Educação","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832015000601273&lang=pt" 
"S1981-77462015000300555-scl","Elaboração de parecer: uma atividade na interface entre ensino e pesquisa","Fonseca, Angélica Ferreira","Trabalho, Educação e Saúde; 13(3); 555-557","Trabalho, Educação e Saúde","Inglês, Português, Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-77462015000300555&lang=pt" 
"S1414-32832015000601287-spa","O modo de vida do idoso ribeirinho amazônico em imagens e linguajar cultural","Nascimento, Rodolfo Gomes do, Cardoso, Ronald de Oliveira, Santos, Zeneide Nazaré Lima dos, Pinto, Denise da Silva, Magalhães, Celina Maria Colino","Interface - Comunicação, Saúde, Educação; 19(55); 1287-1300","Interface - Comunicação, Saúde, Educação","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832015000601287&lang=pt" 
"S1414-32832015000601157-spa","Experimentações e reflexões sobre o apoio institucional em saúde: trabalho a partir do HumanizaSUS","Silva, Fabio Hebert da, Barros, Maria Elizabeth Barros de, Martins, Cátia Paranhos","Interface - Comunicação, Saúde, Educação; 19(55); 1157-1168","Interface - Comunicação, Saúde, Educação","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832015000601157&lang=pt" 
"S1414-32832015000601253-spa","Las necesidades sociales como eje de la formación médica","Gómez Correa, Jaime Arturo, Villa Vélez, Liliana, Kambourova, Miglena","Interface - Comunicação, Saúde, Educação; 19(55); 1253-1261","Interface - Comunicação, Saúde, Educação","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832015000601253&lang=pt" 
"S1414-32832015000601077-spa","Narrativas da experiência de pais de crianças com fibrose cística","Afonso, Selene Beviláqua Chaves, Gomes, Romeu, Mitre, Rosa Maria de Araujo","Interface - Comunicação, Saúde, Educação; 19(55); 1077-1088","Interface - Comunicação, Saúde, Educação","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832015000601077&lang=pt" 
"S1414-32832015000601243-spa","Historia de la salud argentina y latinoamericana: una experiencia innovadora en la carrera de Medicina","Sacchetti, Laura, Belardo, Marcela Beatriz","Interface - Comunicação, Saúde, Educação; 19(55); 1243-1252","Interface - Comunicação, Saúde, Educação","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832015000601243&lang=pt" 
"S1414-32832015000401101-scl","A Estratégia de Saúde da Família no setor suplementar: a adoção do modelo de atenção primária na empresa de autogestão","Barbosa, Mayara Lima, Celino, Suely Deysny de Matos, Costa, Gabriela Maria Cavalcanti","Interface - Comunicação, Saúde, Educação; 19(55); 1101-1108","Interface - Comunicação, Saúde, Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832015000401101&lang=pt" 
"S1414-32832015000601233-spa","Avaliação externa no Ensino Superior na área da saúde: inquietações e a dimensão das margens","Chaves, Simone Edi, Ceccim, Ricardo Burg","Interface - Comunicação, Saúde, Educação; 19(55); 1233-1242","Interface - Comunicação, Saúde, Educação","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832015000601233&lang=pt" 
"S1414-32832015000601089-spa","As dimensões da integralidade no cuidado em saúde no cotidiano da Estratégia Saúde da Família no Vale do Jequitinhonha, MG, Brasil","Viegas, Selma Maria da Fonseca, Penna, Cláudia Maria de Mattos","Interface - Comunicação, Saúde, Educação; 19(55); 1089-1100","Interface - Comunicação, Saúde, Educação","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832015000601089&lang=pt" 
"S0187-73722015000200008-mex","El impacto de las viviendas deshabitadas en el incremento de delitos (robo a casa habitación y homicidios) en Ciudad Juárez, Chihuahua, 2010","Fuentes Flores, César M.","Frontera norte; 27(54); 171-196","Frontera norte","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73722015000200008&lang=pt" 
"S0187-73722015000200002-mex","Transferencia de conocimiento dentro de la empresa: Beneficios y riesgos individuales percibidos","Máynez Guaderrama, Aurora Irma, Noriega Morales, Salvador Anacleto","Frontera norte; 27(54); 29-52","Frontera norte","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-73722015000200002&lang=pt" 
"S1980-993X2015000400737-scl","Physical-chemical effects of irrigation with treated wastewater on Dusky Red Latosol soil","Urbano, Vanessa Ribeiro, Mendonça, Thaís Grandizoli, Bastos, Reinaldo Gaspar, Souza, Claudinei Fonseca","Revista Ambiente &amp; Água; 10(4); 737-747","Revista Ambiente &amp; Água","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2015000400737&lang=pt" 
"S1980-993X2015000400728-scl","Degradation of 17α-ethinylestradiol in water by heterogeneous photocatalysis","Lopes, Wilton Silva, Azevedo, Maria Graziela Cristo de Oliveira, Leite, Valderi Duarte, Sousa, José Tavares, Buriti, Josué Silva","Revista Ambiente &amp; Água; 10(4); 728-736","Revista Ambiente &amp; Água","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2015000400728&lang=pt" 
"S1984-63982015000400903-scl","Aula de Língua Portuguesa - (re) descobrindo trajetos e desvios","Freitas, James Deam Amaral","Revista Brasileira de Linguística Aplicada; 15(4); 903-923","Revista Brasileira de Linguística Aplicada","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-63982015000400903&lang=pt" 
"S1980-993X2015000400915-scl","Avaliação da adsorção de Fenol e Bisfenol A em carvões ativados comerciais de diferentes matrizes carbonáceas","Machado, Carla Rênes de Alencar, Saggioro, Enrico Mendes, Silva, Yuri Gomes Leite e, Pereira, Luiza Penna dos Santos, Campos, Juacyara Carbonelli","Revista Ambiente &amp; Água; 10(4); 915-927","Revista Ambiente &amp; Água","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2015000400915&lang=pt" 
"S1984-63982015000400899-scl","Introdução","Dell´Isola, Regina L. Péret","Revista Brasileira de Linguística Aplicada; 15(4); 899-902","Revista Brasileira de Linguística Aplicada","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-63982015000400899&lang=pt" 
