"S0370-44672012000100005-scl","Classificação internacional do carvão (CEE-NU) da camada inferior, Mina do Leão, RS, Brasil","Silva, Maristela Bagatin","Rem: Revista Escola de Minas; 65(1); 29-33","Rem: Revista Escola de Minas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672012000100005&lang=pt" 
"S0370-44672012000100009-scl","Modelamento da utilização de aglomerado autorredutor em minialto-forno com recirculação de gás de topo","Matos, Ulysses Forastieri de, Castro, José Adilson de","Rem: Revista Escola de Minas; 65(1); 65-71","Rem: Revista Escola de Minas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672012000100009&lang=pt" 
"S0370-44672012000100018-scl","Characterization of the bauxite mining of the Poços de Caldas alkaline massif and its socio-environmental impacts","Barros, Dalmo Arantes de, Guimarães, João Carlos Costa, Pereira, José Aldo Alves, Borges, Luis Antônio Coimbra, Silva, Rossi Allan, Pereira, Alexandre Augusto Spadoni","Rem: Revista Escola de Minas; 65(1); 127-133","Rem: Revista Escola de Minas","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672012000100018&lang=pt" 
"S0103-166X2012000100001-scl","Marxist psychology: a research paradigm whose time has come","Elhammoumi, Mohamed","Estudos de Psicologia (Campinas); 29(1); 3-11","Estudos de Psicologia (Campinas)","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2012000100001&lang=pt" 
"S0103-166X2012000100003-scl","Validação brasileira do questionário de esquemas de Young: forma breve","Cazassa, Milton José, Oliveira, Margareth da Silva","Estudos de Psicologia (Campinas); 29(1); 23-31","Estudos de Psicologia (Campinas)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2012000100003&lang=pt" 
"S0103-166X2012000100005-scl","Ser oficial combatente do Exército: uma delegação transgeracional?","Molina, Silvana de Fátima Lima, Dias, Cristina Maria de Souza Brito","Estudos de Psicologia (Campinas); 29(1); 43-52","Estudos de Psicologia (Campinas)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2012000100005&lang=pt" 
"S0103-166X2012000100007-scl","Dimensão afetiva da pessoa com surdez adquirida, antes e após o implante coclear","Yamada, Midori Otake, Bevilacqua, Maria Cecília","Estudos de Psicologia (Campinas); 29(1); 63-69","Estudos de Psicologia (Campinas)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2012000100007&lang=pt" 
"S0103-166X2012000100008-scl","O cuidado psicológico ao médico em reprodução assistida: um enquadre diferenciado","Miranda, Keith Laura, Serafini, Paulo Cesar, Baracat, Edmund Chada","Estudos de Psicologia (Campinas); 29(1); 71-79","Estudos de Psicologia (Campinas)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2012000100008&lang=pt" 
"S0103-166X2012000100009-scl","Alterações na rede social de apoio durante a gestação e o nascimento de filhos","Oliveira, Maíra Ribeiro de, Dessen, Maria Auxiliadora","Estudos de Psicologia (Campinas); 29(1); 81-88","Estudos de Psicologia (Campinas)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2012000100009&lang=pt" 
"S0103-166X2012000100010-scl","Explorando a relação entre consciência morfológica, processamento cognitivo e escrita","Mota, Márcia Maria Peruzzi Elia da","Estudos de Psicologia (Campinas); 29(1); 89-94","Estudos de Psicologia (Campinas)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2012000100010&lang=pt" 
"S0103-166X2012000100011-scl","Inconsciente e transferência: perspectivas na clínica","Pisetta, Maria Angélica Augusto de Mello","Estudos de Psicologia (Campinas); 29(1); 95-103","Estudos de Psicologia (Campinas)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2012000100011&lang=pt" 
"S0103-166X2012000100012-scl","Crenças de autoeficácia e resiliência: apontamentos da literatura sociocognitiva","Fontes, Arlete Portella, Azzi, Roberta Gurgel","Estudos de Psicologia (Campinas); 29(1); 105-114","Estudos de Psicologia (Campinas)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2012000100012&lang=pt" 
"S0103-166X2012000100013-scl","A instituição de saúde mental como dispositivo social de produção de subjetividade","Costa-Rosa, Abílio da","Estudos de Psicologia (Campinas); 29(1); 115-126","Estudos de Psicologia (Campinas)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2012000100013&lang=pt" 
"S0103-166X2012000100014-scl","Convergências entre a teoria de Lev Semionovich Vigotski e de Norbert Elias","Honorato, Tony, Gebara, Ademir","Estudos de Psicologia (Campinas); 29(1); 127-134","Estudos de Psicologia (Campinas)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2012000100014&lang=pt" 
"S0103-166X2012000100015-scl","Treino em automonitoração e comportamentos de prevenção de diabetes tipo 2","Casseb, Mariene da Silva, Ferreira, Eleonora Arnaud Pereira","Estudos de Psicologia (Campinas); 29(1); 135-142","Estudos de Psicologia (Campinas)","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2012000100015&lang=pt" 
"S1980-65742012000100001-scl","Comparação do ponto de deflexão da frequência cardíaca com a máxima fase estável de lactato em corredores de fundo","Silveira, Bruno Honorato da, Aguiar, Rafael Alves de, Alves, Thiago Luiz, Caputo, Fabrizio, Carminatti, Lorival José","Motriz: Revista de Educação Física; 18(1); 01-08","Motriz: Revista de Educação Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742012000100001&lang=pt" 
