"S0085-56262007000200006-scl","Descrição de um gênero novo e cinco espécies novas de Neocoelidiinae (Hemiptera, Auchenorrhyncha, Cicadellidae)","Marques-Costa, Ana Paula, Cavichioli, Rodney R.","Revista Brasileira de Entomologia; 51(2); 176-186","Revista Brasileira de Entomologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262007000200006&lang=pt" 
"S0085-56262007000200010-scl","Sinopse do gênero Eucharassus Bates (Coleoptera, Cerambycidae)","Monné, Marcela L.","Revista Brasileira de Entomologia; 51(2); 205-209","Revista Brasileira de Entomologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262007000200010&lang=pt" 
"S0085-56262007000200011-scl","Adaptations of two specialist herbivores to movement on the hairy leaf surface of their host, Solanum guaraniticum Hassl (Solanaceae)","Medeiros, Lenice, Boligon, Danessa S.","Revista Brasileira de Entomologia; 51(2); 210-216","Revista Brasileira de Entomologia","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262007000200011&lang=pt" 
"S0085-56262007000200017-scl","Observações sobre aplicações de controle em ecótopo com alta infestação de Culex quinquefasciatus Say (Diptera, Culicidae)","Morais, Sirlei Antunes de, Marrelli, Mauro Toledo, Natal, Delsio","Revista Brasileira de Entomologia; 51(2); 246-251","Revista Brasileira de Entomologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262007000200017&lang=pt" 
"S0085-56262007000200016-scl","Morfologia e duração dos ínstares larvais de Chrysomya putoria (Wiedemann) (Diptera, Calliphoridae), em laboratório","Oliveira, Marcio Sacramento de, Mello, Rubens Pinto de, Queiroz, Margareth Maria de Carvalho","Revista Brasileira de Entomologia; 51(2); 239-245","Revista Brasileira de Entomologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262007000200016&lang=pt" 
"S0085-56262007000200015-scl","Descrição dos imaturos e primeiro registro de planta hospedeira de Charidotis gemellata Boheman (Coleoptera, Chrysomelidae, Cassidinae)","Fernandes, Flávia Rodrigues, Buzzi, Zundir José","Revista Brasileira de Entomologia; 51(2); 234-238","Revista Brasileira de Entomologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262007000200015&lang=pt" 
"S1807-03022007000200006-scl","Two approximate methods of a Cauchy problem for the Helmholtz equation","Xiong, Xiang-Tuan, Fu, Chu-Li","Computational &amp; Applied Mathematics; 26(2); 285-307","Computational &amp; Applied Mathematics","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-03022007000200006&lang=pt" 
"S1679-62252007000200002-scl","Is fish passage technology saving fish resources in the lower La Plata River basin?","Oldani, Norberto Oscar, Baigún, Claudio Rafael Mariano, Nestler, John Michael, Goodwin, Richard Andrew","Neotropical Ichthyology; 5(2); 89-102","Neotropical Ichthyology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252007000200002&lang=pt" 
"S1679-62252007000200005-scl","Fish ladder of Lajeado Dam: migrations on one-way routes?","Agostinho, Angelo Antônio, Marques, Elineide Eugênio, Agostinho, Carlos Sérgio, Almeida, Deusimar Augusto de, Oliveira, Rafael José de, Melo, Jussiclene Rodrigues Bezerra de","Neotropical Ichthyology; 5(2); 121-130","Neotropical Ichthyology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252007000200005&lang=pt" 
"S1679-62252007000200006-scl","Fish passage ladders from Canoas Complex - Paranapanema River: evaluation of genetic structure maintenance of Salminus brasiliensis (Teleostei: Characiformes)","Lopes, Carla Martins, Almeida, Fernanda Simões de, Orsi, Mário Luís, Britto, Sandro Geraldo de Castro, Sirol, Rodolfo Nardez, Sodré, Leda Maria Koelblinger","Neotropical Ichthyology; 5(2); 131-138","Neotropical Ichthyology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252007000200006&lang=pt" 
"S1679-62252007000200008-scl","Reproductive activity and recruitment of the yellow-mandi Pimelodus maculatus (Teleostei: Pimelodidae) in the Igarapava Reservoir, Grande River, Southeast Brazil","Maia, Bruno Pereira, Ribeiro, Sandra Maria Franco, Bizzotto, Paula Maciel, Vono, Volney, Godinho, Hugo Pereira","Neotropical Ichthyology; 5(2); 147-152","Neotropical Ichthyology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252007000200008&lang=pt" 
"S1679-62252007000200009-scl","Environmental factors related to entry into and ascent of fish in the experimental ladder located close to Itaipu Dam","Fernandez, Domingo Rodrigues, Agostinho, Angelo Antonio, Bini, Luis Maurício, Gomes, Luiz Carlos","Neotropical Ichthyology; 5(2); 153-160","Neotropical Ichthyology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252007000200009&lang=pt" 
"S1679-62252007000200010-scl","Movements through a fish ladder: temporal patterns and motivations to move upstream","Agostinho, Carlos Sérgio, Pereira, Celiana Ribeiro, Oliveira, Rafael José de, Freitas, Iriene Siqueira, Marques, Elineide Eugênio","Neotropical Ichthyology; 5(2); 161-167","Neotropical Ichthyology","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252007000200010&lang=pt" 
"S0100-83582007000200022-scl","Controle químico de arroz-vermelho na cultura do arroz irrigado","Santos, F.M., Marchesan, E., Machado, S.L.O., Villa, S.C.C., Avila, L.A., Massoni, P.F.S.","Planta Daninha; 25(2); 405-412","Planta Daninha","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582007000200022&lang=pt" 
"S0085-56262007000200002-scl","Track analysis of the Mexican species of Cerambycidae (Insecta, Coleoptera)","Toledo, Víctor H., Corona, Angélica Ma., Morrone, Juan J.","Revista Brasileira de Entomologia; 51(2); 131-137","Revista Brasileira de Entomologia","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262007000200002&lang=pt" 
"S0085-56262007000200005-scl","Espécies novas de Trigonisca Moure (Hymenoptera, Apidae, Apinae)","Albuquerque, Patrícia Maia Correia de, Camargo, João Maria Franco de","Revista Brasileira de Entomologia; 51(2); 160-175","Revista Brasileira de Entomologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262007000200005&lang=pt" 
"S0085-56262007000200012-scl","Biodiversidade de moscas-das-frutas (Diptera, Tephritoidea) em matas nativas e pomares domésticos de dois municípios do Estado do Tocantins, Brasil","Bomfim, Darcy A. do, Uchôa-Fernandes, Manoel A., Bragança, Marcos A. L.","Revista Brasileira de Entomologia; 51(2); 217-223","Revista Brasileira de Entomologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262007000200012&lang=pt" 
"S0085-56262007000200014-scl","Comunidade de escarabeíneos (Coleoptera, Scarabaeidae) copro-necrófagos da região de Brejo Novo, Caruaru, Pernambuco, Brasil","Silva, Fernando Augusto Barbosa, Hernández, Malva Isabel Medina, Ide, Sergio, Moura, Rita de Cássia de","Revista Brasileira de Entomologia; 51(2); 228-233","Revista Brasileira de Entomologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262007000200014&lang=pt" 
"S0085-56262007000200004-scl","Catalogue of American Nycteribiidae (Diptera, Hippoboscoidea)","Graciolli, Gustavo, Autino, Analía G., Claps, Guillermo L.","Revista Brasileira de Entomologia; 51(2); 142-159","Revista Brasileira de Entomologia","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262007000200004&lang=pt" 
"S0100-83582007000200019-scl","Efeito de formulações na absorção e translocação do glyphosate em soja transgênica","Santos, J.B., Ferreira, E.A., Oliveira, J.A., Silva, A.A., Fialho, C.M.T.","Planta Daninha; 25(2); 381-388","Planta Daninha","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582007000200019&lang=pt" 
"S0100-83582007000200005-scl","Supressão de plantas daninhas por leguminosas anuais em sistema agroecológico na Pré-Amazônia","Araujo, J.C., Moura, E.G., Aguiar, A.C.F., Mendonça, V.C.M.","Planta Daninha; 25(2); 267-275","Planta Daninha","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582007000200005&lang=pt" 
"S0100-83582007000200011-scl","Estimativa da área foliar de cinco espécies do gênero Amaranthus usando dimensões lineares do limbo foliar","Carvalho, S.J.P., Christoffoleti, P.J.","Planta Daninha; 25(2); 317-324","Planta Daninha","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582007000200011&lang=pt" 
"S0100-83582007000200007-scl","Plantas infestantes em lavouras de milho safrinha, sob diferentes manejos, no Médio Paranapanema","Duarte, A.P., Silva, A.C., Deuber, R.","Planta Daninha; 25(2); 285-291","Planta Daninha","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582007000200007&lang=pt" 
"S0085-56262007000200013-scl","Distribuição temporal de imaturos de Odonata (Insecta) associados a Eichhornia azurea (Kunth) na Lagoa do Camargo, Rio Paranapanema, São Paulo","Fulan, João Ânderson, Henry, Raoul","Revista Brasileira de Entomologia; 51(2); 224-227","Revista Brasileira de Entomologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262007000200013&lang=pt" 
"S0006-87052007000200003-scl","Estabilidade de cultivares e linhagens de feijoeiro em diferentes ambientes no estado de São Paulo","Carbonell, Sérgio Augusto Morais, Chiorato, Alisson Fernando, Resende, Marcos Deon Vilela de, Dias, Luiz Antônio dos Santos, Beraldo, Ana Luiza Ahern, Perina, Eliana Francischinelli","Bragantia; 66(2); 193-201","Bragantia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052007000200003&lang=pt" 
