"S0102-695X2013000200009-scl","Citotoxic activity evaluation of essential oils and nanoemulsions of Drimys angustifolia and D. brasiliensis on human glioblastoma (U-138 MG) and human bladder carcinoma (T24) cell lines in vitro","Gomes, Madson R. F., Schuh, Roselena S., Jacques, Ana L. B., Augustin, Otávio A., Bordignon, Sérgio A. L., Dias, Daiane O., Kelmann, Regina G., Koester, Letícia S., Gehring, Marina. P., Morrone, Fernanda B., Campos, Maria M., Limberger, Renata P.","Revista Brasileira de Farmacognosia; 23(2); 259-267","Revista Brasileira de Farmacognosia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2013000200009&lang=pt" 
"S0102-695X2013000200023-scl","The effect of Ageratum fastigiatum extract on Rhodnius nasutus, vector of Chagas disease","Avelar-Freitas, Bethânia A., Dias, João V. L., Tibães, Gabrielle G., Rocha, Camila A., Bahia-Oliveira, Gustavo H., Grael, Cristiane F. F., Pires, Herton H. R.","Revista Brasileira de Farmacognosia; 23(2); 366-369","Revista Brasileira de Farmacognosia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2013000200023&lang=pt" 
"S0102-695X2013000200014-scl","Combretum lanceolatum flowers extract shows antidiabetic activity through activation of AMPK by quercetin","Dechandt, Carlos Roberto Porto, Siqueira, Juliany Torres, Souza, Damiana Luiza Pereira de, Araujo, Lais Cobianchi Junqueira, Silva, Virginia Claudia da, Sousa Junior, Paulo Teixeira de, Andrade, Claudia Marlise Balbinotti, Kawashita, Nair Honda, Baviera, Amanda Martins","Revista Brasileira de Farmacognosia; 23(2); 291-300","Revista Brasileira de Farmacognosia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2013000200014&lang=pt" 
"S0102-695X2013000200013-scl","Biological assessment (antiviral and antioxidant) and acute toxicity of essential oils from Drimys angustifolia and D. brasiliensis","Gomes, Madson Ralide Fonseca, Schuh, Roselena Silvestri, Jacques, Ana Laura Bemvenuti, Dorneles, Gilcéia G., Montanha, Jarbas, Roehe, Paulo Michel, Bordignon, Sérgio, Dallegrave, Eliane, Leal, Mirna B., Limberger, Renata Pereira","Revista Brasileira de Farmacognosia; 23(2); 284-290","Revista Brasileira de Farmacognosia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2013000200013&lang=pt" 
"S0102-86502013000400001-scl","Hydrogel of polysaccharide of sugarcane molasses as carrier of bone morphogenetic protein in the reconstruction of critical bone defects in rats","Medeiros Júnior, Martinho Dinoá, Carvalho, Elaine Judite de Amorim, Catunda, Ivson Souza, Bernardino-Araújo, Sidcley, Aguiar, José Lamartine de Andrade","Acta Cirurgica Brasileira; 28(4); 233-238","Acta Cirurgica Brasileira","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502013000400001&lang=pt" 
"S0102-86502013000400003-scl","Simvastatin attenuates neutrophil recruitment in one-lung ventilation model in rats","Leite, Camila Ferreira, Marangoni, Fábio André, Camargo, Enilton Aparecido, Braga, Angélica de Fátima de Assunção, Toro, Ivan Felizardo Contrera, Antunes, Edson, Landucci, Elen Cristina Tiezem, Mussi, Ricardo Kalaf","Acta Cirurgica Brasileira; 28(4); 245-250","Acta Cirurgica Brasileira","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502013000400003&lang=pt" 
"S0102-86502013000400005-scl","Long term evaluation of morphometric and ultrastructural changes of testes of alloxan-induced diabetic rats","Trindade, Amélia Arcângela Teixeira, Simões, Antônio Caetano Pereira, Silva, Reinaldo José, Macedo, Célia Sperandeo, Spadella, César Tadeu","Acta Cirurgica Brasileira; 28(4); 256-265","Acta Cirurgica Brasileira","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502013000400005&lang=pt" 
"S0102-86502013000400007-scl","Morphology and immunohistochemistry of the myenteric plexus of valves constructed in the colon of rats submitted to abdominoperineal amputation and perineal colostomy","Deoti, Beatriz, Arantes, Rosa Maria Esteves, Campos, Camila França, Hayck, Johnny, Silva, Alcino Lázaro da","Acta Cirurgica Brasileira; 28(4); 272-281","Acta Cirurgica Brasileira","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502013000400007&lang=pt" 
"S0102-86502013000400008-scl","Sildenafil citrate protects skeletal muscle of ischemia-reperfusion injury: immunohistochemical study in rat model","Armstrong, Dinani Matoso Fialho de Oliveira, Armstrong, Anderson da Costa, Figueiredo, Regina Célia Bressan Queiroz, Florentino, Joao Eduardo, Saad, Paulo Fernandes, Fox-Talbot, Karen, Halushka, Marc Kenneth, Berkowitz, Dan E., Taha, Murched Omar, Fagundes, Djalma José","Acta Cirurgica Brasileira; 28(4); 282-287","Acta Cirurgica Brasileira","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502013000400008&lang=pt" 
"S0102-86502013000400010-scl","Autogenous fecal peritonitis in Wistar rats with permanent bilateral carotid occlusion: morbidity, mortality and microbiological response","Gadelha, Diego Nery Benevides, Melo, Maria Cecília Santos Cavalcanti, Oliveira, Thárcia Kiara Beserra, Brandt, Carlos Teixeira","Acta Cirurgica Brasileira; 28(4); 299-306","Acta Cirurgica Brasileira","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502013000400010&lang=pt" 
