"S1853-04002016000100002-arg","","Guerrero, Elián Leandro, Agnolin, Federico Lisandro","Revista del Museo Argentino de  Ciencias Naturales; 18(1); 75-83","Revista del Museo Argentino de  Ciencias Naturales","Inglês","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-04002016000100002&lang=pt" 
"S1851-75872016000100002-arg","Cinco Años de Experiencia en Conservación de Streptococcus agalactiae: Comparación de Dos Metodologías Alternativas","Laczeski, Margarita E, Novosak, Marina G, Vergara, Marta I","Revista de Ciencia y Tecnología; (25); 11-14","Revista de Ciencia y Tecnología","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-75872016000100002&lang=pt" 
"S1851-75872016000100008-arg","Barra de Cereais Diet Sabor Umbu Elaborada com Farinha de Banana Verde","Sousa, Alan M, Sousa, Izaiane P. R, Teixeira, Sabrina A, Medeiros, Stella R. A, Portela, Julianne V. F","Revista de Ciencia y Tecnología; (25); 62-69","Revista de Ciencia y Tecnología","Português","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-75872016000100008&lang=pt" 
"S1851-75872016000100005-arg","Epidemiología de la Proteína de Superficie Neumocócica a (PspA), en Streptococcus pneumoniae Causantes de Infecciones Invasivas en un Hospital Pediátrico de la Argentina","Grenon, Sandra L, Martinez, Monica E, von Specht, Martha H","Revista de Ciencia y Tecnología; (25); 28-33","Revista de Ciencia y Tecnología","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-75872016000100005&lang=pt" 
"S1851-75872016000100007-arg","Bolo de caneca com farinha de banana verde com casca (Musa sapientum) como substituto parcial da farinha de trigo: composição química e aceitação","Da Cruz, Ana C, Pimentel, Tatiana C, Klososki, Suellen J","Revista de Ciencia y Tecnología; (25); 42-47","Revista de Ciencia y Tecnología","Português","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-75872016000100007&lang=pt" 
"S1851-75872016000100010-arg","Correlação e Dependência Espacial de Atributos do Solo, Índice de Clorofila e Produtividade do Milho","Rocha, Davi M., Souza, Eduardo G., Nobrega, Lucia H. P., Bazzi, Claudio L., Gasparin, Eloi","Revista de Ciencia y Tecnología; (25); 62-69","Revista de Ciencia y Tecnología","Português","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-75872016000100010&lang=pt" 
"S1851-75872016000100003-arg","Comportamiento y Longevidad de Aspidosperma polyneuron Müll. Arg. frente al Ultrasecado","Otegui, Monica B, Ojeda, Diego S, Totaro, Maria E, Eibl, Beatriz I, Valdes, Maria B, Mallozzi, Gisela Y","Revista de Ciencia y Tecnología; (25); 15-19","Revista de Ciencia y Tecnología","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-75872016000100003&lang=pt" 
"S1851-75872016000100006-arg","Análisis de los Parámetros Reológicos y Sensoriales de Yogur de Guayaba Enriquecido con Cereales","Guimaraes, Daniela H. P, Iodelis, Andre, Aguiar, Loiane F. S","Revista de Ciencia y Tecnología; (25); 34-41","Revista de Ciencia y Tecnología","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-75872016000100006&lang=pt" 
"S1851-75872016000100004-arg","Parámetros Fisicoquímicos e Isotermas de Adsorción de Hojas de Especies Silvestres de Maytenus ilicifolia Martius","Pergher, Gabriela, Schmalko, Miguel E, De Battista, Gabriela A","Revista de Ciencia y Tecnología; (25); 20-27","Revista de Ciencia y Tecnología","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-75872016000100004&lang=pt" 
"S1851-75872016000100001-arg","Diversidad genética y resistencia antimicrobiana de Pseudomonas aeruginosa recuperadas de pacientes fibroquísticos adultos de Argentina","Martina, Pablo, Mazur, Fernando, Cazzola, Laura, Prieto, Claudia, Perez, Silvia, Quiroga, Marina, Yantorno, Osvaldo, Valdez, Eusebia, Bosch, Alejandra","Revista de Ciencia y Tecnología; (25); 4-10","Revista de Ciencia y Tecnología","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-75872016000100001&lang=pt" 
