"S1130-14732008000600006-esp","Tumores de tronco cerebral en la población pediátrica","Villarejo, F.J., Ferrara, M.P., Belinchón, J.M., Madero, L., Rivero, B., Cordobés, F., Pascual, A., Pérez-Díaz, C., Prada, I. de","Neurocirugía; 19(6); 551-555","Neurocirugía","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-14732008000600006&lang=pt" 
"S1413-73722008000400002-scl","A psicologia redescobrirá a sexualidade?","Paiva, Vera","Psicologia em Estudo; 13(4); 641-651","Psicologia em Estudo","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722008000400002&lang=pt" 
"S1413-73722008000400003-scl","Scripts em cena: HIV e mercado sexual no contexto turístico","Bellenzani, Renata, Blessa, Cely, Paiva, Vera","Psicologia em Estudo; 13(4); 653-662","Psicologia em Estudo","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722008000400003&lang=pt" 
"S1413-73722008000400004-scl","Sexualidade e mídia: discursos jornalísticos sobre o &quot;sexual&quot; e vida privada","Maksud, Ivia","Psicologia em Estudo; 13(4); 663-671","Psicologia em Estudo","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722008000400004&lang=pt" 
"S1413-73722008000400005-scl","Os cuidados com a &quot;carne&quot; na socialização sexual dos jovens","Rios, Luís Felipe, Paiva, Vera, Maksud, Ivia, Oliveira, Cinthia, Cruz, Claudia Maria da Silva, Silva, Cristiane Gonçalves da, Terto Junior, Veriano, Parker, Richard","Psicologia em Estudo; 13(4); 673-682","Psicologia em Estudo","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722008000400005&lang=pt" 
"S1413-73722008000400007-scl","Trabajo informal: motivos, bienestar subjetivo, salud, y felicidad en vendedores ambulantes","Moyano Díaz, Emilio, Castillo Guevara, Ramón, Lizana Lizana, José","Psicologia em Estudo; 13(4); 693-701","Psicologia em Estudo","Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722008000400007&lang=pt" 
"S1413-73722008000400008-scl","Os sentidos do trabalho para sujeitos inseridos em &quot;empreendimentos solidários&quot;","Dal Magro, Márcia Luíza Pit, Coutinho, Maria Chalfin","Psicologia em Estudo; 13(4); 703-711","Psicologia em Estudo","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722008000400008&lang=pt" 
"S1413-73722008000400009-scl","Trabalho precoce e processo de escolarização de crianças e adolescentes","Sousa, Olívia Maria Costa Grangeiro de, Alberto, Maria de Fátima Pereira","Psicologia em Estudo; 13(4); 713-722","Psicologia em Estudo","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722008000400009&lang=pt" 
"S1413-73722008000400010-scl","A relação entre a percepção e a representação nos primórdios da metapsicologia freudiana","Caropreso, Fátima","Psicologia em Estudo; 13(4); 723-732","Psicologia em Estudo","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722008000400010&lang=pt" 
"S1413-73722008000400011-scl","Michel Foucault e a construção discursiva do corpo do sujeito moderno e sua relação com a psicologia","Silveira, Fernando de Almeida","Psicologia em Estudo; 13(4); 733-742","Psicologia em Estudo","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-73722008000400011&lang=pt" 
