"S0213-91112014000400016-spa","Historia de salud digital (Diraya): un recurso en la vigilancia epidemiológica","Molina Rueda, M. José, Cabrera Castro, Natalia, Onieva García, M. Ángeles, López Hernández, Begoña","Gaceta Sanitaria; 28(4); 341-342","Gaceta Sanitaria","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112014000400016&lang=pt" 
"S0213-91112014000400018-spa","La &quot;desatención&quot; a las personas con infección por el virus de la inmunodeficiencia humana que no tienen &quot;seguro&quot;: injusta e ineficiente","Alastrué Loscos, Ignacio, Giner Valero, Mercedes, Navas Cutanda, Jesús","Gaceta Sanitaria; 28(4); 343-344","Gaceta Sanitaria","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112014000400018&lang=pt" 
"S0101-60832014000400089-scl","Editorial announcement regarding new impact factor and title change","","Archives of Clinical Psychiatry (São Paulo); 41(4); 89-89","Archives of Clinical Psychiatry (São Paulo)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-60832014000400089&lang=pt" 
"S0101-60832014000400101-scl","Nicotine dependence and levels of depression and anxiety in smokers in the process of smoking cessation","Pawlina, Maritza Muzzi Cardozo, Rondina, Regina De Cássia, Espinosa, Mariano Martinez, Botelho, Clóvis","Archives of Clinical Psychiatry (São Paulo); 41(4); 101-105","Archives of Clinical Psychiatry (São Paulo)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-60832014000400101&lang=pt" 
"S0100-67622014000400007-scl","Compactação do solo causada por tratores florestais na colheita de Pinus taeda L. na região sudoeste do Paraná","Szymczak, Denise Andréia, Brun, Eleandro José, Reinert, Dalvan José, Frigotto, Taciana, Mazzalira, Carlos Cesar, Dal&#039;Col Lúcio, Alessandro, Marafiga, José","Revista Árvore; 38(4); 641-648","Revista Árvore","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622014000400007&lang=pt" 
"S0100-67622014000400009-scl","Utilização de lodo de esgoto na produção de mudas de aroeira-pimenteira","Trigueiro, Rodrigo de Menezes, Guerrini, Iraê Amaral","Revista Árvore; 38(4); 657-665","Revista Árvore","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622014000400009&lang=pt" 
"S0101-60832014000400106-scl","Construct validation of the scale of attitudes toward alcohol, alcoholism and individuals with alcohol use disorders","Vargas, Divane de","Archives of Clinical Psychiatry (São Paulo); 41(4); 106-111","Archives of Clinical Psychiatry (São Paulo)","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-60832014000400106&lang=pt" 
"S0213-91112014000400002-spa","¿Qué hacemos en el barrio? Descripción de las actividades comunitarias de promoción de la salud en atención primaria: proyecto frAC","March, Sebastià, Jordán Martín, Matilde, Montaner Gomis, Isabel, Benedé Azagra, Carmen Belén, Elizalde Soto, Lázaro, Ramos, María","Gaceta Sanitaria; 28(4); 267-273","Gaceta Sanitaria","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112014000400002&lang=pt" 
"S0213-91112014000400003-spa","Inmigración y salud: desigualdades entre la población autóctona e inmigrante en el País Vasco","Rodríguez Álvarez, Elena, González-Rábago, Yolanda, Bacigalupe, Amaia, Martín, Unai, Lanborena Elordui, Nerea","Gaceta Sanitaria; 28(4); 274-280","Gaceta Sanitaria","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112014000400003&lang=pt" 
"S0213-91112014000400004-spa","Participación y representatividad de la población inmigrante en la Encuesta Nacional de Salud de España 2011-2012","González-Rábago, Yolanda, La Parra, Daniel, Martín, Unai, Malmusi, Davide","Gaceta Sanitaria; 28(4); 281-286","Gaceta Sanitaria","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112014000400004&lang=pt" 
