"S1984-70332016000200086-scl","Bunch yield of interspecific hybrids of American oil palm with oil palm in the juvenile phase","Gomes Junior, Rui Alberto, Lopes, Ricardo, Cunha, Raimundo Nonato Vieira da, Pina, Antônio José de Abreu, Quaresma, Carlos Edmundo, Santos, Raissa Rafaella, Resende, Marcos Deon Vilela de","Crop Breeding and Applied Biotechnology; 16(2); 86-94","Crop Breeding and Applied Biotechnology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-70332016000200086&lang=pt" 
"S0718-93032016000100009-chl","Anna Havinga y Nils Langer (eds.).Invisible Languages in the Nineteenth Century","Avilés, Tania","Boletín de filología; 51(1); 261-265","Boletín de filología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-93032016000100009&lang=pt" 
"S0717-75262016000300014-chl","Ensayo randomizado del uso de pesario cervical para prevenir parto prematuro en embarazos únicos (1)","Valdés V, Rafael, Carvajal C, Jorge A","Revista chilena de obstetricia y ginecología; 81(3); 262-264","Revista chilena de obstetricia y ginecología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262016000300014&lang=pt" 
"S1984-70332016000200141-scl","Cacao families and parents selected as resistant to natural infection of Moniliophthora perniciosa","Benjamin, Carolina S., Luz, Edna Dora M. N., Santos, Wedisson O., Pires, José L.","Crop Breeding and Applied Biotechnology; 16(2); 141-146","Crop Breeding and Applied Biotechnology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-70332016000200141&lang=pt" 
"S1984-70332016000200077-scl","Missing value imputation in multi-environment trials: Reconsidering the Krzanowski method","Arciniegas-Alarcón, Sergio, García-Peña, Marisol, Krzanowski, Wojtek","Crop Breeding and Applied Biotechnology; 16(2); 77-85","Crop Breeding and Applied Biotechnology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-70332016000200077&lang=pt" 
"S1984-70332016000200102-scl","Large-scale, high-efficiency production of coffee somatic embryos","Maciel, Anna Lygia de Rezende, Rodrigues, Filipe Almendagna, Pasqual, Moacir, Carvalho, Carlos Henrique Siqueira de","Crop Breeding and Applied Biotechnology; 16(2); 102-107","Crop Breeding and Applied Biotechnology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-70332016000200102&lang=pt" 
"S0034-737X2016000300340-scl","Crescimento e produção da bananeira ( Musa spp. AAB ) `Prata-Anã´, oriunda de rizoma e micropropagada","Salomão, Luiz Carlos Chamhum, Siqueira, Dalmo Lopes de, Lins, Leila Cristina Rosa de, Cecon, Paulo Roberto","Revista Ceres; 63(3); 340-347","Revista Ceres","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2016000300340&lang=pt" 
"S0034-737X2016000300371-scl","Avaliação de um programa interlaboratorial de controle de qualidade de resultados de análise de solo","Griebeler, Gustavo, Silva, Leandro Souza da, Cargnelutti Filho, Alberto, Santos, Lenio da Silva","Revista Ceres; 63(3); 371-379","Revista Ceres","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2016000300371&lang=pt" 
"S0717-75262016000300009-chl","Síndrome de Hallermann-Streiff y embarazo: manejo de la vía aérea difícil en embarazadas","Rojas G, Andrés, Balkenhol N, Marco, Herrera C, Omar, Opazo V, Marcela, Hernández P, Marcela, Rivera C, Marcos","Revista chilena de obstetricia y ginecología; 81(3); 223-228","Revista chilena de obstetricia y ginecología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262016000300009&lang=pt" 
"S0717-75262016000300013-chl","Matrimonio infantil: Un problema social, económico y de salud pública","Mendoza Tascón, Luis Alfonso, Claros Benítez, Diana Isabel, Mendoza Tascón, Laura Isabel, Peñaranda Ospina, Claudia Bibiana, Arias Guatibonza, Martha Deyfilia, Carrillo Bejarano, Jorge Hernán, Sarria Henao, Zoolange","Revista chilena de obstetricia y ginecología; 81(3); 254-261","Revista chilena de obstetricia y ginecología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262016000300013&lang=pt" 
