"S2007-09342014000200004-mex","Diagnóstico territorial y espacial de la apicultura en los sistemas agroecológicos de la Comarca Lagunera","Reyes-Carrillo, José Luis, Galarza-Mendoza, José Luis, Muñoz-Soto, Rubí, Moreno-Reséndez, Alejandro","Revista mexicana de ciencias agrícolas; 5(2); 215-228","Revista mexicana de ciencias agrícolas","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342014000200004&lang=pt" 
"S0123-59232014000100012-col","Evaluando las intervenciones cambiarias en Colombia: 2004-2012","Lopera, Mauricio, Mesa, Ramón Javier, Londoño, Charle","Estudios Gerenciales; 30(130); 85-94","Estudios Gerenciales","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232014000100012&lang=pt" 
"S0123-59232014000100013-col","Mercadeo verde de una empresa dorada","Uribe-Saldarriaga, Carlos Mario","Estudios Gerenciales; 30(130); 95-100","Estudios Gerenciales","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232014000100013&lang=pt" 
"S0123-59232014000100010-col","Importancia de la gerencia del conocimiento: contrastes entre la teoría y la evidencia empírica","Bernal Torres, César Augusto, Frost González, José Salomón, Sierra Arango, Hernán Darío","Estudios Gerenciales; 30(130); 65-72","Estudios Gerenciales","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232014000100010&lang=pt" 
"S0123-59232014000100011-col","Influencia del gobierno corporativo en el costo de capital proveniente de la emisión de deuda","Lagos Cortes, Diógenes, Vecino Arenas, Carlos Enrique","Estudios Gerenciales; 30(130); 73-84","Estudios Gerenciales","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232014000100011&lang=pt" 
"S2007-09342014000200010-mex","Ley de semillas y ley federal de variedades vegetales y transgénicos de maíz en México","Espinosa-Calderón, Alejandro, Turrent-Fernández, Antonio, Tadeo-Robledo, Margarita, San Vicente-Tello, Adelita, Gómez-Montiel, Noel, Valdivia-Bernal, Roberto, Sierra Macías, Mauro, Zamudio-González, Benjamín","Revista mexicana de ciencias agrícolas; 5(2); 293-308","Revista mexicana de ciencias agrícolas","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342014000200010&lang=pt" 
"S2007-09342014000200005-mex","Extracción y requerimiento de macronutrimentos en mango &#039;Ataulfo&#039; (Mangifera indica L.) con manejo de poda anual y bianual","Cruz-Barrón, Vania, Bugarín-Montoya, Rubén, Alejo-Santiago, Gelacio, Luna-Esquivel, Gregorio, Juárez-López, Porfirio","Revista mexicana de ciencias agrícolas; 5(2); 229-239","Revista mexicana de ciencias agrícolas","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342014000200005&lang=pt" 
"S2007-09342014000200006-mex","Técnicas de conservación del agua en riego por gravedad a nivel parcelario","Flores-Gallardo, Hilario, Sifuentes-Ibarra, Ernesto, Flores-Magdaleno, Héctor, Ojeda-Bustamante, Waldo, Ramos-García, Cristo R.","Revista mexicana de ciencias agrícolas; 5(2); 241-252","Revista mexicana de ciencias agrícolas","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342014000200006&lang=pt" 
"S2007-09342014000200007-mex","Caracterización de germoplasma nativo de frijol con base en marcadores moleculares y atributos de calidad","Jacinto-Hernández, Carmen, Garza-García, Ramón, Garza-García, Dagoberto, Bernal-Lugo, Irma","Revista mexicana de ciencias agrícolas; 5(2); 253-264","Revista mexicana de ciencias agrícolas","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342014000200007&lang=pt" 
"S2007-09342014000200001-mex","Competitividad de la carne de ganado bovino entre los países miembros del TLCAN 1997-2008","Omaña Silvestre, José Miguel, Almora Bustos, Isael, Cruz Galindo, Bartolomé, Hoyos Fernández, Gabriela L., Quintero Ramírez, Juan Manuel, Fortis Hernández, Manuel","Revista mexicana de ciencias agrícolas; 5(2); 175-189","Revista mexicana de ciencias agrícolas","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342014000200001&lang=pt" 
