"S0100-204X2004001200008-scl","Atributos químicos do solo, crescimento radicular e produtividade do arroz de acordo com a aplicação de escórias","Carvalho-Pupatto, Juliana Garcia, Büll, Leonardo Theodoro, Crusciol, Carlos Alexandre Costa","Pesquisa Agropecuária Brasileira; 39(12); 1213-1218","Pesquisa Agropecuária Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2004001200008&lang=pt" 
"S0100-204X2004001200009-scl","Comparação entre mapas de solos obtidos por sensoriamento remoto espectral e pelo método convencional","Demattê, José Alexandre M., Genú, Aline Marques, Fiorio, Peterson Ricardo, Ortiz, Jonas Luís, Mazza, Jairo Antônio, Leonardo, Hudson Carlos Lissoni","Pesquisa Agropecuária Brasileira; 39(12); 1219-1229","Pesquisa Agropecuária Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2004001200009&lang=pt" 
"S0100-204X2004001200010-scl","Fósforo no solo e desenvolvimento de soja influenciados pela adubação fosfatada e cobertura vegetal","Corrêa, Juliano Corulli, Mauad, Munir, Rosolem, Ciro Antônio","Pesquisa Agropecuária Brasileira; 39(12); 1231-1237","Pesquisa Agropecuária Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2004001200010&lang=pt" 
"S0100-204X2004001200011-scl","Germinação de sementes de genótipos de maracujazeiro","Alexandre, Rodrigo Sobreira, Wagner Júnior, Américo, Negreiros, Jacson Rondinelli da Silva, Parizzotto, Alexandre, Bruckner, Claudio Horst","Pesquisa Agropecuária Brasileira; 39(12); 1239-1245","Pesquisa Agropecuária Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2004001200011&lang=pt" 
"S0100-204X2004001200012-scl","Desempenho de novilhas em pastagem de Brachiaria decumbens após período de suplementação","Cavalcanti Filho, Luiz Fernando Mesquita, Santos, Mércia Virginia Ferreira dos, Ferreira, Marcelo de Andrade, Lira, Mário de Andrade, Farias, Iderval, Ferreira, Rinaldo Luiz Caraciolo, Lucena, Jorge Eduardo Cavalcanti","Pesquisa Agropecuária Brasileira; 39(12); 1247-1252","Pesquisa Agropecuária Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2004001200012&lang=pt" 
"S0100-204X2004001200013-scl","Ganho de peso na recria e desempenho reprodutivo de novilhas acasaladas com sobreano","Montanholi, Yuri Regis, Barcellos, Júlio Otávio Jardim, Borges, João Batista, Costa, Eduardo Castro da, Wunsh, Carolina, Prates, Ênio Rosa","Pesquisa Agropecuária Brasileira; 39(12); 1253-1259","Pesquisa Agropecuária Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2004001200013&lang=pt" 
"S1676-24442004000600005-scl","Involvement of mitochondria in apoptosis of cancer cells induced by photodynamic therapy","Ribeiro, Joselito Nardy, Silva, André Romero da, Jorge, Renato Atilio","Jornal Brasileiro de Patologia e Medicina Laboratorial; 40(6); 383-390","Jornal Brasileiro de Patologia e Medicina Laboratorial","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442004000600005&lang=pt" 
"S0100-204X2004001200006-scl","Desenvolvimento de tambaqui submetido a períodos de privação alimentar","Ituassú, Daniel Rabello, Santos, Gin Robson Santos dos, Roubach, Rodrigo, Pereira-Filho, Manoel","Pesquisa Agropecuária Brasileira; 39(12); 1199-1203","Pesquisa Agropecuária Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2004001200006&lang=pt" 
"S0366-69132004000400001-scl","Editorial","","Cerâmica; 50(316); -","Cerâmica","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132004000400001&lang=pt" 
"S0366-69132004000400012-scl","Avaliação do desempenho de corte de diferentes grãos adiamantados","Bianchi, E. C., Aguiar, P. R. de, Silva, E. J. da, Freitas, C. A. de, Bianchi, A. R. R.","Cerâmica; 50(316); 362-367","Cerâmica","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132004000400012&lang=pt" 
"S0366-69132004000400009-scl","Assessment of industrial wastes in mortar layers deposited on stainless steel sheets of sinks","Gemelli, E., Lourenci, S., Folgueras, M. V., Camargo, N. H. Almeida","Cerâmica; 50(316); 336-344","Cerâmica","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132004000400009&lang=pt" 
"S0366-69132004000400008-scl","Adição de microssílica e a secagem de concretos refratários","Anjos, R. D. dos, Ismael, M. R., Ramal Jr, F. T., Pandolfelli, V. C.","Cerâmica; 50(316); 331-335","Cerâmica","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132004000400008&lang=pt" 
"S0366-69132004000400007-scl","Caracterização de resíduo (lodo) proveniente de estação de tratamento de águas visando sua utilização em cerâmica vermelha","Oliveira, E. M. S., Machado, S. Q., Holanda, J. N. F.","Cerâmica; 50(316); 324-330","Cerâmica","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132004000400007&lang=pt" 
"S0366-69132004000400006-scl","Preparação de mulita a partir do mineral topázio","Monteiro, R. R., Sabioni, A. C. S., Costa, G.M. da","Cerâmica; 50(316); 318-323","Cerâmica","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132004000400006&lang=pt" 
"S0366-69132004000400005-scl","Seleção de esmaltes cerâmicos utilizando um delineamento experimental segundo Taguchi","Lira, C., Alarcon, O. E.","Cerâmica; 50(316); 308-317","Cerâmica","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132004000400005&lang=pt" 
"S0366-69132004000400004-scl","Utilização de rejeitos de pilha zinco-carvão em argamassas e concretos de cimento Portland","Coimbra, M. A., Libardi, W., Morelli, M. R.","Cerâmica; 50(316); 300-307","Cerâmica","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132004000400004&lang=pt" 
"S0366-69132004000400003-scl","Microestrutura e propriedades de porcelanas","Bragança, S. R., Bergmann, C. P.","Cerâmica; 50(316); 291-299","Cerâmica","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132004000400003&lang=pt" 
"S0366-69132004000400011-scl","Filtração de aerossóis em altas temperaturas utilizando filtros cerâmicos de dupla camada: influência do diâmetro de partícula na eficiência de coleta","Freitas, N. L de, Maniero, M. G., Coury, J. R.","Cerâmica; 50(316); 355-361","Cerâmica","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132004000400011&lang=pt" 
"S1676-24442004000600004-scl","Carta ao editor","Lottermann, Andrei, Ranzolin, Aline, Norman, Gary L., Bodanese, Luiz Carlos, Von Mühlen, Carlos Alberto, Staub, Henrique Luiz","Jornal Brasileiro de Patologia e Medicina Laboratorial; 40(6); 379-382","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442004000600004&lang=pt" 
"S0100-06832004000600001-scl","Variabilidade espacial de atributos físicos do solo em diferentes formas do relevo sob cultivo de cana-de-açúcar","Souza, Z. M., Marques Júnior, J., Pereira, G. T.","Revista Brasileira de Ciência do Solo; 28(6); 937-944","Revista Brasileira de Ciência do Solo","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832004000600001&lang=pt" 
"S1676-24442004000600006-scl","Carta ao editor","Cavalcanti, Rogério","Jornal Brasileiro de Patologia e Medicina Laboratorial; 40(6); 391-392","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442004000600006&lang=pt" 
"S1676-24442004000600002-scl","Editorial","Vieira, Luisane Maria Falci","Jornal Brasileiro de Patologia e Medicina Laboratorial; 40(6); -","Jornal Brasileiro de Patologia e Medicina Laboratorial","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442004000600002&lang=pt" 
"S0366-69132004000400002-scl","Materiais cerâmicos para células a combustível","Florio, D. Z. de, Fonseca, F. C., Muccillo, E. N. S., Muccillo, R.","Cerâmica; 50(316); 275-290","Cerâmica","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132004000400002&lang=pt" 
"S0366-69132004000400010-scl","Aplicação de métodos estatísticos na otimização da densidade de empacotamento de distribuições de pós de alumina","Silva, A. P., Segadães, A. M., Devezas, T. C.","Cerâmica; 50(316); 345-354","Cerâmica","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132004000400010&lang=pt" 
"S0366-69132004000400013-scl","Materiais cerâmicos ferroelétricos como hospedeiros para íons laser ativos: características estruturais, microestruturais e espectroscópicas","Camargo, A. S. S. de, Botero, É. R., Nunes, L. A. O., Lente, M. H., Santos, I. A., Andreeta, É. R. M., Garcia, D., Eiras, J. A.","Cerâmica; 50(316); 368-377","Cerâmica","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132004000400013&lang=pt" 
