"S0717-69962004005600008-chl","Duoc U.C. La Florida","Sabbagh, Juan, Sabbagh, Mariana, Olivares, Marcial, Sabbagh, Juan Pedro","ARQ (Santiago); (56); 32-37","ARQ (Santiago)","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-69962004005600008&lang=pt" 
"S0717-69962004005600009-chl","Colegio Alicante del Rosal","Marsino, Jorge, Contreras, Cristián","ARQ (Santiago); (56); 38-43","ARQ (Santiago)","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-69962004005600009&lang=pt" 
"S0717-69962004005600010-chl","Taller SENAME","García Huidobro, Fernando, Torres, Diego","ARQ (Santiago); (56); 44-45","ARQ (Santiago)","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-69962004005600010&lang=pt" 
"S0717-69962004005600012-chl","Colegio Monseñor E. Alvear","Gubbins Browne, Víctor, Gubbins Foxley, Pedro","ARQ (Santiago); (56); 52-55","ARQ (Santiago)","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-69962004005600012&lang=pt" 
"S0717-69962004005600013-chl","Universidad de Franche Comté","Jullian, Carlos","ARQ (Santiago); (56); 56-61","ARQ (Santiago)","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-69962004005600013&lang=pt" 
"S0717-69962004005600014-chl","Arquitectura contemporánea en las colonias infantiles italianas","de Martino, Stefano","ARQ (Santiago); (56); 62-66","ARQ (Santiago)","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-69962004005600014&lang=pt" 
"S0717-69962004005600015-chl","Alvar Aalto: Práctica y pensamiento","Ray, Nicholas","ARQ (Santiago); (56); 67-71","ARQ (Santiago)","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-69962004005600015&lang=pt" 
"S0717-69962004005600016-chl","Noticias de la Facultad: ELEMENTAL Concurso Mundial de Arquitectura","","ARQ (Santiago); (56); 72-75","ARQ (Santiago)","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-69962004005600016&lang=pt" 
"S0717-69962004005600017-chl","Noticias + E-mail + Cartas","","ARQ (Santiago); (56); 76-76","ARQ (Santiago)","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-69962004005600017&lang=pt" 
"S0717-69962004005600018-chl","Libros y Revistas recibidos","","ARQ (Santiago); (56); 78-78","ARQ (Santiago)","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-69962004005600018&lang=pt" 
"S0717-69962004005600019-chl","Reseña sitios web: Nuevos Sitios web Facultad de Arquitectura, Diseño y Estudios Urbanos P.U.C.","","ARQ (Santiago); (56); 79-79","ARQ (Santiago)","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-69962004005600019&lang=pt" 
"S0717-69962004005600001-chl","Editorial","Palmer, Montserrat","ARQ (Santiago); (56); 3-3","ARQ (Santiago)","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-69962004005600001&lang=pt" 
"S0717-69962004005600011-chl","Dos Colegios","Valdés, Cristián","ARQ (Santiago); (56); 46-51","ARQ (Santiago)","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-69962004005600011&lang=pt" 
