"S0103-84782008000900019-scl","Histopatologia de lesões tumoriformes presentes na cavidade nasal de eqüídeos do Brasil","Trotte, Marcele Nogueira de Sousa, Santos, Isabele Barbieri dos, Miranda, Luisa Helena Monteiro de, Amorim, Ariane Ribeiro, Borges, José Renato Junqueira, Menezes, Rodrigo Caldas","Ciência Rural; 38(9); 2535-2539","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900019&lang=pt" 
"S0103-84782008000900028-scl","Causes of condemnation of carcasses from poultry in slaughterhouses located in State of Goiás, Brazil","Santana, Ângela Patrícia, Murata, Luci Sayori, Freitas, Camila Guimarães de, Delphino, Marina Karina, Pimentel, Concepta Macmanus","Ciência Rural; 38(9); 2587-2592","Ciência Rural","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900028&lang=pt" 
"S0103-84782008000900002-scl","Temperatura no desenvolvimento e na reprodução de cochonilhas criadas sobre abóboras","Andrade, Lília de Lima, Busoli, Antonio Carlos, Barbosa, José Carlos","Ciência Rural; 38(9); 2419-2426","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900002&lang=pt" 
"S0103-84782008000900020-scl","Enteritis associated with Lawsonia intracellularis and porcine circovirus type 2 infection in wild boars in Southern Brazil","Zlotowski, Priscila, Corrêa, André Mendes Ribeiro, Borba, Mauro Riegert, Cruz, Cláudio Estêvão Farias, Driemeier, David","Ciência Rural; 38(9); 2540-2544","Ciência Rural","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900020&lang=pt" 
"S0103-84782008000900042-scl","Condição microbiológica de cama tratada com Impact P® em matrizes de frangos de corte","Roll, Victor Fernando Büttow, Lopes, Lorena Lacava, Gonçalves, Fernanda Medeiros, Anciuti, Marcos, Leite, Fabio Leivas, Corrêa, Erico Kunde, Xavier, Eduardo Gonçalves","Ciência Rural; 38(9); 2650-2653","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900042&lang=pt" 
"S0103-84782008000900041-scl","Aspectos epidemiológicos de um surto de babesiose cerebral em bovinos em zona livre de carrapato","Schild, Ana Lucia, Ruas, Jerônimo Lopes, Farias, Nara Amelia, Grecco, Fabiane Borelli, Soares, Mauro Pereira","Ciência Rural; 38(9); 2646-2649","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900041&lang=pt" 
"S0103-84782008000900012-scl","Resistência de grãos de milho à ruptura por compressão","Delalibera, Hevandro Colonhese, Weirich Neto, Pedro Henrique, Colet, Marcelo José, Garbuio, Paulo William, Sverzut, Claudio Bianor","Ciência Rural; 38(9); 2493-2497","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900012&lang=pt" 
"S0103-84782008000900045-scl","Prevalência de Cryptosporidium spp e Giardia sp em eqüinos estabulados no Jockey Club de Santa Maria - RS, Brasil","Gomes, Aline Diefenbach, Barretta, Clarissa, Ziegler, Dhalile Plein, Sausen, Lourenço, Stoever, Nathalia, Sangioni, Luís Antônio, Vogel, Fernanda Silveira Flores, Monteiro, Silvia González, Zanella, Andreia","Ciência Rural; 38(9); 2662-2665","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900045&lang=pt" 
"S0103-84782008000900037-scl","Alterações na bioquímica hepática em cães com leptospirose aguda determinada por amostras do sorogrupo Icterohaemorrhagiae","Freire, Isabel Maria Alexandre, Varges, Renato, Lilenbaum, Walter","Ciência Rural; 38(9); 2630-2632","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900037&lang=pt" 
"S0103-84782008000900016-scl","Anatomia dos ramos do nervo lingual em suíno","Ferreira, Jussara Rocha, Fortes, Patrícia Marques, Dias, Alessandra Guerra, Sousa, Paulo Roberto de","Ciência Rural; 38(9); 2519-2524","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900016&lang=pt" 
"S0103-84782008000900036-scl","Controle automático de registros de descarga com acionamento pneumático em unidades de armazenagem agrícola","Andrighetto, Pedro Luís, Valdiero, Antonio Carlos, Souza, Maurício de","Ciência Rural; 38(9); 2626-2629","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900036&lang=pt" 
"S0103-84782008000900040-scl","Piodermite profunda por Staphylococcus intermedius em eqüino","Santos, Fábio Cordeiro Oliveira, Souza, Maria Verônica de, Graça, Dominguita Lühers, Vargas, Agueda, Moreira, José do Carmo Lopes, Zandim, Bruna Mota","Ciência Rural; 38(9); 2641-2645","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900040&lang=pt" 
"S0103-84782008000900039-scl","Aspectos imunoistoquímicos da hepatite infecciosa canina","Inkelmann, Maria Andréia, Anjos, Bruno Leite dos, Kommers, Glaucia Denise, Fighera, Rafael Almeida, Barros, Claudio Severo Lombardo de","Ciência Rural; 38(9); 2636-2640","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900039&lang=pt" 
"S0103-84782008000900032-scl","Densidade de plantas de milho híbrido em semeadura precoce no Rio Grande do Sul","Piana, Alexandre Tadeu, Silva, Paulo Regis Ferreira da, Bredemeier, Christian, Sangoi, Luís, Vieira, Vladirene Macedo, Serpa, Michael da Silva, Jandrey, Douglas Batista","Ciência Rural; 38(9); 2608-2612","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900032&lang=pt" 
"S0103-84782008000900038-scl","Pênfigo foliáceo em cabra Boer","Macêdo, Juliana Targino Silva Almeida, Riet-Correa, Franklin, Dantas, Antônio Flávio Medeiros, Simões, Sara Vilar Dantas","Ciência Rural; 38(9); 2633-2635","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900038&lang=pt" 
"S0103-84782008000900035-scl","Produção, composição da uva e teores de nitrogênio na folha e no pecíolo em videiras submetidas à adubação nitrogenada","Brunetto, Gustavo, Bongiorno, Cleber Luiz, Mattias, Jorge Luis, Deon, Mauro, Melo, George Wellington de, Kaminski, João, Ceretta, Carlos Alberto","Ciência Rural; 38(9); 2622-2625","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900035&lang=pt" 
"S0103-84782008000900026-scl","Crescimento alométrico dos componentes da carcaça de cordeiros Texel × Ile de France confinados do desmame aos 35kg de peso vivo","Galvani, Diego Barcelos, Pires, Cleber Cassol, Oliveira, Franciele de, Wommer, Tatiana Pfüller, Jochims, Felipe","Ciência Rural; 38(9); 2574-2578","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900026&lang=pt" 
"S0103-84782008000900030-scl","Análise da germinação de cultivares de arroz submetidas a estresse por ácido acético","Kopp, Mauricio Marini, Luz, Viviane Kopp da, Maia, Luciano Carlos da, Sousa, Rogério Oliveira de, Carvalho, Fernando Irajá Félix de, Oliveira, Antonio Costa de","Ciência Rural; 38(9); 2599-2603","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900030&lang=pt" 
"S0103-84782008000900034-scl","Emergência de plântulas de Erythrina velutina em diferentes posições e profundidades de semeadura","Cardoso, Edson de Almeida, Alves, Edna Ursulino, Bruno, Riselane de Lucena Alcântara, Alves, Anarlete Ursulino, Alves, Adriana Ursulino, Silva, Kelina Bernardo","Ciência Rural; 38(9); 2618-2621","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900034&lang=pt" 
"S0103-84782008000900031-scl","Embriogênese somática a partir de embriões imaturos em genótipos de milho","Fernandes, Eloise Helena, Prioli, Alberto José, Scapim, Carlos Alberto, Schuster, Ivan, Vieira, Elisa Serra Negra, Amaral Júnior, Antônio Teixeira do, Moterle, Lia Mara","Ciência Rural; 38(9); 2604-2607","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900031&lang=pt" 
"S0103-84782008000900033-scl","Produção de morangueiro cv. &quot;Cegnidarem&quot; sob túnel plástico","Oliveira, Roberto Pedroso de, Scivittaro, Walkyria Bueno","Ciência Rural; 38(9); 2613-2617","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900033&lang=pt" 
"S0103-84782008000900044-scl","Ocorrência de protozoários gastrintestinais em primatas mantidos em cativeiro na região sul do Brasil","Silva, Aleksandro Schafer da, Coradini, Gabriela Pesamosca, Gressler, Luciane Tourem, Soares, João Fabio, Lara, Valéria Maria, Carregaro, Adriano Bonfim, Monteiro, Silvia Gonzalez","Ciência Rural; 38(9); 2658-2661","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900044&lang=pt" 
"S0103-84782008000900047-scl","Potencial bioterapêutico dos probióticos nas parasitoses intestinais","Oliveira-Sequeira, Teresa Cristina Goulart de, Ribeiro, Cláudia Mello, Gomes, Maria Isabel Franchi Vasconcelos","Ciência Rural; 38(9); 2670-2679","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900047&lang=pt" 
"S0103-84782008000900005-scl","Absorção de fósforo em doze genótipos de milho inoculados com fungo micorrízico arbuscular em solo de cerrado","Reis, Edésio Fialho dos, Carneiro, Marco Aurélio Carbone, Saggin-Júnior, Orivaldo José, Rotta, Douglas André, Sousa, Mohamad Yussef","Ciência Rural; 38(9); 2441-2447","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900005&lang=pt" 
"S0103-84782008000900010-scl","Manutenção da qualidade pós-colheita de maçãs &#039;Royal Gala&#039; e &#039;Galaxy&#039; sob armazenamento em atmosfera controlada","Brackmann, Auri, Weber, Anderson, Pinto, Josuel Alfredo Vilela, Neuwald, Daniel Alexandre, Steffens, Cristiano André","Ciência Rural; 38(9); 2478-2484","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900010&lang=pt" 
"S0103-84782008000900023-scl","Ocorrência de Salmonella spp. em carcaças de frangos industrialmente processadas, procedentes de explorações industriais do Estado de São Paulo, Brasil","Tessari, Eliana Neire Castiglioni, Cardoso, Ana Lucia Sicchiroli Paschoal, Kanashiro, Ana Maria Iba, Stoppa, Greice Filomena Zanatta, Luciano, Renato Luís, Castro, Antonio Guilherme Machado de","Ciência Rural; 38(9); 2557-2560","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900023&lang=pt" 
"S0103-84782008000900011-scl","Variação espacial da perda de solo por erosão em diferentes superfícies geomórficas","Campos, Milton César Costa, Marques Júnior, José, Martins Filho, Marcílio Vieira, Pereira, Gener Tadeu, Souza, Zigomar Menezes de, Barbieri, Diogo Mazza","Ciência Rural; 38(9); 2485-2492","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900011&lang=pt" 
"S0103-84782008000900024-scl","Qualidade seminal e histomorfometria dos órgãos reprodutivos de ovinos tratados com fluoreto de sódio","Filappi, Andreane, Prestes, Danívia, Rocha, Ricardo, Schosller, Deila Rosely, Bondan, Carlos, Bragança, José Francisco, Cecim, Marcelo","Ciência Rural; 38(9); 2561-2566","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900024&lang=pt" 
"S0103-84782008000900013-scl","Variabilidade espacial do microclima de um galpão utilizado para confinamento de bovinos de leite","Faria, Flaviane Flor de, Moura, Daniella Jorge de, Souza, Zigomar Menezes de, Matarazzo, Soraia Vanessa","Ciência Rural; 38(9); 2498-2505","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900013&lang=pt" 
