"S0365-05962006000300002-scl","Sarcomas cutâneos primários","Fleury Jr, Luiz Fernando Fróes, Sanches Jr, José Antonio","Anais Brasileiros de Dermatologia; 81(3); 207-221","Anais Brasileiros de Dermatologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962006000300002&lang=pt" 
"S0001-37652006000200002-scl","Aedeagus morphology as a discriminant marker in two closely related Cactophilic species of Drosophila (Diptera; Drosophilidae) in South America","Franco, Fernando F., Prado, Pedro R.R., Sene, Fábio M., Costa, Luciano F., Manfrin, Maura H.","Anais da Academia Brasileira de Ciências; 78(2); 203-212","Anais da Academia Brasileira de Ciências","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652006000200002&lang=pt" 
"S0001-37652006000200001-scl","The structure of weakly stable minimal hypersurfaces","Cheng, Xu, Cheung, Leung-Fu, Zhou, Detang","Anais da Academia Brasileira de Ciências; 78(2); 195-201","Anais da Academia Brasileira de Ciências","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652006000200001&lang=pt" 
"S0001-37652006000200004-scl","Paleoenvironment interpretation of a 1760 years B.P. old sediment in a mangrove area of the Bay of Guanabara, using pollen analysis","Barth, Ortrud M., São-Thiago, Luiz E.U., Barros, Marcia A.","Anais da Academia Brasileira de Ciências; 78(2); 227-229","Anais da Academia Brasileira de Ciências","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652006000200004&lang=pt" 
"S0001-37652006000200012-scl","Positive inversion of extensional footwalls in the southern Serra do Espinhaço, Brazil - insights from sandbox laboratory experiments","Gomes, Caroline J.S., Martins-Neto, Marcelo A., Ribeiro, Valéria E.","Anais da Academia Brasileira de Ciências; 78(2); 331-344","Anais da Academia Brasileira de Ciências","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652006000200012&lang=pt" 
"S0001-37652006000200013-scl","Contamination in mafic mineral-rich calc-alkaline granites: a geochemical and Sr-Nd isotope study of the Neoproterozoic Piedade Granite, SE Brazil","Leite, Renato J., Janasi, Valdecir A., Martins, Lucelene","Anais da Academia Brasileira de Ciências; 78(2); 345-371","Anais da Academia Brasileira de Ciências","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652006000200013&lang=pt" 
"S0001-37652006000200009-scl","Sporothrix schenckii and sporotrichosis","Lopes-Bezerra, Leila M., Schubach, Armando, Costa, Rosane O.","Anais da Academia Brasileira de Ciências; 78(2); 293-308","Anais da Academia Brasileira de Ciências","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652006000200009&lang=pt" 
"S0001-37652006000200010-scl","Garnets from the Camafuca-Camazambo kimberlite (Angola)","Correia, Eugénio A., Laiginhas, Fernando A.T.P.","Anais da Academia Brasileira de Ciências; 78(2); 309-315","Anais da Academia Brasileira de Ciências","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652006000200010&lang=pt" 
"S0001-37652006000200005-scl","c-Ki-ras oncogene amplification and FGF2 signaling pathways in the mouse Y1 adrenocortical cell line","Forti, Fábio L., Costa, Érico T., Rocha, Kátia M., Moraes, Miriam S., Armelin, Hugo A.","Anais da Academia Brasileira de Ciências; 78(2); 231-239","Anais da Academia Brasileira de Ciências","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652006000200005&lang=pt" 
"S0001-37652006000200006-scl","The structural molecular biology network of the State of São Paulo, Brazil","Barbosa, João A.R.G., Netto, Luis E.S., Farah, Chuck S., Schenkman, Sergio, Meneghini, Rogério","Anais da Academia Brasileira de Ciências; 78(2); 241-253","Anais da Academia Brasileira de Ciências","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652006000200006&lang=pt" 
"S0001-37652006000200007-scl","Plasma membranes from insect midgut cells","Terra, Walter R., Costa, Rita H., Ferreira, Clélia","Anais da Academia Brasileira de Ciências; 78(2); 255-269","Anais da Academia Brasileira de Ciências","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652006000200007&lang=pt" 
"S0036-36342006000300009-spa","La influenza, un problema vigente de salud pública","García-García, Juan, Ramos, Celso","Salud Pública de México; 48(3); 244-267","Salud Pública de México","Espanhol","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342006000300009&lang=pt" 
"S0042-96862006000600017-spa","Turning liabilities into resources: informal village doctors and tuberculosis control in Bangladesh","Hamid Salim, MA, Uplekar, Mukund, Daru, Paul, Aung, Maug, Declercq, E, Lönnroth, Knut","Bulletin of the World Health Organization; 84(6); 479-484","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000600017&lang=pt" 
