"S0102-69092017000100703-scl","Demência(s), em imagens, narrativas e experiências","Feriani, Daniela","Revista Brasileira de Ciências Sociais; 32(93); -","Revista Brasileira de Ciências Sociais","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092017000100703&lang=pt" 
"S1806-11172017000300409-scl","Communicating vessels: a non-linear dynamical system","Luca, Roberto De, Faella, Orazio","Revista Brasileira de Ensino de Física; 39(3); -","Revista Brasileira de Ensino de Física","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172017000300409&lang=pt" 
"S1806-11172017000300702-scl","200 anos de caleidoscópio","Araújo Omelczuck, Rebeca Saldanha de, Soga, Diogo, Muramatsu, Mikiya","Revista Brasileira de Ensino de Física; 39(3); -","Revista Brasileira de Ensino de Física","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172017000300702&lang=pt" 
"S2359-39972017005003104-scl","Deaths related to differentiated thyroid cancer: a rare but real event","Leite, Ana Kober N., Cavalheiro, Beatriz G., Kulcsar, Marco Aurélio, Hoff, Ana de Oliveira, Brandão, Lenine G., Cernea, Claudio Roberto, Matos, Leandro L.","Archives of Endocrinology and Metabolism; (ahead); -","Archives of Endocrinology and Metabolism","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2359-39972017005003104&lang=pt" 
"S1415-47572017005010102-scl","Regulation of Na+ and K+ homeostasis in plants: towards improved salt stress tolerance in crop plants","Almeida, Diego M., Oliveira, M. Margarida, Saibo, Nelson J. M.","Genetics and Molecular Biology; (ahead); -","Genetics and Molecular Biology","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47572017005010102&lang=pt" 
"S0102-69092017000100506-scl","CONFLITOS DE PRESSUPOSTOS NA ANTROPOLOGIA DA ARTE: Relações entre pessoas, coisas e imagens","Cesarino, Pedro","Revista Brasileira de Ciências Sociais; 32(93); -","Revista Brasileira de Ciências Sociais","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092017000100506&lang=pt" 
"S0259-94222017000200001-sza","South African religious demography: The 2013 General Household Survey","Schoeman, Willem J.","HTS Theological Studies; 73(2); 1-7","HTS Theological Studies","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-94222017000200001&lang=pt" 
"S0259-94222017000300008-sza","Is Psalm 104 an expression (also) of dark green religion?","Viviers, Hennie","HTS Theological Studies; 73(3); 1-8","HTS Theological Studies","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-94222017000300008&lang=pt" 
"S1019-91282017000100001-sza","Seroprevalence of Rift Valley fever in cattle along the Akagera-Nyabarongo rivers, Rwanda","Umuhoza, Thérèse, Berkvens, Dirk, Gafarasi, Isidore, Rukelibuga, Joseph, Mushonga, Borden, Biryomumaisho, Savino","Journal of the South African Veterinary Association; 88(1); 1-5","Journal of the South African Veterinary Association","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1019-91282017000100001&lang=pt" 
"S1019-91282017000100004-sza","Long-term surgical anaesthesia with isoflurane in human habituated Nile Crocodiles","Stegmann, George F., Williams, Catherine J.A., Franklin, Craig, Wang, Tobias, Axelsson, Michael","Journal of the South African Veterinary Association; 88(1); 1-6","Journal of the South African Veterinary Association","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1019-91282017000100004&lang=pt" 
"S1019-91282017000100002-sza","The diagnosis of bilateral primary renal paragangliomas in a cat","Friedlein, Ryan B., Carter, Alain J., Last, Robert D., Clift, Sarah","Journal of the South African Veterinary Association; 88(1); 1-6","Journal of the South African Veterinary Association","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1019-91282017000100002&lang=pt" 
"S0006-82412017000100001-sza","Amaranthus palmeri, a second record for Africa and notes on A. sonoriensis nom. nov.","Iamonico, Duilio, El Mokni, Ridha","Bothalia - African Biodiversity &amp; Conservation; 47(1); 1-4","Bothalia - African Biodiversity &amp; Conservation","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0006-82412017000100001&lang=pt" 
"S0259-94222017000300001-sza","Challenges facing the ministerial formation in Uniting Presbyterian Church in Southern Africa: A critical reflection","Mogashoa, Moroka, Makofane, Karabo","HTS Theological Studies; 73(3); 1-9","HTS Theological Studies","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-94222017000300001&lang=pt" 
"S1019-91282017000100003-sza","Mycotic rhinitis in a Mutton Merino ewe","Leask, Rhoda, Steyl, Johan","Journal of the South African Veterinary Association; 88(1); 1-3","Journal of the South African Veterinary Association","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1019-91282017000100003&lang=pt" 
"S2071-29362017000100002-sza","Association between depression in carers and malnutrition in children aged 6 months to 5 years","Motlhatlhedi, Keneilwe, Setlhare, Vincent, Ganiyu, Adewale B., Firth, Jacqueline A.","African Journal of Primary Health Care &amp; Family Medicine; 9(1); 1-6","African Journal of Primary Health Care &amp; Family Medicine","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2071-29362017000100002&lang=pt" 
"S2225-20102017000100001-sza","Trends in leprosy case detection in Rwanda, 1995-2011: analysis of 17 years of laboratory data","Uwimana, Innocent, Bizimungu, Nestor, Ingabire, Fabrice, Mukamukwiye, Elyse, Sharangabo, Odette, Ngabonziza, Semuto C., Kamanzi, Elaine","African Journal of Laboratory Medicine; 6(1); 1-4","African Journal of Laboratory Medicine","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-20102017000100001&lang=pt" 
"S2071-29362017000100005-sza","Conference report: Undergraduate family medicine and primary care training in Sub-Saharan Africa: Reflections of the PRIMAFAMED network","Besigye, Innocent, Mash, Robert, Essuman, Akye, Flinkenflögel, Maaike","African Journal of Primary Health Care &amp; Family Medicine; 9(1); 1-5","African Journal of Primary Health Care &amp; Family Medicine","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2071-29362017000100005&lang=pt" 
"S2223-62792017000100001-sza","Lived experiences of parents of premature babies in the intensive care unit in a private hospital in Johannesburg, South Africa","Steyn, Erika, Poggenpoel, Marie, Myburgh, Chris","Curationis; 40(1); 1-8","Curationis","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2223-62792017000100001&lang=pt" 
"S2222-34362017000100003-sza","Efficiency of international cooperation schemata in African countries: A comparative analysis using a data envelopment analysis approach","Martin-Perez, Victor, Martin-Cruz, Natalia","South African Journal of Economic and Management Sciences; 20(1); 1-13","South African Journal of Economic and Management Sciences","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2222-34362017000100003&lang=pt" 
"S2305-08532017000100001-sza","The missio Dei as context for a ministry to refugees","Soares, Diniz R., Lotter, George, van der Merwe, Sarel J.","In die Skriflig; 51(1); 1-7","In die Skriflig","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2305-08532017000100001&lang=pt" 
"S0259-94222017000100001-sza","Johannes Dreyer (1500-1544) - Die Hervormer van Herford","Dreyer, Wim","HTS Theological Studies; 73(1); 1-9","HTS Theological Studies","Africaner","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-94222017000100001&lang=pt" 
"S2071-07632017000100003-sza","Emotional intelligence in South African women leaders in higher education","Mayer, Claude-Hélène, Oosthuizen, Rudolf M., Surtee, Sabie","SA Journal of Industrial Psychology; 43(1); 1-12","SA Journal of Industrial Psychology","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2071-07632017000100003&lang=pt" 
"S0259-94222017000300005-sza","The role of spirituality as a coping mechanism for South African traffic officers","Jacobs, Rochelle, van Niekerk, Annelize","HTS Theological Studies; 73(3); 1-6","HTS Theological Studies","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-94222017000300005&lang=pt" 
"S2071-29362017000100004-sza","You can treat my HIV - But can you treat my blood pressure? Availability of integrated HIV and non-communicable disease care in northern Malawi","Pfaff, Colin, Scott, Vera, Hoffman, Risa, Mwagomba, Beatrice","African Journal of Primary Health Care &amp; Family Medicine; 9(1); 1-8","African Journal of Primary Health Care &amp; Family Medicine","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2071-29362017000100004&lang=pt" 
"S2225-20102017000100002-sza","Programmatic implications of implementing the relational algebraic capacitated location (RACL) algorithm outcomes on the allocation of laboratory sites, test volumes, platform distribution and space requirements","Cassim, Naseem, Smith, Honora, Coetzee, Lindi M., Glencross, Deborah K.","African Journal of Laboratory Medicine; 6(1); 1-8","African Journal of Laboratory Medicine","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-20102017000100002&lang=pt" 
"S2071-29362017000100003-sza","Exploring the interaction of activity limitations with context, systems, community and personal factors in accessing public health care services: A presentation of South African case studies","Mji, Gubela, Braathen, Stine H., Vergunst, Richard, Scheffler, Elsje, Kritzinger, Janis, Mannan, Hasheem, Schneider, Marguerite, Swartz, Leslie, Visagie, Surona","African Journal of Primary Health Care &amp; Family Medicine; 9(1); 1-9","African Journal of Primary Health Care &amp; Family Medicine","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2071-29362017000100003&lang=pt" 
"S2071-29362017000100001-sza","Primary health workers&#039; knowledge and practices relating to neonatal jaundice in Ibadan, Nigeria","Orimadegun, Adebola E., Ojebiyi, Adeola O.","African Journal of Primary Health Care &amp; Family Medicine; 9(1); 1-7","African Journal of Primary Health Care &amp; Family Medicine","Inglês","2017","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2071-29362017000100001&lang=pt" 
