"S1516-89132015000600843-scl","Citotoxicity of Fipronil on Hepatocytes Isolated from Rat and Effects of Its Biotransformation","Guelfi, Marieli, Maioli, Marcos Antonio, Tavares, Marco Aurélio, Mingatto, Fábio Erminio","Brazilian Archives of Biology and Technology; 58(6); 843-853","Brazilian Archives of Biology and Technology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132015000600843&lang=pt" 
"S1516-89132015000600935-scl","Antibiofilm, Antioxidant, Antimutagenic Activities and Phenolic Compounds of Allium orientale BOISS.","Ceylan, Ozgur, Alıc, Halime","Brazilian Archives of Biology and Technology; 58(6); 935-943","Brazilian Archives of Biology and Technology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132015000600935&lang=pt" 
"S0103-20702015000200075-scl","Direito e teoria social: três problemas","Teubner, Gunther","Tempo Social; 27(2); 75-101","Tempo Social","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702015000200075&lang=pt" 
"S1516-89132015000600833-scl","Assessment of the Potential Role of Silymarin Alone or in Combination with Vitamin E and/ or Curcumin on the Carbon Tetrachloride Induced Liver Injury in Rat","Al-Rasheed, Nouf, Faddah, Laila, Sharaf, Iman A, Mohamed, Azza M, Al-Rasheed, Nawal, Abdelbaky, Nayira","Brazilian Archives of Biology and Technology; 58(6); 833-842","Brazilian Archives of Biology and Technology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132015000600833&lang=pt" 
"S0718-40262015000600011-chl","RECONSTRUCCIÓN MICROQUIRÚRGICA EN EL TRAUMA PEDIÁTRICO","Hasbún N, Andrea, Acosta V, Silvana, Andrades C, Patricio, Cisternas V, Juan Pablo","Revista chilena de cirugía; 67(6); 629-634","Revista chilena de cirugía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262015000600011&lang=pt" 
"S0034-72802015000600396-scl","Anoftalmia clínica associada a coloboma e malformações sistêmicas: etiologia e relação oftalmologista-paciente","Ventura, Pedro, Debarba, Rafael Bortoli, Zago, Bruna, Corso, Diego Davi, Bonamigo, Elcio Luiz","Revista Brasileira de Oftalmologia; 74(6); 396-399","Revista Brasileira de Oftalmologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000600396&lang=pt" 
"S0034-72802015000600355-scl","Repeated penetrating corneal transplantation in patients with a previous tectonic transplant","Barbisan, Paulo Rodolfo Tagliari, Castro, Rosane Silvestre de","Revista Brasileira de Oftalmologia; 74(6); 355-357","Revista Brasileira de Oftalmologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000600355&lang=pt" 
"S0034-72802015000600378-scl","Padronização do critério de exclusão para o vírus HTLV I e II nos bancos de olhos do Brasil","Montenegro, Gyanna Lys de Melo Moreira, Montenegro, Daniel Alves, Montenegro, Antônio Moreira, Torquato, Jamili Anbar","Revista Brasileira de Oftalmologia; 74(6); 378-381","Revista Brasileira de Oftalmologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000600378&lang=pt" 
"S0034-72802015000600382-scl","Perfil paquimétrico horizontal para a detecção do ceratocone","Lopes, Bernardo Teixeira, Ramos, Isaac de Carvalho, Salomão, Marcella Quaresma, Canedo, Ana Laura Caiado, Ambrósio Jr., Renato","Revista Brasileira de Oftalmologia; 74(6); 382-385","Revista Brasileira de Oftalmologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000600382&lang=pt" 
"S0034-72802015000600393-scl","Intraretinal hemorrhage associated with visceral leishmaniasis","Aragão, Ricardo Evangelista Marrocos de, Barreira, Ieda Maria A., Pereira, Leidiane Alexandre, Arrais, Barbara Lorena A., Oliveira Neto, Francisco Holanda, Almeida, Everton Fernandes Vieira de, Machado, André Jucá","Revista Brasileira de Oftalmologia; 74(6); 393-395","Revista Brasileira de Oftalmologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000600393&lang=pt" 
"S0034-72802015000600358-scl","Perfil epidemiológico dos pacientes atendidos com queixa de olho vermelho na Fundação Hilton Rocha, MG, Brazil","Cunha, Camila Amaral Carvalho, Borges, Érica de Abreu, Rolim, Hévila","Revista Brasileira de Oftalmologia; 74(6); 358-361","Revista Brasileira de Oftalmologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000600358&lang=pt" 
"S0034-72802015000600400-scl","Diagnóstico e conduta em melanocitoma do disco óptico","Figueiredo, Marisa Novaes Falleiro Chaves de, Machado, Márcia Leite, Oliveira, Fernanda Guedes, Vieira, Diogo Mafia, Nassaralla Junior, João Jorge","Revista Brasileira de Oftalmologia; 74(6); 400-402","Revista Brasileira de Oftalmologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000600400&lang=pt" 
"S0034-72802015000600339-scl","Volume da gota dos colírios lubrificantes: estudo farmacoeconômico","Costa, Alexandre Xavier da, Gama, Robson Miranda da, Kitadai, Silvia Prado Smit, Andrade, Eric Pinheiro de, Ferro, Gabriela Boia Roch, Gomes, José Álvaro Pereira","Revista Brasileira de Oftalmologia; 74(6); 339-344","Revista Brasileira de Oftalmologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000600339&lang=pt" 
"S0718-40262015000600016-chl","OMENTOBURSECTOMÍA EN CÁNCER GÁSTRICO: CONTROVERSIAS ACTUALES","Csendes J, Attila, Matus R, Jaime, Zamorano D, Marcelo, Cárdenas S, Galo","Revista chilena de cirugía; 67(6); 653-658","Revista chilena de cirugía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262015000600016&lang=pt" 
"S0718-40262015000600005-chl","DISECCIÓN SUBMUCOSA ENDOSCÓPICA EN CÁNCER GÁSTRICO INCIPIENTE","Galindo R, José, Rodríguez G, Jorge, Norero M, Enrique, Aguayo B, Gloria, Pruyas A, Martha, Nilsen V, Eva, Martínez B, Cristian, Báez V, Sergio, Díaz F, Alfonso, Calvo B, Alfonso","Revista chilena de cirugía; 67(6); 590-598","Revista chilena de cirugía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262015000600005&lang=pt" 
"S0718-40262015000600010-chl","INSUFICIENCIA MESENTÉRICA CRÓNICA LUEGO DE RADIOTERAPIA PARA AÓRTICA","Vargas S, Francisco, Mertens M, Renato, Bergoeing R, Michel, Krämer S, Albrecht, Mariné M, Leopoldo, Valdés E, Francisco","Revista chilena de cirugía; 67(6); 622-628","Revista chilena de cirugía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262015000600010&lang=pt" 
"S0718-40262015000600015-chl","USO ACTUAL DE SUSTITUTOS DÉRMICOS EN CIRUGÍA REPARADORA","Roa G, Ricardo, Taladriz R, Cristian","Revista chilena de cirugía; 67(6); 647-652","Revista chilena de cirugía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262015000600015&lang=pt" 
"S0718-40262015000600013-chl","TUMOR FIBROSO SOLITARIO DEL LÓBULO CAUDADO DEL HÍGADO","Bertrán S, Marcelo A, Haberle O, Fernanda, Valenzuela V, Catalina, Urbina C, Oriana, Arcos P, Javier, Haito Ch, Yamile","Revista chilena de cirugía; 67(6); 638-642","Revista chilena de cirugía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262015000600013&lang=pt" 
"S0718-40262015000600008-chl","MORBILIDAD GLOBAL ASOCIADA A ILEOSTOMÍAS EN ASA TEMPORALES","Gellona V, José, Villalón M, Constanza, Martínez M, Mónica, Miguieles C, Rodrigo, Zúñiga D, Álvaro, Molina P, M. Elena, Urrejola S, Gonzalo, Meneses, Ximena, Rodríguez, Ana M, Bellolio R, Felipe","Revista chilena de cirugía; 67(6); 609-613","Revista chilena de cirugía","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262015000600008&lang=pt" 
"S0034-72802015000600362-scl","Teller test with functional vision evaluation in children with low vision","Zimmermann, Anita, Silva, Sarah Vieira da, Zimmermann, Sara Martins Vieira, Lira, Rodrigo Pessoa Cavalcanti, Carvalho, Keila Miriam Monteiro de","Revista Brasileira de Oftalmologia; 74(6); 362-365","Revista Brasileira de Oftalmologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802015000600362&lang=pt" 
