"S0004-06142010000900012-esp","Hemangiopericitoma testicular/tumor fibroso solitario: un caso poco frecuente","Varela, Rodolfo, García, Herney Andres, Cortés, Vanesa","Archivos Españoles de Urología (Ed. impresa); 63(9); 816-819","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142010000900012&lang=pt" 
"S0004-06142010000900003-esp","Manejo quirúrgico actual de la enfermedad de Peyronie grave","Perovic, Sava V., Djinovic, Rados P.","Archivos Españoles de Urología (Ed. impresa); 63(9); 755-770","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142010000900003&lang=pt" 
"S0004-06142010000900007-esp","Relación entre score Gleason biópsico y score Gleason tras prostatectomía radical en pacientes sometidos a biopsia sextante vs 12 cilindros","Arrabal-Polo, Miguel Ángel, Jiménez-Pacheco, Antonio, Mijan-Ortiz, José Luis, Arrabal-Martín, Miguel, Valle-Díaz de la Guardia, Francisco, López-Carmona Pintado, Fernando, López-León, Víctor Manuel, Merino-Salas, Sergio, Tinaut-Ranera, Javier, Zuluaga-Gómez, Armando","Archivos Españoles de Urología (Ed. impresa); 63(9); 791-796","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142010000900007&lang=pt" 
"S0004-06142010000900013-esp","Gran litiasis neovesical por migración de esfínter urinario artificial","Carrión López, Pedro, Martínez Ruiz, Jesús, Martínez Sanchiz, Carlos, Pastor Navarro, Héctor, Donate Moreno, María José, Virseda Rodríguez, Julio A.","Archivos Españoles de Urología (Ed. impresa); 63(9); 820-821","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142010000900013&lang=pt" 
"S0004-06142010000900001-esp","Acuerdo marco de colaboración de la American Urological Association (AUA) y Archivos Españoles de Urología (AEU)","","Archivos Españoles de Urología (Ed. impresa); 63(9); 751-751","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142010000900001&lang=pt" 
"S0004-06142010000900009-esp","Evolución natural del carcinoma embrionario","López-González, Ana, Egui Rojo, María Alejandra, Maximiano, Constanza, Martínez-Salamanca, Juan Ignacio, González Hernando, Concepción, Sánchez Yuste, Rosario, Bonilla, Félix, Carballido Rodríguez, Joaquín Alberto","Archivos Españoles de Urología (Ed. impresa); 63(9); 803-807","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142010000900009&lang=pt" 
"S0004-06142010000900004-esp","Comentario editorial de: Manejo quirúrgico actual de la enfermedad de Peyronie grave","Martín Morales, Antonio","Archivos Españoles de Urología (Ed. impresa); 63(9); 771-772","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142010000900004&lang=pt" 
"S0124-00642010000800020-spa","Clinical aspects of mycobacteria","","Revista de Salud Pública; 12(); 86-90","Revista de Salud Pública","Inglês","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0124-00642010000800020&lang=pt" 
"S0124-00642010000800018-spa","Virulence and pathogenicity","","Revista de Salud Pública; 12(); 79-83","Revista de Salud Pública","Inglês","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0124-00642010000800018&lang=pt" 
"S0124-00642010000800017-spa","Immune Response to mycobacteria","","Revista de Salud Pública; 12(); 71-78","Revista de Salud Pública","Inglês","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0124-00642010000800017&lang=pt" 
