"S0328-97022016000300004-arg","Procesos de Desgranamiento y Lentificación en la Educación Superior Argentina: El caso de la Tecnicatura Universitaria en Gestión Cultural","Polo Friz, Emilio, Romero, Laura","Praxis educativa; 20(3); 32-37","Praxis educativa","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0328-97022016000300004&lang=pt" 
"S0328-97022016000300003-arg","Derechos Humanos, Educación Sexual Integral y Campo de las Prácticas: ejes de transversalidad curricular para la Formación de Profesorxs en la UNLPam","Siderac, Silvia","Praxis educativa; 20(3); 18-31","Praxis educativa","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0328-97022016000300003&lang=pt" 
"S0328-97022016000300005-arg","Trayectos escolares previos y vida universitaria","GÓMEZ, Sandra, ETCHEGORRY, Mariana, AVACA LÓPEZ, Flavia, CAÓN, Carolina","Praxis educativa; 20(3); 38-46","Praxis educativa","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0328-97022016000300005&lang=pt" 
"S0328-97022016000300007-arg","Elboj Saso, C., Puigdellívol Aguadé, I., Soler Gallart, y Valls Carol, R. Comunidades de aprendizaje. Transformar la educación Noveduc - Graó. 2016","Cheme Arriaga, Romina","Praxis educativa; 20(3); 59-61","Praxis educativa","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0328-97022016000300007&lang=pt" 
"S1852-62332016000300002-arg","Preimplantational genetic diagnosis (PGDs) in carriers of balanced structural rearrangements by array comparative genomic hybridization (aCGH)","Ducatelli, M.E, Grazziotin Mondadori, A, Coco, F, Neuspiller, N, Gismondi, F.L, Coco, R","BAG. Journal of basic and applied genetics; 27(2); 17-24","BAG. Journal of basic and applied genetics","Inglês","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-62332016000300002&lang=pt" 
"S0328-97022016000300009-arg","Memorias de un normalista pampeano","Nervi, Juan Ricardo","Praxis educativa; 20(3); 63-65","Praxis educativa","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0328-97022016000300009&lang=pt" 
"S0328-97022016000300008-arg","Puiggrós, Adriana La educación popular en América Latina. Orígenes, polémicas y perspectivas Colihue 2016","Guiñez, Cristian Gilberto","Praxis educativa; 20(3); 61-62","Praxis educativa","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0328-97022016000300008&lang=pt" 
"S0328-97022016000300001-arg","Cartografiar la formación","Di Franco, Maria Graciela","Praxis educativa; 20(3); 9-11","Praxis educativa","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0328-97022016000300001&lang=pt" 
"S0328-97022016000300006-arg","Relatos de futuros, estudiantes y escolaridad en la sociedad contemporánea: Un estudio en contextos de pobreza urbana en el Área Metropolitana de Buenos Aires","MACHADO, Mercedes Libertad","Praxis educativa; 20(3); 47-57","Praxis educativa","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0328-97022016000300006&lang=pt" 
"S0328-97022016000300002-arg","Educación: hacia un nuevo paradigma de los saberes","MAFFÍA, Diana","Praxis educativa; 20(3); 13-17","Praxis educativa","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0328-97022016000300002&lang=pt" 
