"S1850-11682015000200009-arg","Cálculos de primeros principios de las propiedades electrónicas y análisis de Bader en la serie LiHn","Napán, R, Peltzer y Blancá, E.L","Anales (Asociación Física Argentina); 26(2); 98-103","Anales (Asociación Física Argentina)","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-11682015000200009&lang=pt" 
"S1850-11682015000200006-arg","Caracterización del comportamiento térmico de un edificio prototipo en Tandil (Buenos Aires)","Muñoz Vásquez, N, Marino, B.M, Thomas, L.P","Anales (Asociación Física Argentina); 26(2); 78-87","Anales (Asociación Física Argentina)","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-11682015000200006&lang=pt" 
"S1850-11682015000200003-arg","Radiación solar: métodos de regresión para datos del 2010-2013 en Buenos Aires","Lavorato, M.B, Lakkis, S. G, Canziani, P. O","Anales (Asociación Física Argentina); 26(2); 59-64","Anales (Asociación Física Argentina)","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-11682015000200003&lang=pt" 
"S1850-11682015000200004-arg","Diseño y desarrollo de un fotómetro solar basado en tecnología LED","Papandrea, S, Repetto, C, Junod, G, Vilar, O, Dworniczak, J.C, Raponi, M","Anales (Asociación Física Argentina); 26(2); 65-69","Anales (Asociación Física Argentina)","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-11682015000200004&lang=pt" 
"S1850-11682015000200010-arg","Supersimetría y formulación de De la Peña","Canderle, Luis, Plastino, Angel","Anales (Asociación Física Argentina); 26(2); -","Anales (Asociación Física Argentina)","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-11682015000200010&lang=pt" 
"S1850-11682015000200002-arg","Fotoionización de moléculas diatómicas asistida por láser: de atto-a femto-pulsos","Boll, Diego I. R, Fojón, Omar A","Anales (Asociación Física Argentina); 26(2); 54-58","Anales (Asociación Física Argentina)","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-11682015000200002&lang=pt" 
"S1850-11682015000200011-arg","Desigualdad entre carga y tamaño en espaciotiempos esféricamente simétricos","Rubio, Marcelo E, Dain, Sergio","Anales (Asociación Física Argentina); 26(2); 108-112","Anales (Asociación Física Argentina)","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-11682015000200011&lang=pt" 
"S1413-77042015000100003-scl","A influência do comércio exterior na configuração da hierarquia portuária no Senegal: processos de concentração e exclusão na periferia da economia global (1880-1939)","Hidalgo, Daniel Castillo","Tempo; 21(37); 42-63","Tempo","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-77042015000100003&lang=pt" 
"S1413-77042015000100008-scl","Construção de hegemonia político-cultural no contexto da transição: narrativas sobre democracia e socialismo em Encontros com a Civilização Brasileira, Cuadernos de Marcha (segunda época) e Controversia (1979-1985)","Couto, Cristiano Pinheiro de Paula","Tempo; 21(37); 151-169","Tempo","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-77042015000100008&lang=pt" 
"S1413-77042015000100001-scl","A ordem e a margem: comportamento disciplinar para Polícia Feminina no Paraná (1977-2000)","Schactae, Andréa Mazurok","Tempo; 21(37); 1-21","Tempo","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-77042015000100001&lang=pt" 
