"S0188-76532011000200009-mex","¿Ilegalidad justificada?: clientelismo controlado en la administración chilena","Moriconi Bezerra, Marcelo","Perfiles latinoamericanos; 19(38); 227-247","Perfiles latinoamericanos","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-76532011000200009&lang=pt" 
"S0102-695X2011000600018-scl","Antinociceptive and anti-inflammatory effects of Caesalpinia pyramidalis in rodents","Santos, Cliomar A., Passos, Ailane M. P. R., Andrade, Fernando C., Camargo, Enilton A., Estevam, Charles S., Santos, Márcio R. V., Thomazzi, Sara M.","Revista Brasileira de Farmacognosia; 21(6); 1077-1083","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600018&lang=pt" 
"S0102-695X2011000600025-scl","Influence of environmental factors on the concentration of phenolic compounds in leaves of Lafoensia pacari","Sampaio, Bruno Leite, Bara, Maria Teresa F., Ferri, Pedro Henrique, Santos, Suzana da Costa, Paula, José Realino de","Revista Brasileira de Farmacognosia; 21(6); 1127-1137","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600025&lang=pt" 
"S0102-695X2011000600001-scl","The last issue of 2011","Santos, Cid Aimbiré M","Revista Brasileira de Farmacognosia; 21(6); -","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600001&lang=pt" 
"S0102-695X2011000600023-scl","Report of cases in patients with acute herpetic neuralgia using a Mangifera indica extract","Garrido-Suárez, Beatriz, Garrido, Gabino, Delgado, Rene, Bosch, Fe, Rabí, María del C., Hernández, Camilo E.","Revista Brasileira de Farmacognosia; 21(6); 1111-1117","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600023&lang=pt" 
"S0102-695X2011000600030-scl","Flavonoids and fatty acids of Camellia japonica leaves extract","Azuma, Cinthia M., Santos, Flávia Cristina S. dos, Lago, João Henrique G.","Revista Brasileira de Farmacognosia; 21(6); 1159-1162","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600030&lang=pt" 
"S1807-76922011000400004-scl","Operational practices and financial performance: an empirical analysis of Brazilian manufacturing companies","Duarte, André Luís de Castro Moura, Brito, Luiz Artur Ledur, Di Serio, Luiz Carlos, Martins, Guilherme Silveira","BAR - Brazilian Administration Review; 8(4); 395-411","BAR - Brazilian Administration Review","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-76922011000400004&lang=pt" 
"S1807-76922011000400002-scl","Stock market development: an analysis from a multilevel and multi-country perspective","Forti, Cristiano Augusto Borges, Yen-Tsang, Chen, Peixoto, Fernanda Maciel","BAR - Brazilian Administration Review; 8(4); 351-375","BAR - Brazilian Administration Review","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-76922011000400002&lang=pt" 
"S0864-34662011000400007-cub","Años de vida saludable perdidos por cáncer de pulmón en Cuba en años seleccionados","Domínguez Alonso, Emma, Seuc Jo, Armando, Galán, Yaima","Revista Cubana de Salud Pública; 37(4); 428-441","Revista Cubana de Salud Pública","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662011000400007&lang=pt" 
"S0864-34662011000400001-cub","Políticas sociales y salud de la población","Rojas Ochoa, Francisco","Revista Cubana de Salud Pública; 37(4); 362-365","Revista Cubana de Salud Pública","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662011000400001&lang=pt" 
"S0864-34662011000400002-cub","Roberto Pereda Chávez en la salud pública internacional","Rojas Ochoa, Francisco","Revista Cubana de Salud Pública; 37(4); 366-371","Revista Cubana de Salud Pública","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662011000400002&lang=pt" 
