"S1130-05582012000400010-esp","Tumor hemorrágico en encía mandibular de paciente nefrópata","Kulyapina, Alena, Thomas Santamaria, Alejandro, Leno Dasi, Belén, Navarro Vila, Carlos","Revista Española de Cirugía Oral y Maxilofacial; 34(4); 188-189","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582012000400010&lang=pt" 
"S2238-10312012000400009-scl","Uso de automóveis e o caos urbano: considerações sobre o planejamento de transportes das grandes cidades","Ramis, Jacqueline Elhage, Santos, Emmanuel Antônio dos","Journal of Transport Literature; 6(4); 164-177","Journal of Transport Literature","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2238-10312012000400009&lang=pt" 
"S2238-10312012000400013-scl","Proteção e liberalização no transporte marítimo de cabotagem: o uso da regulação nos mercados canadense e brasileiro","Nascimento, Marcus Vinícius","Journal of Transport Literature; 6(4); 228-234","Journal of Transport Literature","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2238-10312012000400013&lang=pt" 
"S2238-10312012000400005-scl","Liberalização econômica e universalização do acesso no transporte aéreo: é possível conciliar livre mercado com metas sociais e ainda evitar gargalos de infraestrutura","Zimmermann, Nara, Oliveira, Alessandro V. M.","Journal of Transport Literature; 6(4); 82-100","Journal of Transport Literature","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2238-10312012000400005&lang=pt" 
"S2238-10312012000400003-scl","Procedimento e protótipo computacional para dimensionamento de uma praça de pedágio","Faria, Bruno Santana de, Campos, Vânia Barcellos Gouvêa","Journal of Transport Literature; 6(4); 38-58","Journal of Transport Literature","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2238-10312012000400003&lang=pt" 
"S2238-10312012000400002-scl","Um modelo integrado de simulação-otimização para a avaliação de um novo negócio de aeronaves de propriedade compartilhada","Lopes, Juliana da Serra Costa, Cunha, Claudio Barbieri da","Journal of Transport Literature; 6(4); 08-37","Journal of Transport Literature","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2238-10312012000400002&lang=pt" 
"S2238-10312012000400007-scl","Eficiência portuária: análise das principais metodologias para o caso dos portos brasileiros","Falcão, Viviane Adriano, Correia, Anderson R.","Journal of Transport Literature; 6(4); 133-146","Journal of Transport Literature","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2238-10312012000400007&lang=pt" 
"S2238-10312012000400006-scl","Infraestrutura de transporte e crescimento econômico no Brasil","Bertussi, Geovana Lorena, Ellery Junior, Roberto","Journal of Transport Literature; 6(4); 101-132","Journal of Transport Literature","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2238-10312012000400006&lang=pt" 
"S2238-10312012000400011-scl","O desafio logístico na implantação de um aeroporto indústria no Brasil","Matera, Roberta de Roode Torres","Journal of Transport Literature; 6(4); 191-214","Journal of Transport Literature","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2238-10312012000400011&lang=pt" 
"S2238-10312012000400010-scl","Capacidade do lado aéreo dos aeroportos brasileiros","Alves, Cláudio Jorge Pinto, Fraga, Rafael","Journal of Transport Literature; 6(4); 178-189","Journal of Transport Literature","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2238-10312012000400010&lang=pt" 
"S2238-10312012000400008-scl","Planejamento aeroportuário no Brasil: discussão sobre contribuições da prospectiva estratégica","Linhares, George Christian","Journal of Transport Literature; 6(4); 147-163","Journal of Transport Literature","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2238-10312012000400008&lang=pt" 
"S2238-10312012000400012-scl","Fusões no transporte aéreo: estudos e tendências","Ueda, Thiago Vinicius Alves","Journal of Transport Literature; 6(4); 215-227","Journal of Transport Literature","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2238-10312012000400012&lang=pt" 
"S2238-10312012000400004-scl","Análise dos efeitos do ruído aeronáutico em zonas residenciais circunvizinhas ao Aeroporto Internacional de Brasília","Carvalho Júnior, Edson Benício, Garavelli, Sérgio Luiz, Maroja, Armando Mendonça","Journal of Transport Literature; 6(4); 59-81","Journal of Transport Literature","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2238-10312012000400004&lang=pt" 
